fileName,pairIndex,firstPolygonId,secondPolygonId,observed_division,division_timing,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
sample2_26h,1,0,1,1,1,0.412581,4631.972222,2705.777778,6558.166667,3852.388889,0.665676,271.800144,217.246177,326.354112,109.107935,0.725822,1.252613,1.053613,1.451613,0.398000,0.931073,0.747107,0.720440,0.773774,0.053334,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,47.963376,0.721256,1.081724,0.797583,0.104293,1.214702,80.777472,38.242749,0.575081,23.958368,0.360277,15.647172,0.235297,2.656029,151.625359,152.143438,151.107279,1.036160,0.993190
sample2_26h,2,0,2,0,-1,0.960229,2651.972222,2598.166667,2705.777778,107.611111,0.980358,215.112550,212.978922,217.246177,4.267255,0.576979,1.439850,1.053613,1.826087,0.772474,0.999093,0.720113,0.719786,0.720440,0.000653,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,76.300960,1.481726,1.709497,0.422794,0.608436,0.322166,16.589823,61.902464,1.202114,38.427178,0.746236,3.804869,0.073889,87.516414,114.820490,125.447808,104.193171,21.254636,0.830570
sample2_26h,3,1,2,0,-1,0.396173,4578.166667,2598.166667,6558.166667,3960.000000,0.652601,269.666517,212.978922,326.354112,113.375190,0.794931,1.638850,1.451613,1.826087,0.374474,0.930228,0.746780,0.719786,0.773774,0.053988,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,94.431313,1.431268,2.407258,0.456642,0.545342,0.283151,18.681542,69.122978,1.047677,46.897410,0.710811,27.299022,0.413763,69.282083,91.878340,100.311766,83.444914,16.866852,0.831856
sample2_26h,4,1,3,0,-1,0.478996,4849.750000,3141.333333,6558.166667,3416.833333,0.693132,276.280251,226.206389,326.354112,100.147723,0.827359,1.326309,1.201005,1.451613,0.250608,0.997011,0.772618,0.771461,0.773774,0.002313,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,53.093524,0.774918,1.260870,0.763223,0.142928,1.116063,76.467132,47.797901,0.697626,25.812503,0.376742,13.837940,0.201969,25.512917,143.417566,175.060240,111.774892,63.285348,0.638494
sample2_26h,5,1,4,0,-1,0.711505,5612.166667,4666.166667,6558.166667,1892.000000,0.836126,299.613665,272.873218,326.354112,53.480894,0.853606,1.576089,1.451613,1.700565,0.248952,0.982575,0.780635,0.773774,0.787496,0.013722,0.997364,0.998682,0.997364,1.000000,0.002636,1.000000,7.000000,7.000000,7.000000,0.000000,113.107412,1.515252,1.972477,0.461807,0.515962,0.311948,23.285666,78.319571,1.049214,56.310801,0.754372,15.598419,0.208965,84.521109,112.322938,126.296255,98.349622,27.946632,0.778722
sample2_26h,6,1,7,0,-1,0.449058,4751.583333,2945.000000,6558.166667,3613.166667,0.645229,268.463641,210.573170,326.354112,115.780942,0.879765,1.550806,1.451613,1.650000,0.198387,0.927097,0.804197,0.773774,0.834621,0.060847,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,72.268210,1.068658,1.046512,0.627467,0.288079,0.744315,50.334437,52.260538,0.772797,31.363377,0.463783,19.808514,0.292916,41.676268,125.157336,137.089564,113.225108,23.864456,0.825921
sample2_26h,7,2,4,1,1,0.556810,3632.166667,2598.166667,4666.166667,2068.000000,0.780505,242.926070,212.978922,272.873218,59.894296,0.931262,1.763326,1.700565,1.826087,0.125522,0.914019,0.753641,0.719786,0.787496,0.067709,0.997364,0.998682,0.997364,1.000000,0.002636,0.857143,6.500000,6.000000,7.000000,1.000000,42.925675,0.719737,1.056140,0.855847,0.061212,1.335167,79.630396,34.322973,0.575495,21.135672,0.354383,10.302157,0.172737,22.685799,144.026495,163.300756,124.752235,38.548521,0.763942
sample2_26h,8,3,7,0,-1,0.937500,3043.166667,2945.000000,3141.333333,196.333333,0.930890,218.389780,210.573170,226.206389,15.633219,0.727882,1.425503,1.201005,1.650000,0.448995,0.924326,0.803041,0.771461,0.834621,0.063159,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,78.707002,1.426944,1.708333,0.493819,0.561203,0.391882,21.615324,62.282747,1.129175,39.324103,0.712939,3.590099,0.065088,88.892074,129.350166,139.148572,119.551759,19.596813,0.859166
sample2_26h,9,3,9,1,1,0.922750,3020.000000,2898.666667,3141.333333,242.666667,0.998314,226.015752,225.825114,226.206389,0.381276,0.848127,1.109805,1.018605,1.201005,0.182400,0.925869,0.742867,0.714272,0.771461,0.057189,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,60.349121,1.098386,1.446429,0.625535,0.077539,0.943663,51.848069,48.098643,0.875421,28.077495,0.511025,0.855880,0.015577,58.278564,155.612533,173.072993,138.152073,34.920920,0.798230
sample2_26h,10,4,5,0,-1,0.913899,4885.972222,4666.166667,5105.777778,439.611111,0.996160,273.399130,272.873218,273.925043,1.051824,0.611847,1.370525,1.040486,1.700565,0.660079,0.920958,0.821289,0.787496,0.855083,0.067587,0.997364,0.998682,0.997364,1.000000,0.002636,1.000000,7.000000,7.000000,7.000000,0.000000,86.750184,1.241380,2.018315,0.548135,0.417726,0.525755,36.740834,65.028025,0.930540,43.030645,0.615761,2.093873,0.029963,85.194754,134.061105,143.433975,124.688234,18.745741,0.869308
