file_name,first_cell_id,second_cell_id,divided
sample2_40h,79,75,1
sample2_40h,77,70,1
sample2_40h,76,71,1
sample2_40h,73,64,1
sample2_40h,72,67,1
sample2_40h,69,68,1
sample2_40h,63,59,1
sample2_40h,62,58,1
sample2_40h,61,56,1
sample2_40h,60,57,1
sample2_40h,55,51,1
sample2_40h,53,45,1
sample2_40h,52,50,1
sample2_40h,48,42,1
sample2_40h,47,43,1
sample2_40h,46,40,1
sample2_40h,44,36,1
sample2_40h,39,29,1
sample2_40h,38,35,1
sample2_40h,37,31,1
sample2_40h,32,23,1
sample2_40h,30,27,1
sample2_40h,26,21,1
sample2_40h,25,20,1
sample2_40h,24,19,1
sample2_40h,17,11,1
sample2_40h,16,14,1
sample2_40h,12,9,1
sample2_40h,8,7,1
sample2_40h,6,4,1
sample2_40h,5,3,1
sample2_40h,2,0,1
