file_name,first_cell_id,second_cell_id,hours_ago,divided
sample2_40h,0,2,12,1
sample2_40h,3,5,2,1
sample2_40h,4,6,10,1
sample2_40h,14,16,2,1
sample2_40h,9,12,4,1
sample2_40h,7,8,8,1
sample2_40h,11,17,8,1
sample2_40h,19,24,2,1
sample2_40h,27,30,4,1
sample2_40h,23,32,4,1
sample2_40h,29,39,2,1
sample2_40h,21,26,2,1
sample2_40h,20,25,8,1
sample2_40h,31,37,8,1
sample2_40h,35,38,2,1
sample2_40h,42,48,2,1
sample2_40h,43,47,8,1
sample2_40h,50,52,12,1
sample2_40h,45,53,4,1
sample2_40h,40,46,12,1
sample2_40h,56,61,10,1
sample2_40h,59,63,4,1
sample2_40h,51,55,6,1
sample2_40h,58,62,8,1
sample2_40h,71,76,2,1
sample2_40h,70,77,6,1
sample2_40h,67,72,10,1
sample2_40h,75,79,4,1
sample2_40h,69,68,6,1
sample2_40h,57,60,4,1
sample2_40h,36,44,8,1
