pairIndex,fileName,firstPolygonId,secondPolygonId,observed_division,predicted,classification,junctionAngleAverageDegrees,threshold_op,threshold,division_timing
263,sample10_44h.json,96,100,1,0,FN,132.051484,>=,145.0,22
279,sample10_44h.json,102,114,1,0,FN,134.681923,>=,145.0,22
336,sample10_44h.json,123,134,1,0,FN,166.065061,>=,145.0,4
352,sample10_44h.json,130,136,1,0,FN,143.50819,>=,145.0,10
353,sample10_44h.json,131,142,1,0,FN,167.975889,>=,145.0,4
401,sample10_44h.json,156,157,1,0,FN,167.999434,>=,145.0,10
25,sample1_18h.json,9,13,1,0,FN,139.769051,>=,145.0,18
133,sample1_38h.json,49,54,1,0,FN,143.933216,>=,145.0,10
1,sample1_58h.json,0,1,1,0,FN,140.809477,>=,145.0,16
13,sample1_58h.json,4,6,1,0,FN,127.122809,>=,145.0,12
36,sample1_58h.json,13,14,1,0,FN,144.170211,>=,145.0,10
54,sample1_58h.json,19,20,1,0,FN,135.967856,>=,145.0,10
64,sample1_58h.json,23,24,1,0,FN,141.221887,>=,145.0,14
40,sample2_12h.json,15,18,1,0,FN,140.357259,>=,145.0,12
58,sample2_12h.json,22,26,1,0,FN,154.263635,>=,145.0,10
67,sample2_12h.json,27,29,1,0,FN,144.552776,>=,145.0,10
1,sample2_26h.json,0,1,1,0,FN,135.060954,>=,145.0,12
83,sample2_26h.json,31,32,1,0,FN,139.253855,>=,145.0,10
27,sample2_40h.json,11,17,1,0,FN,135.231707,>=,145.0,8
62,sample2_40h.json,23,32,1,0,FN,138.764568,>=,145.0,4
115,sample2_40h.json,43,47,1,0,FN,147.837138,>=,145.0,8
136,sample2_40h.json,50,52,1,0,FN,146.622536,>=,145.0,12
55,sample2_54h.json,19,22,1,0,FN,129.192326,>=,145.0,8
134,sample2_54h.json,47,53,1,0,FN,144.582064,>=,145.0,8
256,sample2_54h.json,93,99,1,0,FN,141.964645,>=,145.0,10
258,sample2_54h.json,94,95,1,0,FN,142.48201,>=,145.0,14
303,sample2_54h.json,110,116,1,0,FN,144.225528,>=,145.0,4
344,sample2_54h.json,125,128,1,0,FN,150.012103,>=,145.0,6
26,sample3_18h.json,10,11,1,0,FN,141.997027,>=,145.0,8
76,sample3_40h.json,30,31,1,0,FN,144.44318,>=,145.0,14
18,sample3_58h.json,7,8,1,0,FN,139.18519,>=,145.0,12
30,sample3_58h.json,11,13,1,0,FN,137.880366,>=,145.0,10
88,sample3_58h.json,33,37,1,0,FN,146.265641,>=,145.0,10
226,sample4_20h.json,81,86,1,0,FN,142.674974,>=,145.0,12
154,sample4_36h.json,53,54,1,0,FN,139.023763,>=,145.0,14
201,sample4_36h.json,69,72,1,0,FN,145.40018,>=,145.0,8
271,sample4_36h.json,94,97,1,0,FN,135.335391,>=,145.0,6
452,sample4_36h.json,157,167,1,0,FN,134.107368,>=,145.0,16
53,sample4_52h.json,17,25,1,0,FN,148.869042,>=,145.0,8
350,sample4_52h.json,121,136,1,0,FN,138.921274,>=,145.0,2
370,sample4_52h.json,127,142,1,0,FN,150.149314,>=,145.0,10
550,sample4_52h.json,189,368,1,0,FN,145.596225,>=,145.0,12
603,sample4_52h.json,210,226,1,0,FN,143.117886,>=,145.0,12
848,sample4_52h.json,294,296,1,0,FN,154.791309,>=,145.0,10
70,sample5_42h.json,24,25,1,0,FN,156.790782,>=,145.0,16
110,sample5_42h.json,41,43,1,0,FN,133.726767,>=,145.0,22
99,sample5_72h.json,50,57,1,0,FN,135.084712,>=,145.0,19
150,sample5_72h.json,73,83,1,0,FN,154.106395,>=,145.0,19
209,sample5_72h.json,96,163,1,0,FN,147.936492,>=,145.0,25
285,sample5_72h.json,127,128,1,0,FN,137.534836,>=,145.0,31
26,sample6_22h.json,8,14,1,0,FN,141.818043,>=,145.0,10
121,sample6_22h.json,41,62,1,0,FN,140.08389,>=,145.0,16
149,sample6_22h.json,51,75,1,0,FN,144.801783,>=,145.0,22
