pairIndex,fileName,firstPolygonId,secondPolygonId,observed_division,predicted,classification,junctionAngleAverageDegrees,threshold_op,threshold,division_timing
269,sample10_44h.json,98,108,0,1,FP,145.880216,>=,145.0,-1
335,sample10_44h.json,123,131,0,1,FP,160.672663,>=,145.0,-1
363,sample10_44h.json,134,142,0,1,FP,177.132429,>=,145.0,-1
404,sample10_44h.json,157,174,0,1,FP,169.737848,>=,145.0,-1
54,sample11_42h.json,19,32,0,1,FP,145.608479,>=,145.0,-1
7,sample12_42h.json,2,7,0,1,FP,151.826898,>=,145.0,-1
42,sample12_42h.json,16,22,0,1,FP,152.757909,>=,145.0,-1
3,sample1_18h.json,0,6,0,1,FP,162.116709,>=,145.0,-1
127,sample1_58h.json,47,52,0,1,FP,152.019293,>=,145.0,-1
48,sample2_12h.json,18,22,0,1,FP,159.7201,>=,145.0,-1
126,sample2_40h.json,47,52,0,1,FP,159.756219,>=,145.0,-1
169,sample2_40h.json,64,73,0,1,FP,155.781745,>=,145.0,-1
321,sample2_54h.json,116,125,0,1,FP,165.623816,>=,145.0,-1
59,sample3_40h.json,22,24,0,1,FP,146.574117,>=,145.0,-1
21,sample3_58h.json,8,11,0,1,FP,174.615088,>=,145.0,-1
69,sample3_58h.json,25,30,0,1,FP,149.77053,>=,145.0,-1
72,sample3_58h.json,26,33,0,1,FP,160.246337,>=,145.0,-1
22,sample4_36h.json,8,10,0,1,FP,157.339761,>=,145.0,-1
52,sample4_36h.json,17,23,0,1,FP,146.664507,>=,145.0,-1
112,sample4_36h.json,39,41,0,1,FP,145.348805,>=,145.0,-1
147,sample4_36h.json,51,54,0,1,FP,163.634065,>=,145.0,-1
210,sample4_36h.json,72,73,0,1,FP,154.633573,>=,145.0,-1
325,sample4_36h.json,113,118,0,1,FP,159.56975,>=,145.0,-1
478,sample4_36h.json,167,178,0,1,FP,150.369636,>=,145.0,-1
41,sample4_52h.json,14,17,0,1,FP,151.064955,>=,145.0,-1
93,sample4_52h.json,31,35,0,1,FP,154.152885,>=,145.0,-1
151,sample4_52h.json,52,57,0,1,FP,150.947146,>=,145.0,-1
248,sample4_52h.json,85,102,0,1,FP,148.120589,>=,145.0,-1
358,sample4_52h.json,124,138,0,1,FP,147.921876,>=,145.0,-1
366,sample4_52h.json,126,142,0,1,FP,163.362868,>=,145.0,-1
548,sample4_52h.json,189,193,0,1,FP,157.613613,>=,145.0,-1
593,sample4_52h.json,206,208,0,1,FP,147.312637,>=,145.0,-1
652,sample4_52h.json,226,227,0,1,FP,153.408101,>=,145.0,-1
662,sample4_52h.json,231,232,0,1,FP,151.091316,>=,145.0,-1
700,sample4_52h.json,242,255,0,1,FP,151.130488,>=,145.0,-1
842,sample4_52h.json,291,296,0,1,FP,160.583494,>=,145.0,-1
970,sample4_52h.json,339,346,0,1,FP,153.709222,>=,145.0,-1
73,sample5_42h.json,24,34,0,1,FP,161.356979,>=,145.0,-1
175,sample5_72h.json,83,90,0,1,FP,156.886281,>=,145.0,-1
233,sample5_72h.json,107,163,0,1,FP,151.631733,>=,145.0,-1
9,sample6_22h.json,3,5,0,1,FP,160.418173,>=,145.0,-1
200,sample6_22h.json,69,84,0,1,FP,168.007636,>=,145.0,-1
192,sample6_36h.json,70,84,0,1,FP,147.704917,>=,145.0,-1
31,sample6_54h.json,10,25,0,1,FP,146.556537,>=,145.0,-1
247,sample6_54h.json,92,94,0,1,FP,177.557991,>=,145.0,-1
141,sample7_30h.json,50,61,0,1,FP,151.656858,>=,145.0,-1
179,sample7_30h.json,66,73,0,1,FP,147.975674,>=,145.0,-1
189,sample7_30h.json,70,82,0,1,FP,170.03773,>=,145.0,-1
221,sample7_30h.json,84,96,0,1,FP,159.651271,>=,145.0,-1
297,sample7_30h.json,119,123,0,1,FP,171.963746,>=,145.0,-1
308,sample7_30h.json,137,138,0,1,FP,163.88566,>=,145.0,-1
313,sample7_30h.json,139,140,0,1,FP,174.003222,>=,145.0,-1
49,sample8_28h.json,23,29,0,1,FP,151.982901,>=,145.0,-1
17,sample8_50h.json,5,8,0,1,FP,173.954714,>=,145.0,-1
20,sample8_50h.json,6,11,0,1,FP,156.164227,>=,145.0,-1
29,sample8_50h.json,10,12,0,1,FP,175.472148,>=,145.0,-1
190,sample8_50h.json,68,84,0,1,FP,148.568244,>=,145.0,-1
92,sample9_18h.json,32,40,0,1,FP,172.937881,>=,145.0,-1
20,sample9_44h.json,8,14,0,1,FP,148.563555,>=,145.0,-1
84,sample9_44h.json,33,38,0,1,FP,158.243237,>=,145.0,-1
110,sample9_44h.json,40,198,0,1,FP,170.517458,>=,145.0,-1
193,sample9_44h.json,71,75,0,1,FP,159.479545,>=,145.0,-1
266,sample9_44h.json,100,104,0,1,FP,148.543745,>=,145.0,-1
338,sample9_44h.json,127,131,0,1,FP,154.584412,>=,145.0,-1
482,sample9_44h.json,183,186,0,1,FP,156.257003,>=,145.0,-1
