scope,geometry_col,op,threshold,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_pos,support_neg,evaluated_pairs,skipped_missing_observed,skipped_exception
__OVERALL__,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,1030,65,84,6394,0.9406392694063926,0.9245960502692998,0.9899365226815297,0.9325486645540968,0.9803248382411198,0.9572662864754147,1114,6459,7573,0,51
sample10_22h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,24,0,0,104,1.0,1.0,1.0,1.0,1.0,1.0,24,104,128,,
sample10_44h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,55,4,6,353,0.9322033898305084,0.9016393442622951,0.988795518207283,0.9166666666666666,0.9760765550239234,0.945217431234789,61,357,418,,
sample11_42h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,26,1,0,155,0.9629629629629629,1.0,0.9935897435897436,0.9811320754716981,0.9945054945054945,0.9967948717948718,26,156,182,,
sample12_42h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,10,2,0,55,0.8333333333333334,1.0,0.9649122807017544,0.9090909090909091,0.9701492537313433,0.9824561403508771,10,57,67,,
sample1_18h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,9,1,1,43,0.9,0.9,0.9772727272727273,0.9,0.9629629629629629,0.9386363636363637,10,44,54,,
sample1_38h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,30,0,1,144,1.0,0.967741935483871,1.0,0.9836065573770492,0.9942857142857143,0.9838709677419355,31,144,175,,
sample1_58h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,24,1,5,148,0.96,0.8275862068965517,0.9932885906040269,0.888888888888889,0.9662921348314607,0.9104373987502893,29,149,178,,
sample2_12h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,9,1,3,54,0.9,0.75,0.9818181818181818,0.8181818181818182,0.9402985074626866,0.865909090909091,12,55,67,,
sample2_26h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,21,0,2,107,1.0,0.9130434782608695,1.0,0.9545454545454545,0.9846153846153847,0.9565217391304348,23,107,130,,
sample2_40h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,27,2,4,164,0.9310344827586207,0.8709677419354839,0.9879518072289156,0.9,0.9695431472081218,0.9294597745821997,31,166,197,,
sample2_54h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,53,1,6,313,0.9814814814814815,0.8983050847457628,0.9968152866242038,0.9380530973451328,0.9812332439678284,0.9475601856849833,59,314,373,,
sample3_18h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,8,0,1,28,1.0,0.8888888888888888,1.0,0.9411764705882353,0.972972972972973,0.9444444444444444,9,28,37,,
sample3_40h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,11,1,1,63,0.9166666666666666,0.9166666666666666,0.984375,0.9166666666666666,0.9736842105263158,0.9505208333333333,12,64,76,,
sample3_58h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,27,3,3,159,0.9,0.9,0.9814814814814815,0.9,0.96875,0.9407407407407408,30,162,192,,
sample4_20h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,53,0,1,281,1.0,0.9814814814814815,1.0,0.9906542056074767,0.9970149253731343,0.9907407407407407,54,281,335,,
sample4_36h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,71,7,4,550,0.9102564102564102,0.9466666666666667,0.9874326750448833,0.9281045751633987,0.9825949367088608,0.967049670855775,75,557,632,,
sample4_52h.json,junctionAngleAverageDegrees (threshold + MWM),>=,145.0,103,13,6,878,0.8879310344827587,0.944954128440367,0.9854096520763187,0.9155555555555556,0.981,0.9651818902583429,109,891,1000,,
