pairIndex,fileName,firstPolygonId,secondPolygonId,observed_division,predicted,classification,junctionAngleAverageDegrees,threshold_op,threshold,division_timing
1,sample10_22h.json,0,1,1,1,TP,164.62665,>=,145.0,8
8,sample10_22h.json,2,7,1,1,TP,168.334934,>=,145.0,8
9,sample10_22h.json,3,6,1,1,TP,159.499474,>=,145.0,7
21,sample10_22h.json,8,15,1,1,TP,163.735924,>=,145.0,7
32,sample10_22h.json,11,19,1,1,TP,150.014386,>=,145.0,22
34,sample10_22h.json,12,13,1,1,TP,152.011373,>=,145.0,8
37,sample10_22h.json,14,16,1,1,TP,158.706089,>=,145.0,12
43,sample10_22h.json,17,18,1,1,TP,161.967039,>=,145.0,8
54,sample10_22h.json,20,23,1,1,TP,168.553968,>=,145.0,4
60,sample10_22h.json,22,29,1,1,TP,157.784309,>=,145.0,22
65,sample10_22h.json,24,30,1,1,TP,163.409421,>=,145.0,2
69,sample10_22h.json,25,28,1,1,TP,175.687516,>=,145.0,8
73,sample10_22h.json,27,33,1,1,TP,165.199337,>=,145.0,8
81,sample10_22h.json,31,36,1,1,TP,145.247964,>=,145.0,12
83,sample10_22h.json,32,35,1,1,TP,162.564573,>=,145.0,4
99,sample10_22h.json,37,43,1,1,TP,148.591475,>=,145.0,7
100,sample10_22h.json,38,40,1,1,TP,174.188596,>=,145.0,2
103,sample10_22h.json,39,49,1,1,TP,163.181711,>=,145.0,14
109,sample10_22h.json,41,46,1,1,TP,168.224803,>=,145.0,10
111,sample10_22h.json,42,48,1,1,TP,158.181775,>=,145.0,8
115,sample10_22h.json,45,47,1,1,TP,155.994448,>=,145.0,12
125,sample10_22h.json,50,52,1,1,TP,168.943064,>=,145.0,8
126,sample10_22h.json,51,53,1,1,TP,171.379754,>=,145.0,7
128,sample10_22h.json,55,56,1,1,TP,164.740873,>=,145.0,7
1,sample10_44h.json,0,1,1,1,TP,171.752567,>=,145.0,2
6,sample10_44h.json,2,3,1,1,TP,169.893832,>=,145.0,12
15,sample10_44h.json,4,5,1,1,TP,172.995731,>=,145.0,10
21,sample10_44h.json,6,7,1,1,TP,164.062373,>=,145.0,2
27,sample10_44h.json,8,9,1,1,TP,173.781079,>=,145.0,2
32,sample10_44h.json,10,12,1,1,TP,169.441707,>=,145.0,22
35,sample10_44h.json,11,13,1,1,TP,177.624395,>=,145.0,2
47,sample10_44h.json,15,22,1,1,TP,177.57964,>=,145.0,8
52,sample10_44h.json,17,19,1,1,TP,170.881831,>=,145.0,10
60,sample10_44h.json,20,21,1,1,TP,163.474374,>=,145.0,2
69,sample10_44h.json,23,34,1,1,TP,149.843915,>=,145.0,10
71,sample10_44h.json,24,32,1,1,TP,157.76337,>=,145.0,22
74,sample10_44h.json,25,31,1,1,TP,163.133763,>=,145.0,6
77,sample10_44h.json,26,28,1,1,TP,164.340071,>=,145.0,4
83,sample10_44h.json,27,36,1,1,TP,151.802288,>=,145.0,14
87,sample10_44h.json,29,30,1,1,TP,154.658924,>=,145.0,10
98,sample10_44h.json,33,35,1,1,TP,171.871912,>=,145.0,6
109,sample10_44h.json,37,41,1,1,TP,159.893642,>=,145.0,10
112,sample10_44h.json,38,43,1,1,TP,148.051303,>=,145.0,12
118,sample10_44h.json,39,45,1,1,TP,174.295035,>=,145.0,8
120,sample10_44h.json,40,51,1,1,TP,152.629389,>=,145.0,8
125,sample10_44h.json,42,46,1,1,TP,160.441731,>=,145.0,4
129,sample10_44h.json,44,47,1,1,TP,175.947055,>=,145.0,2
140,sample10_44h.json,48,59,1,1,TP,150.439971,>=,145.0,12
149,sample10_44h.json,52,55,1,1,TP,155.358501,>=,145.0,6
153,sample10_44h.json,53,61,1,1,TP,173.260654,>=,145.0,8
163,sample10_44h.json,56,57,1,1,TP,165.648708,>=,145.0,2
