filename,cell_1_id,cell_2_id,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
sample6_22h.json,0,2,-1,0,0,50.698879,1.150287,0.600935,983.995784,0.503816,1481.758653,2465.754438,1973.756545,0.712344,153.906450,216.056338,184.981394,62.149888,0.922868,0.663782,0.786093,0.724937,0.122310,0.922868,1.093453,1.184842,1.139148,0.091389,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.595884,0.503916,28.104962,0.637662,41.774261,0.947800,20.512368,0.465397,4.405104,0.099946,34.576922,0.989074,1.274085,115.337450,116.611535,115.974493
sample6_22h.json,0,4,-1,0,0,36.249216,0.804597,0.663534,829.643326,0.434653,1636.111111,2465.754438,2050.932774,0.777388,167.959523,216.056338,192.007930,48.096815,0.781847,0.663782,0.728808,0.696295,0.065026,0.781847,1.093453,1.398551,1.246002,0.305098,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.119971,0.520541,34.668269,0.769506,34.325531,0.761899,18.049276,0.400627,3.463396,0.076874,13.005268,0.662975,36.886958,72.561840,109.448798,91.005319
sample6_22h.json,0,8,-1,0,0,58.482612,1.230149,0.836864,402.254438,0.278573,2063.500000,2465.754438,2264.627219,0.812008,175.439497,216.056338,195.747917,40.616841,0.968657,0.663782,0.842480,0.753131,0.178698,0.968657,1.093453,1.128834,1.111144,0.035382,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.302934,0.528697,31.694724,0.666681,40.584885,0.853681,26.488480,0.557171,5.962794,0.125424,51.605484,0.817801,21.847487,98.062830,119.910317,108.986574
sample6_22h.json,1,2,16,1,1,37.257716,0.999517,0.877447,181.593979,0.047410,1300.164674,1481.758653,1390.961664,0.916352,141.032466,153.906450,147.469458,12.873984,0.849915,0.786093,0.821429,0.803761,0.035336,0.849915,1.007015,1.184842,1.095929,0.177827,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,2.106207,0.729340,38.002648,1.019502,27.837604,0.746803,18.624600,0.499644,2.153247,0.057765,87.626411,0.894094,18.484470,156.052889,174.537360,165.295124
sample6_22h.json,1,3,-1,0,0,30.847635,0.921066,0.735548,343.831341,0.175648,956.333333,1300.164674,1128.249004,0.879673,124.062494,141.032466,132.547480,16.969972,0.993033,0.780797,0.821429,0.801113,0.040632,0.993033,1.000000,1.007015,1.003508,0.007015,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.381463,0.670608,29.732137,0.887759,23.740494,0.708857,15.412068,0.460182,3.789493,0.113149,69.518705,0.683019,40.414090,87.082938,127.497028,107.289983
sample6_22h.json,1,5,-1,0,0,54.990167,1.439682,0.799187,326.693659,0.771038,1300.164674,1626.858333,1463.511504,0.857042,141.032466,164.557233,152.794850,23.524767,0.999279,0.754963,0.821429,0.788196,0.066466,0.999279,1.006289,1.007015,1.006652,0.000726,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.138875,0.448311,9.576552,0.250721,39.771132,1.041236,24.897666,0.651839,4.227763,0.110686,45.644860,0.908824,9.817736,97.861154,107.678890,102.770022
sample6_22h.json,2,4,-1,0,0,40.859701,1.035176,0.905659,154.352458,0.122645,1481.758653,1636.111111,1558.934882,0.916331,153.906450,167.959523,160.932986,14.053073,0.847193,0.728808,0.786093,0.757451,0.057284,0.847193,1.184842,1.398551,1.291697,0.213708,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.032361,0.697158,42.400210,1.074205,34.098228,0.863875,18.689596,0.473499,2.641255,0.066916,62.046286,0.872972,21.699705,149.126920,170.826625,159.976772
sample6_22h.json,2,5,-1,0,0,44.090889,1.118661,0.910810,145.099680,0.612439,1481.758653,1626.858333,1554.308493,0.935276,153.906450,164.557233,159.231842,10.650783,0.849302,0.754963,0.786093,0.770528,0.031130,0.849302,1.006289,1.184842,1.095566,0.178553,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.525020,0.440250,10.292625,0.261142,39.495728,1.002074,23.090861,0.585855,0.829273,0.021040,69.417228,0.658300,29.933390,57.668096,87.601486,72.634791
sample6_22h.json,3,5,-1,0,0,42.758026,1.200074,0.587841,670.525000,0.143601,956.333333,1626.858333,1291.595833,0.753917,124.062494,164.557233,144.309864,40.494739,0.993750,0.754963,0.780797,0.767880,0.025834,0.993750,1.000000,1.006289,1.003145,0.006289,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.436842,0.610525,29.017236,0.814416,32.294951,0.906411,19.992063,0.561110,9.031417,0.253482,59.644694,0.941660,9.639997,155.598174,165.238172,160.418173
sample6_22h.json,3,6,-1,0,0,26.413998,0.818667,0.846858,172.938586,0.239957,956.333333,1129.271919,1042.802626,0.847220,124.062494,146.434779,135.248636,22.372285,0.617655,0.661790,0.780797,0.721293,0.119007,0.617655,1.000000,1.619026,1.309513,0.619026,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.446667,0.630095,33.274949,1.031313,21.288782,0.659818,12.378191,0.383646,1.212775,0.037588,21.695115,0.735199,32.777765,91.005086,123.782851,107.393968
