geometry_col,op,threshold,selected_pairs,selected_pairs_evaluated,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_pos,support_neg,evaluated_pairs,skipped_missing_observed,skipped_exception
junctionAngleAverageDegrees (threshold + MWM),>=,120.0,1305,1305,1057,248,57,6211,0.8099616858237548,0.9488330341113106,0.9616039634618362,0.8739148408433238,0.9597253400237686,0.9552184987865734,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,121.0,1299,1299,1057,242,57,6217,0.8137028483448807,0.9488330341113106,0.962532899829695,0.8760878574388727,0.9605176284167437,0.9556829669705028,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,122.0,1296,1296,1059,237,55,6222,0.8171296296296297,0.9506283662477558,0.9633070134695774,0.8788381742738589,0.9614419648752146,0.9569676898586665,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,123.0,1287,1287,1063,224,51,6235,0.8259518259518259,0.9542190305206463,0.9653197089332715,0.8854643898375676,0.9636867819886439,0.9597693697269589,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,124.0,1280,1280,1064,216,50,6243,0.83125,0.9551166965888689,0.9665582907570831,0.8888888888888888,0.9648752145781064,0.960837493672976,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,125.0,1274,1274,1064,210,50,6249,0.8351648351648352,0.9551166965888689,0.967487227124942,0.8911222780569514,0.9656675029710815,0.9613019618569054,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,126.0,1268,1268,1064,204,50,6255,0.8391167192429022,0.9551166965888689,0.9684161634928008,0.8933669185558355,0.9664597913640565,0.9617664300408348,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,127.0,1264,1264,1064,200,50,6259,0.8417721518987342,0.9551166965888689,0.9690354544047066,0.8948696383515559,0.9669879836260399,0.9620760754967878,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,128.0,1255,1255,1064,191,50,6268,0.847808764940239,0.9551166965888689,0.9704288589564948,0.8982693119459687,0.9681764162155024,0.9627727777726818,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,129.0,1243,1243,1064,179,50,6280,0.8559935639581657,0.9551166965888689,0.9722867316922125,0.9028425965210012,0.9697609930014526,0.9637017141405406,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,130.0,1233,1233,1066,167,48,6292,0.8645579886455799,0.9569120287253142,0.97414460442793,0.9083936940775458,0.9716096659183943,0.9655283165766222,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,131.0,1230,1230,1066,164,48,6295,0.8666666666666667,0.9569120287253142,0.9746090726118595,0.9095563139931742,0.9720058101148819,0.9657605506685869,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,132.0,1226,1226,1067,159,47,6300,0.8703099510603589,0.9578096947935368,0.9753831862517418,0.9119658119658121,0.9727980985078568,0.9665964405226393,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,133.0,1219,1219,1066,153,48,6306,0.874487284659557,0.9569120287253142,0.9763121226196005,0.9138448349764253,0.9734583388353361,0.9666120756724574,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,134.0,1210,1210,1065,145,49,6314,0.8801652892561983,0.9560143626570916,0.9775507044434123,0.9165232358003442,0.974382675293807,0.966782533550252,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,135.0,1205,1205,1063,142,51,6317,0.8821576763485477,0.9542190305206463,0.9780151726273417,0.9167744717550669,0.9745147233593028,0.966117101573994,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,136.0,1192,1192,1058,134,56,6325,0.8875838926174496,0.9497307001795332,0.9792537544511535,0.9176062445793581,0.9749108675557903,0.9644922273153433,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,137.0,1180,1180,1056,124,58,6335,0.8949152542372881,0.947935368043088,0.9808019817309181,0.920662598081953,0.975967252079757,0.9643686748870031,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,138.0,1165,1165,1054,111,60,6348,0.9047210300429185,0.9461400359066428,0.9828146771946121,0.9249670908293112,0.9774197808002113,0.9644773565506275,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,139.0,1159,1159,1051,108,63,6351,0.9068162208800691,0.9434470377019749,0.9832791453785416,0.9247690277166741,0.9774197808002113,0.9633630915402582,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,140.0,1152,1152,1052,100,62,6359,0.9131944444444444,0.9443447037701975,0.9845177272023533,0.9285083848190645,0.9786082133896739,0.9644312154862754,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,141.0,1147,1147,1050,97,64,6362,0.9154315605928509,0.9425493716337523,0.9849821953862827,0.9287925696594428,0.9787402614551697,0.9637657835100175,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,142.0,1134,1134,1045,89,69,6370,0.9215167548500882,0.9380610412926391,0.9862207772100945,0.9297153024911032,0.9791364056516572,0.9621409092513669,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,143.0,1123,1123,1041,82,73,6377,0.9269813000890472,0.9344703770197487,0.9873045363059297,0.9307107733571749,0.9795325498481448,0.9608874566628391,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,144.0,1113,1113,1037,76,77,6383,0.9317160826594789,0.9308797127468582,0.9882334726737885,0.9312977099236642,0.9797966459791364,0.9595565927103233,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,145.0,1095,1095,1030,65,84,6394,0.9406392694063926,0.9245960502692998,0.9899365226815297,0.9325486645540968,0.9803248382411198,0.9572662864754147,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,146.0,1080,1080,1018,62,96,6397,0.9425925925925925,0.9138240574506283,0.9904009908654591,0.9279854147675478,0.9791364056516572,0.9521125241580437,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,147.0,1062,1062,1002,60,112,6399,0.943502824858757,0.8994614003590664,0.990710636321412,0.9209558823529412,0.9772877327347155,0.9450860183402392,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,148.0,1039,1039,984,55,130,6404,0.9470644850818094,0.8833034111310593,0.9914847499612943,0.9140733859730608,0.9755711078832695,0.9373940805461768,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,149.0,1019,1019,968,51,146,6408,0.9499509322865555,0.8689407540394973,0.9921040408732001,0.9076418190342243,0.9739865310973195,0.9305223974563488,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,150.0,994,994,944,50,170,6409,0.9496981891348089,0.8473967684021544,0.9922588636011767,0.8956356736242884,0.9709494255909151,0.9198278160016655,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,151.0,967,967,919,48,195,6411,0.9503619441571872,0.8249551166965888,0.9925685090571296,0.8832292167227295,0.9679123200845108,0.9087618128768592,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,152.0,941,941,899,42,215,6417,0.9553666312433581,0.8070017953321365,0.9934974454249884,0.8749391727493918,0.966063647167569,0.9002496203785624,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,153.0,910,910,869,41,245,6418,0.954945054945055,0.7800718132854578,0.9936522681529648,0.8586956521739132,0.9622342532681897,0.8868620407192114,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,154.0,884,884,845,39,269,6420,0.9558823529411765,0.7585278276481149,0.9939619136089178,0.8458458458458459,0.9593291958272812,0.8762448706285164,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,155.0,858,858,822,36,292,6423,0.958041958041958,0.7378815080789947,0.9944263817928471,0.8336713995943206,0.9566882345173643,0.8661539449359209,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,156.0,832,832,798,34,316,6425,0.9591346153846154,0.7163375224416517,0.9947360272488002,0.8201438848920863,0.9537831770764559,0.855536774845226,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,157.0,799,799,768,31,346,6428,0.9612015018773467,0.6894075403949731,0.9952004954327295,0.8029273392577104,0.9502178793080681,0.8423040179138512,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,158.0,764,764,735,29,379,6430,0.9620418848167539,0.6597845601436265,0.9955101408886825,0.7827476038338658,0.946124389277697,0.8276473505161546,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,159.0,732,732,704,28,410,6431,0.9617486338797814,0.6319569120287253,0.9956649636166589,0.7627302275189598,0.9421629473128219,0.8138109378226921,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,160.0,687,687,664,23,450,6436,0.9665211062590975,0.5960502692998204,0.9964390772565412,0.7373681288173237,0.9375412650204674,0.7962446732781808,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,161.0,644,644,625,19,489,6440,0.9704968944099379,0.5610412926391383,0.9970583681684472,0.7110352673492606,0.932919582728113,0.7790498304037927,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,162.0,603,603,585,18,529,6441,0.9701492537313433,0.5251346499102334,0.9972131908964236,0.681421083284799,0.9277697081737752,0.7611739204033285,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,163.0,563,563,546,17,568,6442,0.9698046181172292,0.49012567324955114,0.9973680136244001,0.6511627906976744,0.9227518816849333,0.7437468434369756,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,164.0,505,505,491,14,623,6445,0.9722772277227723,0.440754039497307,0.9978324818083295,0.6065472513897467,0.9158853822791496,0.7192932606528183,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,165.0,454,454,440,14,674,6445,0.9691629955947136,0.39497307001795334,0.9978324818083295,0.5612244897959183,0.9091509309388618,0.6964027759131415,1114,6459,7573,0,51
junctionAngleAverageDegrees (threshold + MWM),>=,166.0,416,416,403,13,711,6446,0.96875,0.3617594254937163,0.9979873045363059,0.5267973856209149,0.9043972005810115,0.679873365015011,1114,6459,7573,0,51
