group,n_files,TP,FP,TN,FN,precision,recall,f1,accuracy,support_pos,support_neg,evaluated_pairs,used_files
sample1,3,63,2,335,7,0.9692307692307692,0.9,0.9333333333333333,0.9778869778869779,70,337,407,sample1_18h;sample1_38h;sample1_58h
sample2,4,110,4,638,15,0.9649122807017544,0.88,0.9205020920502092,0.9752281616688396,125,642,767,sample2_12h;sample2_26h;sample2_40h;sample2_54h
sample3,3,46,4,250,5,0.92,0.9019607843137255,0.9108910891089109,0.9704918032786886,51,254,305,sample3_18h;sample3_40h;sample3_58h
sample4,3,227,20,1709,11,0.9190283400809717,0.9537815126050421,0.9360824742268042,0.9842399593289273,238,1729,1967,sample4_20h;sample4_36h;sample4_52h
sample5,3,90,3,468,6,0.967741935483871,0.9375,0.9523809523809523,0.9841269841269841,96,471,567,sample5_22h;sample5_42h;sample5_72h
sample6,3,110,5,744,10,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9827387802071347,120,749,869,sample6_22h;sample6_36h;sample6_54h
sample7,2,84,7,498,10,0.9230769230769231,0.8936170212765957,0.908108108108108,0.9716193656093489,94,505,599,sample7_14h;sample7_30h
sample8,3,96,5,519,6,0.9504950495049505,0.9411764705882353,0.9458128078817734,0.9824281150159745,102,524,626,sample8_14h;sample8_28h;sample8_50h
sample9,2,89,8,566,8,0.9175257731958762,0.9175257731958762,0.9175257731958762,0.9761549925484352,97,574,671,sample9_18h;sample9_44h
sample10,2,79,4,457,6,0.9518072289156626,0.9294117647058824,0.9404761904761904,0.9816849816849816,85,461,546,sample10_22h;sample10_44h
sample11,1,26,1,155,0,0.9629629629629629,1.0,0.9811320754716981,0.9945054945054945,26,156,182,sample11_42h
sample12,1,10,2,55,0,0.8333333333333334,1.0,0.9090909090909091,0.9701492537313433,10,57,67,sample12_42h
