scope,geometry_col,op,threshold,TP,FP,TN,FN,precision,recall,f1,accuracy,support_pos,support_neg,evaluated_pairs
sample10_22h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,24,0,104,0,1.0,1.0,1.0,1.0,24,104,128
sample10_44h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,55,4,353,6,0.9322033898305084,0.9016393442622951,0.9166666666666666,0.9760765550239234,61,357,418
sample11_42h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,26,1,155,0,0.9629629629629629,1.0,0.9811320754716981,0.9945054945054945,26,156,182
sample12_42h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,10,2,55,0,0.8333333333333334,1.0,0.9090909090909091,0.9701492537313433,10,57,67
sample1_18h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,9,1,43,1,0.9,0.9,0.9,0.9629629629629629,10,44,54
sample1_38h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,30,0,144,1,1.0,0.967741935483871,0.9836065573770492,0.9942857142857143,31,144,175
sample1_58h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,24,1,148,5,0.96,0.8275862068965517,0.888888888888889,0.9662921348314607,29,149,178
sample2_12h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,9,1,54,3,0.9,0.75,0.8181818181818182,0.9402985074626866,12,55,67
sample2_26h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,21,0,107,2,1.0,0.9130434782608695,0.9545454545454545,0.9846153846153847,23,107,130
sample2_40h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,27,2,164,4,0.9310344827586207,0.8709677419354839,0.9,0.9695431472081218,31,166,197
sample2_54h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,53,1,313,6,0.9814814814814815,0.8983050847457628,0.9380530973451328,0.9812332439678284,59,314,373
sample3_18h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,8,0,28,1,1.0,0.8888888888888888,0.9411764705882353,0.972972972972973,9,28,37
sample3_40h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,11,1,63,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9736842105263158,12,64,76
sample3_58h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,27,3,159,3,0.9,0.9,0.9,0.96875,30,162,192
sample4_20h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,53,0,281,1,1.0,0.9814814814814815,0.9906542056074767,0.9970149253731343,54,281,335
sample4_36h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,71,7,550,4,0.9102564102564102,0.9466666666666667,0.9281045751633987,0.9825949367088608,75,557,632
sample4_52h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,103,13,878,6,0.8879310344827587,0.944954128440367,0.9155555555555556,0.981,109,891,1000
sample5_22h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,13,0,48,0,1.0,1.0,1.0,1.0,13,48,61
sample5_42h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,22,1,118,2,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9790209790209791,24,119,143
sample5_72h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,55,2,302,4,0.9649122807017544,0.9322033898305084,0.9482758620689654,0.9834710743801653,59,304,363
sample6_22h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,38,2,278,6,0.95,0.8636363636363636,0.9047619047619048,0.9753086419753086,44,280,324
sample6_36h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,41,1,241,1,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9929577464788732,42,242,284
sample6_54h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,31,2,225,3,0.9393939393939394,0.9117647058823529,0.9253731343283583,0.9808429118773946,34,227,261
sample7_14h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,46,0,231,4,1.0,0.92,0.9583333333333334,0.9857651245551602,50,231,281
sample7_30h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,38,7,267,6,0.8444444444444444,0.8636363636363636,0.853932584269663,0.9591194968553459,44,274,318
sample8_14h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,22,0,111,2,1.0,0.9166666666666666,0.9565217391304348,0.9851851851851852,24,111,135
sample8_28h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,32,1,149,0,0.9696969696969697,1.0,0.9846153846153847,0.9945054945054945,32,150,182
sample8_50h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,42,4,259,4,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9741100323624595,46,263,309
sample9_18h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,27,1,144,1,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9884393063583815,28,145,173
sample9_44h.json,junctionAngleAverageDegrees (threshold + global MWM),>=,145.0,62,7,422,7,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.9718875502008032,69,429,498
