level,unit,metric,value
individual,sample10_22h.json,f1,1.0
individual,sample10_22h.json,precision,1.0
individual,sample10_22h.json,recall,1.0
individual,sample10_44h.json,f1,0.9166666666666666
individual,sample10_44h.json,precision,0.9322033898305084
individual,sample10_44h.json,recall,0.9016393442622951
individual,sample11_42h.json,f1,0.9811320754716981
individual,sample11_42h.json,precision,0.9629629629629629
individual,sample11_42h.json,recall,1.0
individual,sample12_42h.json,f1,0.9090909090909091
individual,sample12_42h.json,precision,0.8333333333333334
individual,sample12_42h.json,recall,1.0
individual,sample1_18h.json,f1,0.9
individual,sample1_18h.json,precision,0.9
individual,sample1_18h.json,recall,0.9
individual,sample1_38h.json,f1,0.9836065573770492
individual,sample1_38h.json,precision,1.0
individual,sample1_38h.json,recall,0.967741935483871
individual,sample1_58h.json,f1,0.888888888888889
individual,sample1_58h.json,precision,0.96
individual,sample1_58h.json,recall,0.8275862068965517
individual,sample2_12h.json,f1,0.8181818181818182
individual,sample2_12h.json,precision,0.9
individual,sample2_12h.json,recall,0.75
individual,sample2_26h.json,f1,0.9545454545454545
individual,sample2_26h.json,precision,1.0
individual,sample2_26h.json,recall,0.9130434782608695
individual,sample2_40h.json,f1,0.9
individual,sample2_40h.json,precision,0.9310344827586207
individual,sample2_40h.json,recall,0.8709677419354839
individual,sample2_54h.json,f1,0.9380530973451328
individual,sample2_54h.json,precision,0.9814814814814815
individual,sample2_54h.json,recall,0.8983050847457628
individual,sample3_18h.json,f1,0.9411764705882353
individual,sample3_18h.json,precision,1.0
individual,sample3_18h.json,recall,0.8888888888888888
individual,sample3_40h.json,f1,0.9166666666666666
individual,sample3_40h.json,precision,0.9166666666666666
individual,sample3_40h.json,recall,0.9166666666666666
individual,sample3_58h.json,f1,0.9
individual,sample3_58h.json,precision,0.9
individual,sample3_58h.json,recall,0.9
individual,sample4_20h.json,f1,0.9906542056074767
individual,sample4_20h.json,precision,1.0
individual,sample4_20h.json,recall,0.9814814814814815
individual,sample4_36h.json,f1,0.9281045751633987
individual,sample4_36h.json,precision,0.9102564102564102
individual,sample4_36h.json,recall,0.9466666666666667
individual,sample4_52h.json,f1,0.9155555555555556
individual,sample4_52h.json,precision,0.8879310344827587
individual,sample4_52h.json,recall,0.944954128440367
individual,sample5_22h.json,f1,1.0
individual,sample5_22h.json,precision,1.0
individual,sample5_22h.json,recall,1.0
individual,sample5_42h.json,f1,0.9361702127659574
individual,sample5_42h.json,precision,0.9565217391304348
individual,sample5_42h.json,recall,0.9166666666666666
individual,sample5_72h.json,f1,0.9482758620689654
individual,sample5_72h.json,precision,0.9649122807017544
individual,sample5_72h.json,recall,0.9322033898305084
individual,sample6_22h.json,f1,0.9047619047619048
individual,sample6_22h.json,precision,0.95
individual,sample6_22h.json,recall,0.8636363636363636
individual,sample6_36h.json,f1,0.9761904761904762
individual,sample6_36h.json,precision,0.9761904761904762
individual,sample6_36h.json,recall,0.9761904761904762
individual,sample6_54h.json,f1,0.9253731343283583
individual,sample6_54h.json,precision,0.9393939393939394
individual,sample6_54h.json,recall,0.9117647058823529
individual,sample7_14h.json,f1,0.9583333333333334
individual,sample7_14h.json,precision,1.0
individual,sample7_14h.json,recall,0.92
individual,sample7_30h.json,f1,0.853932584269663
individual,sample7_30h.json,precision,0.8444444444444444
individual,sample7_30h.json,recall,0.8636363636363636
individual,sample8_14h.json,f1,0.9565217391304348
individual,sample8_14h.json,precision,1.0
individual,sample8_14h.json,recall,0.9166666666666666
individual,sample8_28h.json,f1,0.9846153846153847
individual,sample8_28h.json,precision,0.9696969696969697
individual,sample8_28h.json,recall,1.0
individual,sample8_50h.json,f1,0.9130434782608695
individual,sample8_50h.json,precision,0.9130434782608695
individual,sample8_50h.json,recall,0.9130434782608695
individual,sample9_18h.json,f1,0.9642857142857143
individual,sample9_18h.json,precision,0.9642857142857143
individual,sample9_18h.json,recall,0.9642857142857143
individual,sample9_44h.json,f1,0.8985507246376812
individual,sample9_44h.json,precision,0.8985507246376812
individual,sample9_44h.json,recall,0.8985507246376812
group,sample1,f1,0.9333333333333333
group,sample1,precision,0.9692307692307692
group,sample1,recall,0.9
group,sample2,f1,0.9205020920502092
group,sample2,precision,0.9649122807017544
group,sample2,recall,0.88
group,sample3,f1,0.9108910891089109
group,sample3,precision,0.92
group,sample3,recall,0.9019607843137255
group,sample4,f1,0.9360824742268042
group,sample4,precision,0.9190283400809717
group,sample4,recall,0.9537815126050421
group,sample5,f1,0.9523809523809523
group,sample5,precision,0.967741935483871
group,sample5,recall,0.9375
group,sample6,f1,0.9361702127659574
group,sample6,precision,0.9565217391304348
group,sample6,recall,0.9166666666666666
group,sample7,f1,0.908108108108108
group,sample7,precision,0.9230769230769231
group,sample7,recall,0.8936170212765957
group,sample8,f1,0.9458128078817734
group,sample8,precision,0.9504950495049505
group,sample8,recall,0.9411764705882353
group,sample9,f1,0.9175257731958762
group,sample9,precision,0.9175257731958762
group,sample9,recall,0.9175257731958762
group,sample10,f1,0.9404761904761904
group,sample10,precision,0.9518072289156626
group,sample10,recall,0.9294117647058824
group,sample11,f1,0.9811320754716981
group,sample11,precision,0.9629629629629629
group,sample11,recall,1.0
group,sample12,f1,0.9090909090909091
group,sample12,precision,0.8333333333333334
group,sample12,recall,1.0
