seed,inference_engine,best_threshold,precision,recall,f1,pred_pos,TP,FP,FN,TN,analysis_rows,excluded_exception_rows,exception_column,exception_positive_value,random_scope,operator,threshold_min,threshold_max,threshold_count
0,estimate_by_single_threshold.py,0.05,0.20609065155807366,0.2612208258527828,0.2304038004750594,1412,291,1121,823,5338,7573,51,exception_label,1,pair,>=,0.05,0.95,91
1,estimate_by_single_threshold.py,0.05,0.20507399577167018,0.2612208258527828,0.22976707461508095,1419,291,1128,823,5331,7573,51,exception_label,1,pair,>=,0.05,0.95,91
2,estimate_by_single_threshold.py,0.1,0.1875891583452211,0.23608617594254938,0.20906200317965024,1402,263,1139,851,5320,7573,51,exception_label,1,pair,>=,0.05,0.95,91
3,estimate_by_single_threshold.py,0.07,0.22836879432624113,0.289048473967684,0.2551505546751189,1410,322,1088,792,5371,7573,51,exception_label,1,pair,>=,0.05,0.95,91
4,estimate_by_single_threshold.py,0.06,0.20141342756183744,0.25583482944344704,0.22538552787663108,1415,285,1130,829,5329,7573,51,exception_label,1,pair,>=,0.05,0.95,91
5,estimate_by_single_threshold.py,0.07,0.20748059280169373,0.2639138240574506,0.23231924140655866,1417,294,1123,820,5336,7573,51,exception_label,1,pair,>=,0.05,0.95,91
6,estimate_by_single_threshold.py,0.17,0.21443888491779842,0.26929982046678635,0.238758456028651,1399,300,1099,814,5360,7573,51,exception_label,1,pair,>=,0.05,0.95,91
7,estimate_by_single_threshold.py,0.05,0.2044975404075896,0.2612208258527828,0.22940480882932598,1423,291,1132,823,5327,7573,51,exception_label,1,pair,>=,0.05,0.95,91
8,estimate_by_single_threshold.py,0.05,0.2076002814919071,0.26481149012567323,0.232741617357002,1421,295,1126,819,5333,7573,51,exception_label,1,pair,>=,0.05,0.95,91
9,estimate_by_single_threshold.py,0.05,0.1932536893886156,0.24685816876122083,0.216791486007095,1423,275,1148,839,5311,7573,51,exception_label,1,pair,>=,0.05,0.95,91
10,estimate_by_single_threshold.py,0.11,0.20706713780918728,0.263016157989228,0.2317121391854488,1415,293,1122,821,5337,7573,51,exception_label,1,pair,>=,0.05,0.95,91
11,estimate_by_single_threshold.py,0.09,0.19418851878100638,0.2459605026929982,0.21702970297029703,1411,274,1137,840,5322,7573,51,exception_label,1,pair,>=,0.05,0.95,91
12,estimate_by_single_threshold.py,0.1,0.19347980155917788,0.24506283662477557,0.21623762376237624,1411,273,1138,841,5321,7573,51,exception_label,1,pair,>=,0.05,0.95,91
13,estimate_by_single_threshold.py,0.05,0.2066290550070522,0.263016157989228,0.23143759873617695,1418,293,1125,821,5334,7573,51,exception_label,1,pair,>=,0.05,0.95,91
14,estimate_by_single_threshold.py,0.06,0.223321554770318,0.2836624775583483,0.24990114669829974,1415,316,1099,798,5360,7573,51,exception_label,1,pair,>=,0.05,0.95,91
15,estimate_by_single_threshold.py,0.05,0.20989399293286218,0.2666068222621185,0.23487544483985767,1415,297,1118,817,5341,7573,51,exception_label,1,pair,>=,0.05,0.95,91
16,estimate_by_single_threshold.py,0.14,0.203136136849608,0.25583482944344704,0.2264600715137068,1403,285,1118,829,5341,7573,51,exception_label,1,pair,>=,0.05,0.95,91
17,estimate_by_single_threshold.py,0.1,0.22174840085287847,0.2800718132854578,0.2475208250694169,1407,312,1095,802,5364,7573,51,exception_label,1,pair,>=,0.05,0.95,91
18,estimate_by_single_threshold.py,0.05,0.22081575246132207,0.28186714542190305,0.24763406940063087,1422,314,1108,800,5351,7573,51,exception_label,1,pair,>=,0.05,0.95,91
19,estimate_by_single_threshold.py,0.06,0.20042342978122796,0.25493716337522443,0.22441722639273015,1417,284,1133,830,5326,7573,51,exception_label,1,pair,>=,0.05,0.95,91
20,estimate_by_single_threshold.py,0.05,0.20848056537102475,0.26481149012567323,0.23329379201265324,1415,295,1120,819,5339,7573,51,exception_label,1,pair,>=,0.05,0.95,91
21,estimate_by_single_threshold.py,0.05,0.2011173184357542,0.2585278276481149,0.22623723487824035,1432,288,1144,826,5315,7573,51,exception_label,1,pair,>=,0.05,0.95,91
22,estimate_by_single_threshold.py,0.05,0.20084269662921347,0.25673249551166966,0.22537431048069345,1424,286,1138,828,5321,7573,51,exception_label,1,pair,>=,0.05,0.95,91
23,estimate_by_single_threshold.py,0.05,0.2111581920903955,0.26840215439856374,0.2363636363636364,1416,299,1117,815,5342,7573,51,exception_label,1,pair,>=,0.05,0.95,91
24,estimate_by_single_threshold.py,0.14,0.21454027084818247,0.27019748653500897,0.2391736193881605,1403,301,1102,813,5357,7573,51,exception_label,1,pair,>=,0.05,0.95,91
25,estimate_by_single_threshold.py,0.16,0.2114695340501792,0.26481149012567323,0.23515344758868073,1395,295,1100,819,5359,7573,51,exception_label,1,pair,>=,0.05,0.95,91
26,estimate_by_single_threshold.py,0.07,0.2,0.25493716337522443,0.22415153906866614,1420,284,1136,830,5323,7573,51,exception_label,1,pair,>=,0.05,0.95,91
27,estimate_by_single_threshold.py,0.06,0.21458923512747877,0.2719928186714542,0.23990498812351543,1412,303,1109,811,5350,7573,51,exception_label,1,pair,>=,0.05,0.95,91
28,estimate_by_single_threshold.py,0.05,0.20938375350140057,0.26840215439856374,0.23524783634933122,1428,299,1129,815,5330,7573,51,exception_label,1,pair,>=,0.05,0.95,91
29,estimate_by_single_threshold.py,0.14,0.2064516129032258,0.2585278276481149,0.22957353527301716,1395,288,1107,826,5352,7573,51,exception_label,1,pair,>=,0.05,0.95,91
