pairIndex,fileName,firstPolygonId,secondPolygonId,observed_division,estimated_division,classification,randomScore,threshold_op,threshold,division_timing
1,sample10_22h.json,0,1,1,1,TP,0.6369616873214543,>=,0.05,8
2,sample10_22h.json,0,2,0,0,TN,0.2697867137638703,>=,0.05,-1
3,sample10_22h.json,0,4,0,0,TN,0.04097352393619469,>=,0.05,-1
4,sample10_22h.json,0,55,0,0,TN,0.016527635528529094,>=,0.05,-1
5,sample10_22h.json,1,4,0,0,TN,0.8132702392002724,>=,0.05,-1
6,sample10_22h.json,1,5,0,0,TN,0.9127555772777217,>=,0.05,-1
7,sample10_22h.json,2,4,0,0,TN,0.6066357757671799,>=,0.05,-1
8,sample10_22h.json,2,7,1,1,TP,0.7294965609839984,>=,0.05,8
9,sample10_22h.json,3,6,1,1,TP,0.5436249914654229,>=,0.05,7
10,sample10_22h.json,4,5,0,1,FP,0.9350724237877682,>=,0.05,-1
11,sample10_22h.json,4,7,0,0,TN,0.8158535541215322,>=,0.05,-1
12,sample10_22h.json,4,10,0,0,TN,0.002738500170148095,>=,0.05,-1
13,sample10_22h.json,4,12,0,0,TN,0.8574042765875693,>=,0.05,-1
14,sample10_22h.json,5,9,0,0,TN,0.033585575305464355,>=,0.05,-1
15,sample10_22h.json,5,10,0,0,TN,0.7296554464299441,>=,0.05,-1
16,sample10_22h.json,6,8,0,0,TN,0.17565562060255901,>=,0.05,-1
17,sample10_22h.json,6,11,0,0,TN,0.8631789223498866,>=,0.05,-1
18,sample10_22h.json,7,12,0,0,TN,0.5414612202490917,>=,0.05,-1
19,sample10_22h.json,7,13,0,0,TN,0.2997118905373848,>=,0.05,-1
20,sample10_22h.json,8,11,0,0,TN,0.42268722119765845,>=,0.05,-1
21,sample10_22h.json,8,15,1,0,FN,0.028319671145462966,>=,0.05,7
22,sample10_22h.json,8,19,0,0,TN,0.12428327649956394,>=,0.05,-1
23,sample10_22h.json,9,10,0,0,TN,0.6706244146936303,>=,0.05,-1
24,sample10_22h.json,9,11,0,1,FP,0.6471895115742501,>=,0.05,-1
25,sample10_22h.json,9,14,0,0,TN,0.6153851114812539,>=,0.05,-1
26,sample10_22h.json,9,17,0,0,TN,0.38367755426188344,>=,0.05,-1
27,sample10_22h.json,9,18,0,0,TN,0.997209935789211,>=,0.05,-1
28,sample10_22h.json,10,12,0,0,TN,0.9808353387762301,>=,0.05,-1
29,sample10_22h.json,10,14,0,0,TN,0.6855419844806947,>=,0.05,-1
30,sample10_22h.json,10,16,0,1,FP,0.6504592762678163,>=,0.05,-1
31,sample10_22h.json,11,18,0,0,TN,0.6884467305709401,>=,0.05,-1
32,sample10_22h.json,11,19,1,0,FN,0.3889214239791038,>=,0.05,22
33,sample10_22h.json,11,22,0,0,TN,0.13509650502241122,>=,0.05,-1
