feature,operator,threshold,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_pos,support_neg,evaluated_pairs,pred_pos,pred_neg,selected_pairs_raw,selected_pairs_evaluated,skipped_exception,skipped_missing_observed
randomScore,>=,0.05,291,1121,823,5338,0.20609065155807366,0.2612208258527828,0.8264437219383806,0.2304038004750594,0.7432985606760861,0.5438322738955816,1114,6459,7573,1412,6161,1412,1412,51,0
randomScore,>=,0.06,291,1121,823,5338,0.20609065155807366,0.2612208258527828,0.8264437219383806,0.2304038004750594,0.7432985606760861,0.5438322738955816,1114,6459,7573,1412,6161,1412,1412,51,0
randomScore,>=,0.07,290,1118,824,5341,0.2059659090909091,0.26032315978456017,0.82690819012231,0.22997620935765264,0.7435626568070778,0.5436156749534351,1114,6459,7573,1408,6165,1408,1408,51,0
randomScore,>=,0.08,289,1118,825,5341,0.20540156361051884,0.2594254937163375,0.82690819012231,0.22927409758032524,0.743430608741582,0.5431668419193237,1114,6459,7573,1407,6166,1407,1407,51,0
randomScore,>=,0.09,288,1117,826,5342,0.20498220640569395,0.2585278276481149,0.8270630128502864,0.2286621675267963,0.743430608741582,0.5427954202492007,1114,6459,7573,1405,6168,1405,1405,51,0
randomScore,>=,0.1,283,1118,831,5341,0.20199857244825126,0.2540394973070018,0.82690819012231,0.22504970178926442,0.7426383203486069,0.5404738437146559,1114,6459,7573,1401,6172,1401,1401,51,0
randomScore,>=,0.11,284,1114,830,5345,0.20314735336194564,0.25493716337522443,0.8275274810342158,0.22611464968152867,0.7432985606760861,0.5412323222047202,1114,6459,7573,1398,6175,1398,1398,51,0
randomScore,>=,0.12,285,1112,829,5347,0.2040085898353615,0.25583482944344704,0.8278371264901687,0.2270011947431302,0.7436947048725736,0.5418359779668078,1114,6459,7573,1397,6176,1397,1397,51,0
randomScore,>=,0.13,285,1110,829,5349,0.20430107526881722,0.25583482944344704,0.8281467719461217,0.22718214428058986,0.7439588010035653,0.5419908006947844,1114,6459,7573,1395,6178,1395,1395,51,0
randomScore,>=,0.14,284,1110,830,5349,0.20373027259684362,0.25493716337522443,0.8281467719461217,0.22647527910685805,0.7438267529380694,0.5415419676606731,1114,6459,7573,1394,6179,1394,1394,51,0
randomScore,>=,0.15,279,1111,835,5348,0.20071942446043164,0.2504488330341113,0.8279919492181452,0.22284345047923323,0.7430344645450944,0.5392203911261283,1114,6459,7573,1390,6183,1390,1390,51,0
randomScore,>=,0.16,279,1109,835,5350,0.2010086455331412,0.2504488330341113,0.8283015946740981,0.22302158273381298,0.7432985606760861,0.5393752138541047,1114,6459,7573,1388,6185,1388,1388,51,0
randomScore,>=,0.17,277,1106,837,5353,0.2002892263195951,0.24865350089766608,0.8287660628580276,0.22186623948738488,0.743430608741582,0.5387097818778468,1114,6459,7573,1383,6190,1383,1383,51,0
randomScore,>=,0.18,277,1105,837,5354,0.20043415340086831,0.24865350089766608,0.8289208855860041,0.22195512820512822,0.7435626568070778,0.5387871932418351,1114,6459,7573,1382,6191,1382,1382,51,0
randomScore,>=,0.19,276,1105,838,5354,0.1998551774076756,0.24775583482944344,0.8289208855860041,0.22124248496993987,0.743430608741582,0.5383383602077237,1114,6459,7573,1381,6192,1381,1381,51,0
randomScore,>=,0.2,276,1103,838,5356,0.2001450326323423,0.24775583482944344,0.829230531041957,0.22141997593261134,0.7436947048725736,0.5384931829357003,1114,6459,7573,1379,6194,1379,1379,51,0
randomScore,>=,0.21,275,1102,839,5357,0.19970951343500362,0.24685816876122083,0.8293853537699334,0.22079486150140507,0.7436947048725736,0.5381217612655771,1114,6459,7573,1377,6196,1377,1377,51,0
randomScore,>=,0.22,272,1102,842,5357,0.19796215429403202,0.24416517055655296,0.8293853537699334,0.21864951768488747,0.7432985606760861,0.5367752621632431,1114,6459,7573,1374,6199,1374,1374,51,0
randomScore,>=,0.23,269,1100,845,5359,0.1964937910883857,0.2414721723518851,0.8296949992258864,0.2166733789770439,0.7431665126105903,0.5355835857888858,1114,6459,7573,1369,6204,1369,1369,51,0
randomScore,>=,0.24,270,1097,844,5362,0.19751280175566935,0.24236983842010773,0.8301594674098157,0.21765417170495768,0.7436947048725736,0.5362646529149617,1114,6459,7573,1367,6206,1367,1367,51,0
randomScore,>=,0.25,268,1093,846,5366,0.19691403379867745,0.24057450628366248,0.8307787583217217,0.21656565656565654,0.7439588010035653,0.535676632302692,1114,6459,7573,1361,6212,1361,1361,51,0
randomScore,>=,0.26,268,1091,846,5368,0.19720382634289918,0.24057450628366248,0.8310884037776746,0.21674080064698747,0.744222897134557,0.5358314550306685,1114,6459,7573,1359,6214,1359,1359,51,0
randomScore,>=,0.27,267,1089,847,5370,0.19690265486725664,0.23967684021543986,0.8313980492336275,0.21619433198380567,0.7443549452000529,0.5355374447245337,1114,6459,7573,1356,6217,1356,1356,51,0
randomScore,>=,0.28,264,1089,850,5370,0.1951219512195122,0.236983842010772,0.8313980492336275,0.21402513173895418,0.7439588010035653,0.5341909456221997,1114,6459,7573,1353,6220,1353,1353,51,0
randomScore,>=,0.29,262,1089,852,5370,0.19393042190969653,0.23518850987432674,0.8313980492336275,0.2125760649087221,0.7436947048725736,0.5332932795539771,1114,6459,7573,1351,6222,1351,1351,51,0
