feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaRatio,ratio,>=,0.0,1.0,0.01,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,398,1044,5415,716,0.27600554785020803,0.35727109515260325,0.8383650719925685,0.3114241001564945,0.7675954047273208,0.5978180835725859,1114,6459,1442,6131
areaRatio,ratio,>=,0.0,1.0,0.01,0.01,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,398,1044,5415,716,0.27600554785020803,0.35727109515260325,0.8383650719925685,0.3114241001564945,0.7675954047273208,0.5978180835725859,1114,6459,1442,6131
areaRatio,ratio,>=,0.0,1.0,0.01,0.02,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,397,1043,5416,717,0.27569444444444446,0.35637342908438063,0.838519894720545,0.31088488645262335,0.7675954047273208,0.5974466619024628,1114,6459,1440,6133
areaRatio,ratio,>=,0.0,1.0,0.01,0.03,51,0,1114,6458,1,0,0.14712097200211305,1.0,0.00015482272797646694,0.2565047202394658,0.14723359302786215,0.5000774113639882,1114,6459,7572,1,392,1044,5415,722,0.27298050139275765,0.3518850987432675,0.8383650719925685,0.3074509803921569,0.7668031163343457,0.595125085367918,1114,6459,1436,6137
areaRatio,ratio,>=,0.0,1.0,0.01,0.04,51,0,1114,6455,4,0,0.14717928392125776,1.0,0.0006192909119058678,0.2565933433145226,0.14762973722434966,0.5003096454559529,1114,6459,7569,4,394,1041,5418,720,0.2745644599303136,0.35368043087971274,0.8388295401764979,0.30914083954491955,0.7674633566618249,0.5962549855281053,1114,6459,1435,6138
areaRatio,ratio,>=,0.0,1.0,0.01,0.05,51,0,1114,6451,8,0,0.1472571050892267,1.0,0.0012385818238117355,0.2567116027192073,0.14815792948633302,0.5006192909119058,1114,6459,7565,8,390,1043,5416,724,0.2721563154221912,0.3500897666068223,0.838519894720545,0.30624263839811544,0.7666710682688499,0.5943048306636837,1114,6459,1433,6140
areaRatio,ratio,>=,0.0,1.0,0.01,0.06,51,0,1113,6448,11,1,0.14720275095886787,0.9991023339317774,0.0017030500077411363,0.25659942363112387,0.1484220256173247,0.5004026919697593,1114,6459,7561,12,388,1043,5416,726,0.27113906359189377,0.348294434470377,0.838519894720545,0.3049115913555992,0.7664069721378581,0.5934071645954611,1114,6459,1431,6142
areaRatio,ratio,>=,0.0,1.0,0.01,0.07,51,0,1113,6440,19,1,0.14735866543095458,0.9991023339317774,0.002941631831552872,0.25683627552786426,0.14947841014129143,0.5010219828816651,1114,6459,7553,20,386,1044,5415,728,0.2699300699300699,0.3464991023339318,0.8383650719925685,0.3034591194968554,0.7660108279413707,0.5924320871632501,1114,6459,1430,6143
areaRatio,ratio,>=,0.0,1.0,0.01,0.08,51,0,1113,6432,27,1,0.14751491053677931,0.9991023339317774,0.0041802136553646075,0.2570735650767987,0.15053479466525815,0.501641273793571,1114,6459,7545,28,385,1042,5417,729,0.2697967764540995,0.34560143626570916,0.8386747174485214,0.30303030303030304,0.7661428760068665,0.5921380768571153,1114,6459,1427,6146
areaRatio,ratio,>=,0.0,1.0,0.01,0.09,51,0,1113,6426,33,1,0.14763231197771587,0.9991023339317774,0.005109150023223409,0.2572518201779729,0.1513270830582332,0.5021057419775004,1114,6459,7539,34,383,1042,5417,731,0.2687719298245614,0.34380610412926393,0.8386747174485214,0.3016935801496652,0.7658787798758748,0.5912404107888927,1114,6459,1425,6148
