feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaRatio,ratio,<=,0.0,1.0,0.01,0.0,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
areaRatio,ratio,<=,0.0,1.0,0.01,0.01,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
areaRatio,ratio,<=,0.0,1.0,0.01,0.02,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
areaRatio,ratio,<=,0.0,1.0,0.01,0.03,51,0,0,1,6458,1114,0.0,0.0,0.9998451772720235,0.0,0.8527664069721379,0.49992258863601174,1114,6459,1,7572,0,1,6458,1114,0.0,0.0,0.9998451772720235,0.0,0.8527664069721379,0.49992258863601174,1114,6459,1,7572
areaRatio,ratio,<=,0.0,1.0,0.01,0.04,51,0,0,4,6455,1114,0.0,0.0,0.9993807090880942,0.0,0.8523702627756503,0.4996903545440471,1114,6459,4,7569,0,3,6456,1114,0.0,0.0,0.9995355318160706,0.0,0.8525023108411461,0.4997677659080353,1114,6459,3,7570
areaRatio,ratio,<=,0.0,1.0,0.01,0.05,51,0,0,8,6451,1114,0.0,0.0,0.9987614181761882,0.0,0.851842070513667,0.4993807090880941,1114,6459,8,7565,0,6,6453,1114,0.0,0.0,0.9990710636321412,0.0,0.8521061666446587,0.4995355318160706,1114,6459,6,7567
areaRatio,ratio,<=,0.0,1.0,0.01,0.06,51,0,1,11,6448,1113,0.08333333333333333,0.0008976660682226212,0.9982969499922588,0.0017761989342806393,0.8515779743826752,0.4995973080302407,1114,6459,12,7561,0,9,6450,1114,0.0,0.0,0.9986065954482118,0.0,0.8517100224481712,0.4993032977241059,1114,6459,9,7564
areaRatio,ratio,<=,0.0,1.0,0.01,0.07,51,0,1,19,6440,1113,0.05,0.0008976660682226212,0.9970583681684472,0.0017636684303350971,0.8505215898587085,0.4989780171183349,1114,6459,20,7553,0,16,6443,1114,0.0,0.0,0.9975228363523765,0.0,0.8507856859897003,0.49876141817618824,1114,6459,16,7557
areaRatio,ratio,<=,0.0,1.0,0.01,0.08,51,0,1,27,6432,1113,0.03571428571428571,0.0008976660682226212,0.9958197863446354,0.0017513134851138354,0.8494652053347418,0.498358726206429,1114,6459,28,7545,0,22,6437,1114,0.0,0.0,0.9965938999845178,0.0,0.8499933975967252,0.4982969499922589,1114,6459,22,7551
areaRatio,ratio,<=,0.0,1.0,0.01,0.09,51,0,1,33,6426,1113,0.029411764705882353,0.0008976660682226212,0.9948908499767766,0.0017421602787456446,0.8486729169417668,0.4978942580224996,1114,6459,34,7539,0,26,6433,1114,0.0,0.0,0.9959746090726118,0.0,0.8494652053347418,0.4979873045363059,1114,6459,26,7547
areaRatio,ratio,<=,0.0,1.0,0.01,0.1,51,0,1,46,6413,1113,0.02127659574468085,0.0008976660682226212,0.9928781545130825,0.0017226528854435833,0.8469562920903209,0.49688791029065255,1114,6459,47,7526,0,34,6425,1114,0.0,0.0,0.9947360272488002,0.0,0.8484088208107752,0.4973680136244001,1114,6459,34,7539
areaRatio,ratio,<=,0.0,1.0,0.01,0.11,51,0,1,57,6402,1113,0.017241379310344827,0.0008976660682226212,0.9911751045053414,0.0017064846416382255,0.8455037633698667,0.496036385286782,1114,6459,58,7515,0,41,6418,1114,0.0,0.0,0.9936522681529648,0.0,0.8474844843523043,0.4968261340764824,1114,6459,41,7532
