feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaMean,continuous,>=,300.0,3800.0,50.0,300.0,51,0,1071,6438,21,43,0.14262884538553736,0.9614003590664273,0.003251277287505806,0.2484054273454714,0.1441964875214578,0.48232581817696657,1114,6459,7509,64,268,1141,5318,846,0.19020581973030518,0.24057450628366248,0.8233472673788512,0.21244550138723742,0.7376204938597649,0.5319608868312569,1114,6459,1409,6164
areaMean,continuous,>=,300.0,3800.0,50.0,350.0,51,0,1038,6401,58,76,0.13953488372093023,0.9317773788150808,0.008979718222635083,0.24272185198176077,0.14472467978344117,0.47037854851885796,1114,6459,7439,134,243,1126,5333,871,0.1775018261504748,0.21813285457809695,0.8256696082984982,0.19573097060008054,0.7363000132048065,0.5219012314382976,1114,6459,1369,6204
areaMean,continuous,>=,300.0,3800.0,50.0,400.0,51,0,996,6340,119,118,0.13576881134133043,0.8940754039497307,0.018423904629199565,0.2357396449704142,0.14723359302786215,0.4562496542894651,1114,6459,7336,237,220,1106,5353,894,0.16591251885369532,0.19748653500897667,0.8287660628580276,0.180327868852459,0.7359038690083191,0.5131262989335021,1114,6459,1326,6247
areaMean,continuous,>=,300.0,3800.0,50.0,450.0,51,0,948,6246,213,166,0.1317764804003336,0.8509874326750448,0.03297724105898746,0.22821376986037553,0.1533078040406708,0.44198233686701616,1114,6459,7194,379,224,1053,5406,890,0.1754111198120595,0.20107719928186715,0.8369716674407803,0.1873693015474697,0.743430608741582,0.5190244333613238,1114,6459,1277,6296
areaMean,continuous,>=,300.0,3800.0,50.0,500.0,51,0,906,6124,335,208,0.12887624466571834,0.8132854578096947,0.051865613872116426,0.2224950884086444,0.16387164928033804,0.4325755358409056,1114,6459,7030,543,219,1002,5457,895,0.17936117936117937,0.19658886894075403,0.8448676265675801,0.1875802997858672,0.7495048197543906,0.520728247754167,1114,6459,1221,6352
areaMean,continuous,>=,300.0,3800.0,50.0,550.0,51,0,850,5942,517,264,0.1251472320376914,0.7630161579892281,0.08004335036383341,0.2150265621047306,0.18050970553281395,0.4215297541765307,1114,6459,6792,781,196,967,5492,918,0.16852966466036112,0.17594254937163376,0.8502864220467564,0.17215634606938954,0.7510893965403407,0.513114485709195,1114,6459,1163,6410
areaMean,continuous,>=,300.0,3800.0,50.0,600.0,51,0,801,5717,742,313,0.12289045719545873,0.7190305206463196,0.11487846415853847,0.20990566037735847,0.20375016506008187,0.416954492402429,1114,6459,6518,1055,170,933,5526,944,0.1541251133272892,0.1526032315978456,0.8555503947979564,0.15336039693279208,0.7521457810643074,0.504076813197901,1114,6459,1103,6470
areaMean,continuous,>=,300.0,3800.0,50.0,650.0,51,0,726,5516,943,388,0.11630887536046139,0.651705565529623,0.14599783248180834,0.19738988580750405,0.22038822131255778,0.39885169900571565,1114,6459,6242,1331,178,868,5591,936,0.1701720841300191,0.15978456014362658,0.8656138721164267,0.16481481481481483,0.7617852898455038,0.5126992161300267,1114,6459,1046,6527
areaMean,continuous,>=,300.0,3800.0,50.0,700.0,51,0,667,5271,1188,447,0.11232738295722465,0.5987432675044884,0.18392940083604273,0.18916619398752127,0.2449491614947841,0.39133633417026553,1114,6459,5938,1635,135,842,5617,979,0.13817809621289662,0.12118491921005387,0.8696392630438148,0.1291248206599713,0.7595404727320745,0.4954120911269343,1114,6459,977,6596
areaMean,continuous,>=,300.0,3800.0,50.0,750.0,51,0,617,4971,1488,497,0.1104151753758053,0.5538599640933572,0.23037621922898283,0.1841241420471501,0.27796117786874425,0.39211809166117007,1114,6459,5588,1985,135,793,5666,979,0.14547413793103448,0.12118491921005387,0.8772255767146617,0.13222331047992164,0.7660108279413707,0.49920524796235777,1114,6459,928,6645
