feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaMean,continuous,<=,300.0,3800.0,50.0,300.0,51,0,43,21,6438,1071,0.671875,0.03859964093357271,0.9967487227124942,0.0730050933786078,0.8558035124785421,0.5176741818230335,1114,6459,64,7509,41,11,6448,1073,0.7884615384615384,0.03680430879712747,0.9982969499922588,0.07032590051457976,0.8568598970025089,0.5175506293946931,1114,6459,52,7521
areaMean,continuous,<=,300.0,3800.0,50.0,350.0,51,0,76,58,6401,1038,0.5671641791044776,0.06822262118491922,0.9910202817773649,0.12179487179487182,0.8552753202165588,0.529621451481142,1114,6459,134,7439,66,20,6439,1048,0.7674418604651163,0.059245960502693,0.9969035454404707,0.11,0.8589726660504423,0.5280747529715818,1114,6459,86,7487
areaMean,continuous,<=,300.0,3800.0,50.0,400.0,51,0,118,119,6340,996,0.4978902953586498,0.1059245960502693,0.9815760953708005,0.1746854182087343,0.8527664069721379,0.5437503457105349,1114,6459,237,7336,98,37,6422,1016,0.725925925925926,0.08797127468581688,0.9942715590648707,0.15692554043234586,0.8609533870328799,0.5411214168753438,1114,6459,135,7438
areaMean,continuous,<=,300.0,3800.0,50.0,450.0,51,0,166,213,6246,948,0.43799472295514513,0.1490125673249551,0.9670227589410125,0.22237106496985934,0.8466921959593292,0.5580176631329838,1114,6459,379,7194,132,61,6398,982,0.6839378238341969,0.118491921005386,0.9905558135934355,0.2019892884468248,0.8622738676878384,0.5545238672994107,1114,6459,193,7380
areaMean,continuous,<=,300.0,3800.0,50.0,500.0,51,0,208,335,6124,906,0.3830570902394107,0.1867145421903052,0.9481343861278836,0.2510561255280627,0.836128350719662,0.5674244641590944,1114,6459,543,7030,162,94,6365,952,0.6328125,0.14542190305206462,0.9854466635702122,0.23649635036496353,0.8618777234913508,0.5654342833111384,1114,6459,256,7317
areaMean,continuous,<=,300.0,3800.0,50.0,550.0,51,0,264,517,5942,850,0.3380281690140845,0.236983842010772,0.9199566496361666,0.2786279683377309,0.819490294467186,0.5784702458234693,1114,6459,781,6792,192,119,6340,922,0.617363344051447,0.17235188509874327,0.9815760953708005,0.2694736842105263,0.8625379638188301,0.5769639902347719,1114,6459,311,7262
areaMean,continuous,<=,300.0,3800.0,50.0,600.0,51,0,313,742,5717,801,0.2966824644549763,0.28096947935368044,0.8851215358414616,0.2886122637159982,0.7962498349399181,0.583045507597571,1114,6459,1055,6518,216,165,6294,898,0.5669291338582677,0.19389587073608616,0.974454249883883,0.28896321070234116,0.8596329063779216,0.5841750603099846,1114,6459,381,7192
areaMean,continuous,<=,300.0,3800.0,50.0,650.0,51,0,388,943,5516,726,0.2915101427498122,0.348294434470377,0.8540021675181917,0.3173824130879345,0.7796117786874422,0.6011483009942844,1114,6459,1331,6242,240,210,6249,874,0.5333333333333333,0.21543985637342908,0.967487227124942,0.3069053708439897,0.8568598970025089,0.5914635417491855,1114,6459,450,7123
areaMean,continuous,<=,300.0,3800.0,50.0,700.0,51,0,447,1188,5271,667,0.27339449541284405,0.4012567324955117,0.8160705991639573,0.32520916696980723,0.7550508385052159,0.6086636658297345,1114,6459,1635,5938,262,257,6202,852,0.5048169556840078,0.23518850987432674,0.960210558910048,0.32088181261481935,0.8535586953651129,0.5976995343921874,1114,6459,519,7054
areaMean,continuous,<=,300.0,3800.0,50.0,750.0,51,0,497,1488,4971,617,0.2503778337531486,0.44614003590664275,0.7696237807710172,0.3207486285898677,0.7220388221312558,0.60788190833883,1114,6459,1985,5588,280,293,6166,834,0.4886561954624782,0.2513464991023339,0.9546369407028952,0.33195020746887965,0.8511818301861878,0.6029917199026146,1114,6459,573,7000
areaMean,continuous,<=,300.0,3800.0,50.0,800.0,51,0,566,1771,4688,548,0.2421908429610612,0.5080789946140036,0.7258089487536771,0.32802086351782095,0.6937805361151459,0.6169439716838403,1114,6459,2337,5236,299,333,6126,815,0.47310126582278483,0.26840215439856374,0.9484440315838365,0.3424971363115693,0.8484088208107752,0.6084230929912001,1114,6459,632,6941
areaMean,continuous,<=,300.0,3800.0,50.0,850.0,51,0,632,2076,4383,482,0.23338257016248154,0.5673249551166966,0.6785880167208547,0.33071690214547356,0.66222104846164,0.6229564859187756,1114,6459,2708,4865,311,384,6075,803,0.4474820143884892,0.2791741472172352,0.9405480724570366,0.34383637368711994,0.8432589462564374,0.6098611098371359,1114,6459,695,6878
areaMean,continuous,<=,300.0,3800.0,50.0,900.0,51,0,670,2383,4076,444,0.21945627251883393,0.6014362657091562,0.6310574392320792,0.32157427405807537,0.6267001188432589,0.6162468524706177,1114,6459,3053,4520,330,419,6040,784,0.44058744993324434,0.296229802513465,0.9351292769778603,0.35426731078904994,0.8411461772085039,0.6156795397456627,1114,6459,749,6824
