feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaMin,continuous,>=,100.0,3300.0,50.0,100.0,51,0,1103,6439,20,11,0.14624767966056748,0.9901256732495511,0.003096454559529339,0.25485212569316085,0.14828997755182888,0.49661106390454024,1114,6459,7542,31,363,1046,5413,751,0.2576295244854507,0.3258527827648115,0.8380554265366156,0.2877526753864447,0.7627096263039747,0.5819541046507135,1114,6459,1409,6164
areaMin,continuous,>=,100.0,3300.0,50.0,150.0,51,0,1084,6397,62,30,0.14490041438310386,0.9730700179533214,0.00959900913454095,0.252239674229203,0.1513270830582332,0.49133451354393115,1114,6459,7481,92,345,1045,5414,769,0.24820143884892087,0.3096947935368043,0.8382102492645921,0.2755591054313099,0.7604648091905454,0.5739525214006982,1114,6459,1390,6183
areaMin,continuous,>=,100.0,3300.0,50.0,200.0,51,0,1049,6297,162,65,0.14279880206915327,0.9416517055655296,0.025081281932187643,0.24799054373522456,0.15991020731546282,0.4833664937488586,1114,6459,7346,227,329,1032,5427,785,0.2417340191036003,0.29533213644524237,0.8402229447282861,0.26585858585858585,0.7600686649940578,0.5677775405867642,1114,6459,1361,6212
areaMin,continuous,>=,100.0,3300.0,50.0,250.0,51,0,1018,6201,258,96,0.14101676132428315,0.9138240574506283,0.03994426381792847,0.24432977319092766,0.16849333157269247,0.4768841606342784,1114,6459,7219,354,305,1029,5430,809,0.22863568215892055,0.2737881508078995,0.8406874129122155,0.24918300653594772,0.7572956556186452,0.5572377818600575,1114,6459,1334,6239
areaMin,continuous,>=,100.0,3300.0,50.0,300.0,51,0,969,6039,420,145,0.1382705479452055,0.86983842010772,0.06502554575011611,0.2386111795124354,0.18341476297372244,0.467431982928918,1114,6459,7008,565,273,1022,5437,841,0.21081081081081082,0.24506283662477557,0.8417711720080507,0.2266500622665006,0.7539944539812492,0.5434170043164132,1114,6459,1295,6278
areaMin,continuous,>=,100.0,3300.0,50.0,350.0,51,0,919,5835,624,195,0.13606751554634292,0.8249551166965888,0.09660938225731537,0.23360447381799695,0.20375016506008187,0.4607822494769521,1114,6459,6754,819,257,1001,5458,857,0.20429252782193957,0.23070017953321365,0.8450224492955566,0.2166947723440135,0.7546546943087283,0.5378613144143851,1114,6459,1258,6315
areaMin,continuous,>=,100.0,3300.0,50.0,400.0,51,0,852,5569,890,262,0.13268961220993614,0.7648114901256733,0.13779222789905557,0.22614465826144659,0.23002773009375413,0.4513018590123644,1114,6459,6421,1152,227,979,5480,887,0.18822553897180763,0.20377019748653502,0.8484285493110388,0.19568965517241382,0.7535983097847616,0.5260993733987869,1114,6459,1206,6367
areaMin,continuous,>=,100.0,3300.0,50.0,450.0,51,0,792,5281,1178,322,0.13041330479170096,0.7109515260323159,0.18238117355627806,0.2203979407263114,0.26013468902680575,0.446666349794297,1114,6459,6073,1500,207,949,5510,907,0.17906574394463667,0.18581687612208259,0.8530732311503328,0.18237885462555067,0.7549187904397201,0.5194450536362077,1114,6459,1156,6417
areaMin,continuous,>=,100.0,3300.0,50.0,500.0,51,0,729,4969,1490,385,0.12793962793962793,0.6543985637342908,0.23068586468493574,0.21403405754550792,0.29301465733527005,0.44254221420961326,1114,6459,5698,1875,196,909,5550,918,0.17737556561085974,0.17594254937163376,0.8592661402693915,0.17665615141955837,0.7587481843390994,0.5176043448205127,1114,6459,1105,6468
areaMin,continuous,>=,100.0,3300.0,50.0,550.0,51,0,660,4626,1833,454,0.12485811577752554,0.59245960502693,0.2837900603808639,0.20625000000000002,0.32919582728113034,0.4381248327038969,1114,6459,5286,2287,177,876,5583,937,0.16809116809116809,0.15888689407540396,0.864375290292615,0.16335948315643747,0.7605968572560412,0.5116310921840095,1114,6459,1053,6520
areaMin,continuous,>=,100.0,3300.0,50.0,600.0,51,0,592,4313,2146,522,0.12069317023445464,0.5314183123877917,0.33224957423749807,0.19671041701279282,0.36154760332761127,0.4318339433126449,1114,6459,4905,2668,154,836,5623,960,0.15555555555555556,0.13824057450628366,0.8705681994116736,0.14638783269961975,0.7628416743694705,0.5044043869589786,1114,6459,990,6583
areaMin,continuous,>=,100.0,3300.0,50.0,650.0,51,0,522,3962,2497,592,0.11641391614629795,0.46858168761220825,0.38659235175723794,0.1864951768488746,0.3986531097319424,0.4275870196847231,1114,6459,4484,3089,138,796,5663,976,0.14775160599571735,0.12387791741472172,0.8767611085307323,0.134765625,0.7660108279413707,0.500319512972727,1114,6459,934,6639
areaMin,continuous,>=,100.0,3300.0,50.0,700.0,51,0,462,3634,2825,652,0.11279296875,0.414721723518851,0.4373742065335191,0.1773512476007678,0.4340419912848277,0.426047965026185,1114,6459,4096,3477,122,757,5702,992,0.13879408418657566,0.10951526032315978,0.8827991949218145,0.12242849974912193,0.769047933447775,0.49615722762248715,1114,6459,879,6694
areaMin,continuous,>=,100.0,3300.0,50.0,750.0,51,0,410,3329,3130,704,0.10965498796469644,0.36804308797127466,0.48459513856634157,0.1689676488769833,0.46745015185527533,0.4263191132688081,1114,6459,3739,3834,105,716,5743,1009,0.1278928136419001,0.09425493716337523,0.8891469267688497,0.10852713178294575,0.7722170870196752,0.4917009319661124,1114,6459,821,6752
areaMin,continuous,>=,100.0,3300.0,50.0,800.0,51,0,361,3026,3433,753,0.10658399763802776,0.3240574506283663,0.531506425143211,0.1604087980448789,0.5009903604912188,0.42778193788578867,1114,6459,3387,4186,104,663,5796,1010,0.13559322033898305,0.0933572710951526,0.8973525313516024,0.11057947900053164,0.7790835864254588,0.4953549012233775,1114,6459,767,6806
areaMin,continuous,>=,100.0,3300.0,50.0,850.0,51,0,320,2778,3681,794,0.10329244673983215,0.2872531418312388,0.5699024616813748,0.1519468186134853,0.5283243100488578,0.4285778017563068,1114,6459,3098,4475,82,625,5834,1032,0.11598302687411598,0.07360861759425494,0.9032357950147082,0.09006040637012631,0.7811963554733923,0.4884222063044816,1114,6459,707,6866
areaMin,continuous,>=,100.0,3300.0,50.0,900.0,51,0,295,2538,3921,819,0.10412989763501589,0.26481149012567323,0.6070599163957269,0.14948061819103114,0.5567146441304635,0.4359357032607001,1114,6459,2833,4740,76,581,5878,1038,0.1156773211567732,0.06822262118491922,0.9100479950456727,0.08582721626199886,0.7862141819622342,0.48913530811529593,1114,6459,657,6916
areaMin,continuous,>=,100.0,3300.0,50.0,950.0,51,0,256,2264,4195,858,0.10158730158730159,0.22980251346499103,0.6494813438612789,0.14089157952669237,0.587745939521986,0.43964192866313495,1114,6459,2520,5053,69,527,5932,1045,0.11577181208053691,0.06193895870736086,0.918408422356402,0.08070175438596491,0.7924204410405388,0.4901736905318814,1114,6459,596,6977
