feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaMax,continuous,>=,350.0,4850.0,50.0,350.0,51,0,1082,6449,10,32,0.14367281901473908,0.9712746858168761,0.0015482272797646694,0.2503181029496819,0.1441964875214578,0.4864114565483204,1114,6459,7531,42,237,1244,5215,877,0.1600270087778528,0.2127468581687612,0.8074005263972751,0.18265895953757225,0.7199260530833224,0.5100736922830181,1114,6459,1481,6092
areaMax,continuous,>=,350.0,4850.0,50.0,400.0,51,0,1061,6428,31,53,0.1416744558686073,0.952423698384201,0.004799504567270475,0.24665814250842732,0.1441964875214578,0.4786116014757358,1114,6459,7489,84,235,1245,5214,879,0.15878378378378377,0.21095152603231598,0.8072457036692986,0.18118735543562065,0.7195299088868348,0.5090986148508073,1114,6459,1480,6093
areaMax,continuous,>=,350.0,4850.0,50.0,450.0,51,0,1026,6381,78,88,0.1385176184690158,0.9210053859964094,0.012076172782164421,0.24081680553925597,0.1457810643074079,0.4665407793892869,1114,6459,7407,166,238,1233,5226,876,0.1617946974847043,0.21364452423698385,0.8091035764050163,0.18413926499032882,0.7215106298692724,0.511374050321,1114,6459,1471,6102
areaMax,continuous,>=,350.0,4850.0,50.0,500.0,51,0,989,6317,142,125,0.13536819052833288,0.8877917414721723,0.021984827372658305,0.23491686460807604,0.1493463620757956,0.4548882844224153,1114,6459,7306,267,234,1228,5231,880,0.1600547195622435,0.21005385996409337,0.8098776900448986,0.18167701863354038,0.7216426779347682,0.509965775004496,1114,6459,1462,6111
areaMax,continuous,>=,350.0,4850.0,50.0,550.0,51,0,947,6250,209,167,0.13158260386272058,0.8500897666068222,0.03235795014708159,0.2278907472025027,0.1526475637131916,0.4412238583769519,1114,6459,7197,376,236,1216,5243,878,0.162534435261708,0.2118491921005386,0.8117355627806162,0.18394388152766952,0.72349135085171,0.5117923774405774,1114,6459,1452,6121
areaMax,continuous,>=,350.0,4850.0,50.0,600.0,51,0,906,6139,320,208,0.12860184528034066,0.8132854578096947,0.04954327295246942,0.22208603995587692,0.16189092829790044,0.4314143653810821,1114,6459,7045,528,231,1197,5262,883,0.16176470588235295,0.2073608617594255,0.814677194612169,0.1817466561762392,0.7253400237686518,0.5110190281857973,1114,6459,1428,6145
areaMax,continuous,>=,350.0,4850.0,50.0,650.0,51,0,859,5999,460,255,0.1252551764362788,0.7710951526032316,0.07121845486917479,0.21550426492724534,0.1741713983890136,0.4211568037362032,1114,6459,6858,715,220,1185,5274,894,0.15658362989323843,0.19748653500897667,0.8165350673478867,0.17467248908296942,0.7254720718341476,0.5070108011784317,1114,6459,1405,6168
areaMax,continuous,>=,350.0,4850.0,50.0,700.0,51,0,809,5830,629,305,0.12185570115981323,0.7262118491921006,0.0973834958971977,0.2086934090029666,0.18988511818301862,0.41179767254464916,1114,6459,6639,934,200,1168,5291,914,0.14619883040935672,0.17953321364452424,0.8191670537234866,0.16116035455278,0.7250759276376602,0.49935013368400544,1114,6459,1368,6205
areaMax,continuous,>=,350.0,4850.0,50.0,750.0,51,0,759,5658,801,355,0.11827956989247312,0.6813285457809695,0.12401300510915002,0.20156685699110344,0.20599498217351117,0.40267077544505975,1114,6459,6417,1156,181,1148,5311,933,0.1361926260346125,0.16247755834829444,0.822263508283016,0.14817846909537455,0.725207975703156,0.4923705333156552,1114,6459,1329,6244
areaMax,continuous,>=,350.0,4850.0,50.0,800.0,51,0,713,5480,979,401,0.11512998546746327,0.6400359066427289,0.15157145068896113,0.1951553305049952,0.2234253268189621,0.39580367866584504,1114,6459,6193,1380,171,1102,5357,943,0.13432835820895522,0.15350089766606823,0.8293853537699334,0.14327607875994972,0.7299617060610062,0.4914431257180008,1114,6459,1273,6300
areaMax,continuous,>=,350.0,4850.0,50.0,850.0,51,0,665,5258,1201,449,0.1122741853790309,0.5969479353680431,0.1859420962997368,0.18900099474207763,0.24640169021523833,0.39144501583388996,1114,6459,5923,1650,159,1056,5403,955,0.1308641975308642,0.14272890484739678,0.8365071992568509,0.13653928724774583,0.7344513402878647,0.48961805205212383,1114,6459,1215,6358
areaMax,continuous,>=,350.0,4850.0,50.0,900.0,51,0,609,5062,1397,505,0.10738846764239111,0.5466786355475763,0.21628735098312432,0.1795136330140015,0.264888419384656,0.38148299326535035,1114,6459,5671,1902,142,1014,5445,972,0.12283737024221453,0.12746858168761221,0.8430097538318625,0.1251101321585903,0.7377525419252607,0.48523916775973736,1114,6459,1156,6417
areaMax,continuous,>=,350.0,4850.0,50.0,950.0,51,0,557,4811,1648,557,0.10376304023845008,0.5,0.25514785570521753,0.171860536871336,0.29116598441832825,0.3775739278526088,1114,6459,5368,2205,140,944,5515,974,0.12915129151291513,0.12567324955116696,0.8538473447902152,0.12738853503184713,0.746731810378978,0.4897602971706911,1114,6459,1084,6489
areaMax,continuous,>=,350.0,4850.0,50.0,1000.0,51,0,508,4589,1870,606,0.09966647047282716,0.45601436265709155,0.2895185013159932,0.16358074384157142,0.31401029974910866,0.37276643198654236,1114,6459,5097,2476,118,907,5552,996,0.1151219512195122,0.1059245960502693,0.8595757857253444,0.11033193080878914,0.7487125313614156,0.48275019088780685,1114,6459,1025,6548
areaMax,continuous,>=,350.0,4850.0,50.0,1050.0,51,0,462,4369,2090,652,0.09563237424963776,0.414721723518851,0.32357950147081593,0.15542472666105972,0.33698666314538495,0.3691506124948335,1114,6459,4831,2742,106,857,5602,1008,0.11007268951194185,0.09515260323159784,0.8673169221241678,0.10207029369282619,0.7537303578502575,0.4812347626778828,1114,6459,963,6610
areaMax,continuous,>=,350.0,4850.0,50.0,1100.0,51,0,419,4123,2336,695,0.09225011008366359,0.3761220825852783,0.3616658925530268,0.14816124469589817,0.36379242044104054,0.36889398756915254,1114,6459,4542,3031,102,800,5659,1012,0.1130820399113082,0.09156193895870736,0.8761418176188265,0.10119047619047619,0.760728905321537,0.4838518782887669,1114,6459,902,6671
areaMax,continuous,>=,350.0,4850.0,50.0,1150.0,51,0,389,3910,2549,725,0.09048615957199349,0.3491921005385996,0.39464313361201425,0.14372806207278774,0.3879572164267793,0.3719176170753069,1114,6459,4299,3274,88,765,5694,1026,0.10316529894490035,0.07899461400359066,0.8815606130980028,0.08947635993899339,0.7635019146969497,0.48027761355079673,1114,6459,853,6720
areaMax,continuous,>=,350.0,4850.0,50.0,1200.0,51,0,358,3683,2776,756,0.08859193268992824,0.3213644524236984,0.4297878928626722,0.13889427740058197,0.4138386372639641,0.3755761726431853,1114,6459,4041,3532,88,710,5749,1026,0.11027568922305764,0.07899461400359066,0.8900758631367085,0.09205020920502092,0.770764558299221,0.4845352385701496,1114,6459,798,6775
areaMax,continuous,>=,350.0,4850.0,50.0,1250.0,51,0,325,3463,2996,789,0.08579725448785638,0.2917414721723519,0.463848893017495,0.13259893920848634,0.43853162551168623,0.37779518259492345,1114,6459,3788,3785,81,659,5800,1033,0.10945945945945947,0.07271095152603231,0.8979718222635082,0.08737864077669903,0.7765746731810379,0.4853413868947703,1114,6459,740,6833
areaMax,continuous,>=,350.0,4850.0,50.0,1300.0,51,0,294,3268,3191,820,0.08253790005614824,0.2639138240574506,0.49403932497290604,0.12574850299401197,0.4601875082530041,0.3789765745151783,1114,6459,3562,4011,73,620,5839,1041,0.10533910533910534,0.06552962298025135,0.9040099086545905,0.08079690094078584,0.780668163211409,0.48476976581742093,1114,6459,693,6880
areaMax,continuous,>=,350.0,4850.0,50.0,1350.0,51,0,268,3078,3381,846,0.08009563658099222,0.24057450628366248,0.5234556432884347,0.12017937219730941,0.48184339099432194,0.3820150747860486,1114,6459,3346,4227,67,576,5883,1047,0.104199066874028,0.06014362657091562,0.910822108685555,0.07626636311895277,0.7856859897002509,0.48548286762823534,1114,6459,643,6930
