feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaMax,continuous,<=,350.0,4850.0,50.0,350.0,51,0,32,10,6449,1082,0.7619047619047619,0.02872531418312388,0.9984517727202353,0.05536332179930797,0.8558035124785421,0.5135885434516796,1114,6459,42,7531,32,7,6452,1082,0.8205128205128205,0.02872531418312388,0.9989162409041648,0.05550737207285343,0.8561996566750297,0.5138207775436443,1114,6459,39,7534
areaMax,continuous,<=,350.0,4850.0,50.0,400.0,51,0,53,31,6428,1061,0.6309523809523809,0.04757630161579892,0.9952004954327295,0.08848080133555926,0.8558035124785421,0.5213883985242642,1114,6459,84,7489,51,16,6443,1063,0.7611940298507462,0.04578096947935368,0.9975228363523765,0.08636748518204909,0.8575201373299881,0.521651902915865,1114,6459,67,7506
areaMax,continuous,<=,350.0,4850.0,50.0,450.0,51,0,88,78,6381,1026,0.5301204819277109,0.07899461400359066,0.9879238272178356,0.1375,0.8542189356925921,0.5334592206107132,1114,6459,166,7407,73,36,6423,1041,0.6697247706422018,0.06552962298025135,0.9944263817928471,0.11937857726901065,0.8577842334609798,0.5299780023865492,1114,6459,109,7464
areaMax,continuous,<=,350.0,4850.0,50.0,500.0,51,0,125,142,6317,989,0.4681647940074906,0.11220825852782765,0.9780151726273417,0.18102824040550328,0.8506536379242045,0.5451117155775846,1114,6459,267,7306,101,50,6409,1013,0.6688741721854304,0.09066427289048475,0.9922588636011767,0.15968379446640318,0.8596329063779216,0.5414615682458307,1114,6459,151,7422
areaMax,continuous,<=,350.0,4850.0,50.0,550.0,51,0,167,209,6250,947,0.4441489361702128,0.14991023339317774,0.9676420498529185,0.22416107382550335,0.8473524362868085,0.5587761416230481,1114,6459,376,7197,128,73,6386,986,0.6368159203980099,0.11490125673249552,0.9886979408577179,0.1946768060836502,0.860161098639905,0.5517995987951068,1114,6459,201,7372
areaMax,continuous,<=,350.0,4850.0,50.0,600.0,51,0,208,320,6139,906,0.3939393939393939,0.1867145421903052,0.9504567270475306,0.25334957369062117,0.8381090717020996,0.5685856346189179,1114,6459,528,7045,155,103,6356,959,0.6007751937984496,0.13913824057450627,0.9840532590184239,0.22594752186588918,0.8597649544434174,0.5615957497964651,1114,6459,258,7315
areaMax,continuous,<=,350.0,4850.0,50.0,650.0,51,0,255,460,5999,859,0.35664335664335667,0.2289048473967684,0.9287815451308252,0.2788408966648442,0.8258286016109864,0.5788431962637968,1114,6459,715,6858,180,139,6320,934,0.5642633228840125,0.1615798922800718,0.9784796408112711,0.2512212142358688,0.8583124257229632,0.5700297665456715,1114,6459,319,7254
areaMax,continuous,<=,350.0,4850.0,50.0,700.0,51,0,305,629,5830,809,0.3265524625267666,0.2737881508078995,0.9026165041028023,0.29785156250000006,0.8101148818169814,0.5882023274553508,1114,6459,934,6639,207,177,6282,907,0.5390625,0.18581687612208259,0.9725963771481654,0.27636849132176233,0.8568598970025089,0.579206626635124,1114,6459,384,7189
areaMax,continuous,<=,350.0,4850.0,50.0,750.0,51,0,355,801,5658,759,0.3070934256055363,0.31867145421903054,0.87598699489085,0.31277533039647576,0.7940050178264888,0.5973292245549402,1114,6459,1156,6417,230,212,6247,884,0.5203619909502263,0.20646319569120286,0.967177581668989,0.29562982005141386,0.8552753202165588,0.586820388680096,1114,6459,442,7131
areaMax,continuous,<=,350.0,4850.0,50.0,800.0,51,0,401,979,5480,713,0.29057971014492756,0.3599640933572711,0.8484285493110388,0.32157177225340816,0.7765746731810379,0.604196321334155,1114,6459,1380,6193,254,249,6210,860,0.5049701789264414,0.22800718132854578,0.9614491407338597,0.3141620284477427,0.8535586953651129,0.5947281610312027,1114,6459,503,7070
