feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaDiff,continuous,>=,0.0,2650.0,50.0,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,210,1215,5244,904,0.14736842105263157,0.18850987432675045,0.8118903855085927,0.1654194564789287,0.720190149214314,0.5002001299176716,1114,6459,1425,6148
areaDiff,continuous,>=,0.0,2650.0,50.0,50.0,51,0,1010,6025,434,104,0.1435678749111585,0.9066427289048474,0.06719306394178666,0.24788317584979752,0.19067740657599366,0.48691789642331706,1114,6459,7035,538,191,1190,5269,923,0.13830557566980448,0.17145421903052063,0.8157609537080044,0.1531062124248497,0.7209824376072891,0.4936075863692625,1114,6459,1381,6192
areaDiff,continuous,>=,0.0,2650.0,50.0,100.0,51,0,898,5598,861,216,0.13823891625615764,0.8061041292639138,0.13330236878773805,0.23600525624178714,0.2322725472071834,0.46970324902582594,1114,6459,6496,1077,183,1146,5313,931,0.13769751693002258,0.16427289048473967,0.8225731537389689,0.14981580024559968,0.7257361679651393,0.4934230221118543,1114,6459,1329,6244
areaDiff,continuous,>=,0.0,2650.0,50.0,150.0,51,0,803,5206,1253,311,0.13363288400732234,0.7208258527827648,0.19399287815451308,0.22546679769759934,0.271490822659448,0.4574093654686389,1114,6459,6009,1564,174,1115,5344,940,0.13498836307214895,0.1561938958707361,0.8273726583062394,0.14481897627965043,0.7286412254060478,0.49178327708848774,1114,6459,1289,6284
areaDiff,continuous,>=,0.0,2650.0,50.0,200.0,51,0,703,4793,1666,411,0.12791120815138282,0.6310592459605027,0.25793466480879396,0.21270801815431165,0.3128218671596461,0.4444969553846483,1114,6459,5496,2077,161,1069,5390,953,0.13089430894308943,0.144524236983842,0.8344945037931568,0.13737201365187712,0.7329988115674105,0.4895093703884994,1114,6459,1230,6343
areaDiff,continuous,>=,0.0,2650.0,50.0,250.0,51,0,601,4405,2054,513,0.12005593288054335,0.5394973070017953,0.3180058832636631,0.19640522875816993,0.3505876138914565,0.4287515951327292,1114,6459,5006,2567,149,1016,5443,965,0.1278969957081545,0.13375224416517056,0.8427001083759096,0.13075910487055725,0.73841278225274,0.4882261762705401,1114,6459,1165,6408
areaDiff,continuous,>=,0.0,2650.0,50.0,300.0,51,0,508,4022,2437,606,0.11214128035320088,0.45601436265709155,0.3773029880786499,0.18001417434443656,0.3888815528852502,0.4166586753678707,1114,6459,4530,3043,131,968,5491,983,0.1191992720655141,0.11759425493716337,0.85013159931878,0.1183913239945775,0.7423742242176152,0.4838629271279717,1114,6459,1099,6474
areaDiff,continuous,>=,0.0,2650.0,50.0,350.0,51,0,420,3728,2731,694,0.10125361620057859,0.3770197486535009,0.4228208701037312,0.15963511972633979,0.41608345437739336,0.39992030937861606,1114,6459,4148,3425,116,917,5542,998,0.1122942884801549,0.10412926391382406,0.8580275584455798,0.10805775500698649,0.7471279545754654,0.4810784111797019,1114,6459,1033,6540
areaDiff,continuous,>=,0.0,2650.0,50.0,400.0,51,0,357,3370,3089,757,0.09578749664609605,0.32046678635547576,0.4782474067193064,0.14749018797769056,0.4550376336986663,0.39935709653739104,1114,6459,3727,3846,107,866,5593,1007,0.10996916752312436,0.09605026929982047,0.8659235175723796,0.10253953042644945,0.7526739733262908,0.4809868934361,1114,6459,973,6600
areaDiff,continuous,>=,0.0,2650.0,50.0,450.0,51,0,312,3089,3370,802,0.09173772419876507,0.2800718132854578,0.5217525932806936,0.1382059800664452,0.48620097715568467,0.4009122032830757,1114,6459,3401,4172,100,809,5650,1014,0.11001100110011001,0.08976660682226212,0.8747484130670382,0.09886307464162135,0.7592763766010828,0.48225750994465016,1114,6459,909,6664
areaDiff,continuous,>=,0.0,2650.0,50.0,500.0,51,0,272,2809,3650,842,0.08828302499188576,0.24416517055655296,0.5651029571141043,0.12967818831942787,0.5178925128746864,0.40463406383532863,1114,6459,3081,4492,90,749,5710,1024,0.10727056019070322,0.0807899461400359,0.8840377767456262,0.09216589861751151,0.7658787798758748,0.48241386144283105,1114,6459,839,6734
areaDiff,continuous,>=,0.0,2650.0,50.0,550.0,51,0,232,2583,3876,882,0.08241563055062166,0.20825852782764812,0.6000928936367859,0.11809620768643421,0.5424534530569127,0.404175710732217,1114,6459,2815,4758,82,702,5757,1032,0.10459183673469388,0.07360861759425494,0.8913144449605203,0.08640674394099052,0.7710286544302126,0.4824615312773876,1114,6459,784,6789
areaDiff,continuous,>=,0.0,2650.0,50.0,600.0,51,0,198,2344,4115,916,0.07789142407553108,0.17773788150807898,0.6370955256231615,0.10831509846827134,0.56952330648356,0.40741670356562026,1114,6459,2542,5031,68,660,5799,1046,0.09340659340659341,0.06104129263913824,0.8978169995355318,0.07383279044516829,0.7747260002640961,0.47942914608733506,1114,6459,728,6845
areaDiff,continuous,>=,0.0,2650.0,50.0,650.0,51,0,174,2121,4338,940,0.07581699346405228,0.1561938958707361,0.6716209939619137,0.10208272220592549,0.5958008715172323,0.41390744491632486,1114,6459,2295,5278,52,613,5846,1062,0.07819548872180451,0.0466786355475763,0.9050936677504258,0.05845980888139404,0.7788194902944672,0.47588615164900105,1114,6459,665,6908
areaDiff,continuous,>=,0.0,2650.0,50.0,700.0,51,0,146,1926,4533,968,0.07046332046332046,0.1310592459605027,0.7018114259173247,0.09165097300690521,0.6178528984550377,0.4164353359389137,1114,6459,2072,5501,47,560,5899,1067,0.07742998352553541,0.0421903052064632,0.9132992723331785,0.05461940732132481,0.7851577974382675,0.47774478876982085,1114,6459,607,6966
areaDiff,continuous,>=,0.0,2650.0,50.0,750.0,51,0,124,1755,4704,990,0.06599254922831294,0.11131059245960502,0.7282861124013005,0.08286000668225861,0.6375280602139178,0.41979835243045277,1114,6459,1879,5694,44,517,5942,1070,0.0784313725490196,0.03949730700179533,0.9199566496361666,0.05253731343283582,0.7904397200581011,0.479726978318981,1114,6459,561,7012
areaDiff,continuous,>=,0.0,2650.0,50.0,800.0,51,0,107,1600,4859,1007,0.0626830697129467,0.09605026929982047,0.7522836352376528,0.07585962424672103,0.6557506932523438,0.4241669522687367,1114,6459,1707,5866,41,478,5981,1073,0.0789980732177264,0.03680430879712747,0.9259947360272488,0.05021432945499082,0.7951934504159514,0.48139952241218814,1114,6459,519,7054
areaDiff,continuous,>=,0.0,2650.0,50.0,850.0,51,0,97,1449,5010,1017,0.06274256144890039,0.08707360861759425,0.7756618671620994,0.07293233082706767,0.6743694704872574,0.43136773788984684,1114,6459,1546,6027,33,442,6017,1081,0.06947368421052631,0.0296229802513465,0.9315683542344017,0.04153555695405916,0.798890796249835,0.48059566724287406,1114,6459,475,7098
areaDiff,continuous,>=,0.0,2650.0,50.0,900.0,51,0,82,1322,5137,1032,0.0584045584045584,0.07360861759425494,0.7953243536151107,0.06513105639396347,0.6891588538227915,0.4344664856046828,1114,6459,1404,6169,29,411,6048,1085,0.0659090909090909,0.026032315978456014,0.9363678588016721,0.03732303732303732,0.8024560940182226,0.48120008739006404,1114,6459,440,7133
areaDiff,continuous,>=,0.0,2650.0,50.0,950.0,51,0,65,1210,5249,1049,0.050980392156862744,0.05834829443447038,0.812664499148475,0.05441607367099204,0.7017034200448964,0.43550639679147274,1114,6459,1275,6298,26,384,6075,1088,0.06341463414634146,0.02333931777378815,0.9405480724570366,0.03412073490813649,0.8056252475901228,0.4819436951154124,1114,6459,410,7163
areaDiff,continuous,>=,0.0,2650.0,50.0,1000.0,51,0,59,1098,5361,1055,0.05099394987035436,0.05296229802513465,0.8300046446818393,0.05195948921180096,0.7157005149874555,0.441483471353487,1114,6459,1157,6416,21,356,6103,1093,0.05570291777188329,0.018850987432675045,0.9448831088403777,0.028169014084507046,0.8086623530965271,0.48186704813652637,1114,6459,377,7196
areaDiff,continuous,>=,0.0,2650.0,50.0,1050.0,51,0,50,997,5462,1064,0.04775549188156638,0.04488330341113106,0.8456417402074624,0.04627487274409996,0.7278489370130727,0.4452625218092967,1114,6459,1047,6526,18,322,6137,1096,0.052941176470588235,0.01615798922800718,0.9501470815915777,0.02475928473177441,0.8127558431268982,0.4831525354097924,1114,6459,340,7233
areaDiff,continuous,>=,0.0,2650.0,50.0,1100.0,51,0,38,911,5548,1076,0.040042149631190724,0.03411131059245961,0.8589564948134386,0.036839554047503636,0.7376204938597649,0.4465339027029491,1114,6459,949,6624,13,296,6163,1101,0.042071197411003236,0.011669658886894075,0.9541724725189658,0.018271257905832748,0.8155288525023109,0.4829210657029299,1114,6459,309,7264
areaDiff,continuous,>=,0.0,2650.0,50.0,1150.0,51,0,35,832,5627,1079,0.040369088811995385,0.03141831238779174,0.8711874903235794,0.03533568904593639,0.7476561468374489,0.45130290135568557,1114,6459,867,6706,11,278,6181,1103,0.03806228373702422,0.009874326750448833,0.9569592816225422,0.015680684248039915,0.8176416215502443,0.4834168041864955,1114,6459,289,7284
areaDiff,continuous,>=,0.0,2650.0,50.0,1200.0,51,0,32,756,5703,1082,0.04060913705583756,0.02872531418312388,0.882954017649791,0.033648790746582544,0.7572956556186452,0.4558396659164574,1114,6459,788,6785,10,259,6200,1104,0.03717472118959108,0.008976660682226212,0.959900913454095,0.014461315979754159,0.8200184867291694,0.4844387870681606,1114,6459,269,7304
areaDiff,continuous,>=,0.0,2650.0,50.0,1250.0,51,0,27,684,5775,1087,0.0379746835443038,0.02423698384201077,0.8941012540640966,0.02958904109589041,0.7661428760068665,0.4591691189530537,1114,6459,711,6862,7,237,6222,1107,0.028688524590163935,0.0062836624775583485,0.9633070134695774,0.010309278350515465,0.8225273999735904,0.48479533797356783,1114,6459,244,7329
areaDiff,continuous,>=,0.0,2650.0,50.0,1300.0,51,0,23,612,5847,1091,0.03622047244094488,0.02064631956912029,0.9052484904784023,0.02630074328187536,0.7751221444605837,0.4629474050237613,1114,6459,635,6938,7,215,6244,1107,0.03153153153153153,0.0062836624775583485,0.9667131134850596,0.010479041916167664,0.8254324574144989,0.48649838798130896,1114,6459,222,7351
areaDiff,continuous,>=,0.0,2650.0,50.0,1350.0,51,0,22,564,5895,1092,0.03754266211604096,0.019748653500897665,0.9126799814212726,0.02588235294117647,0.7813284035388881,0.46621431746108516,1114,6459,586,6987,7,196,6263,1107,0.034482758620689655,0.0062836624775583485,0.9696547453166124,0.010630220197418376,0.8279413706589198,0.48796920389708537,1114,6459,203,7370
areaDiff,continuous,>=,0.0,2650.0,50.0,1400.0,51,0,18,500,5959,1096,0.03474903474903475,0.01615798922800718,0.9225886360117665,0.022058823529411766,0.7892512874686386,0.46937331261988685,1114,6459,518,7055,7,177,6282,1107,0.03804347826086957,0.0062836624775583485,0.9725963771481654,0.01078582434514638,0.8304502839033409,0.48944001981286184,1114,6459,184,7389
areaDiff,continuous,>=,0.0,2650.0,50.0,1450.0,51,0,15,463,5996,1099,0.03138075313807531,0.013464991023339317,0.9283170769468958,0.018844221105527637,0.7937409216954971,0.47089103398511756,1114,6459,478,7095,7,161,6298,1107,0.041666666666666664,0.0062836624775583485,0.9750735407957888,0.010920436817472698,0.8325630529512743,0.49067860163667354,1114,6459,168,7405
areaDiff,continuous,>=,0.0,2650.0,50.0,1500.0,51,0,13,418,6041,1101,0.030162412993039442,0.011669658886894075,0.9352840997058368,0.016828478964401296,0.7994189885118183,0.47347687929636545,1114,6459,431,7142,5,148,6311,1109,0.032679738562091505,0.004488330341113106,0.9770862362594829,0.007892659826361484,0.8340155816717285,0.49078728330029797,1114,6459,153,7420
areaDiff,continuous,>=,0.0,2650.0,50.0,1550.0,51,0,11,385,6074,1103,0.027777777777777776,0.009874326750448833,0.9403932497290602,0.014569536423841059,0.8035124785421893,0.47513378823975455,1114,6459,396,7177,5,136,6323,1109,0.03546099290780142,0.004488330341113106,0.9789441089952005,0.00796812749003984,0.8356001584576785,0.49171621966815676,1114,6459,141,7432
areaDiff,continuous,>=,0.0,2650.0,50.0,1600.0,51,0,10,347,6112,1104,0.028011204481792718,0.008976660682226212,0.946276513392166,0.013596193065941538,0.8083982569655355,0.4776265870371961,1114,6459,357,7216,4,124,6335,1110,0.03125,0.003590664272890485,0.9808019817309181,0.006441223832528181,0.8370526871781329,0.4921963230019043,1114,6459,128,7445
areaDiff,continuous,>=,0.0,2650.0,50.0,1650.0,51,0,8,321,6138,1106,0.0243161094224924,0.00718132854578097,0.9503019043195541,0.01108801108801109,0.8115674105374356,0.47874161643266755,1114,6459,329,7244,2,113,6346,1112,0.017391304347826087,0.0017953321364452424,0.9825050317386592,0.0032546786004882013,0.8382411197675954,0.4921501819375522,1114,6459,115,7458
areaDiff,continuous,>=,0.0,2650.0,50.0,1700.0,51,0,8,291,6168,1106,0.026755852842809364,0.00718132854578097,0.9549465861588481,0.011323425336164188,0.8155288525023109,0.48106395735231455,1114,6459,299,7274,2,104,6355,1112,0.018867924528301886,0.0017953321364452424,0.9838984362904475,0.0032786885245901635,0.839429552357058,0.49284688421344636,1114,6459,106,7467
areaDiff,continuous,>=,0.0,2650.0,50.0,1750.0,51,0,8,265,6194,1106,0.029304029304029304,0.00718132854578097,0.9589719770862363,0.011535688536409516,0.8189621022052027,0.48307665281600864,1114,6459,273,7300,2,93,6366,1112,0.021052631578947368,0.0017953321364452424,0.9856014862981886,0.0033085194375516956,0.8408820810775122,0.4936984092173169,1114,6459,95,7478
areaDiff,continuous,>=,0.0,2650.0,50.0,1800.0,51,0,7,248,6211,1107,0.027450980392156862,0.0062836624775583485,0.9616039634618362,0.01022644265887509,0.8210748712531362,0.48394381296969724,1114,6459,255,7318,2,88,6371,1112,0.022222222222222223,0.0017953321364452424,0.9863755999380709,0.0033222591362126247,0.8415423214049914,0.49408546603725806,1114,6459,90,7483
areaDiff,continuous,>=,0.0,2650.0,50.0,1850.0,51,0,7,225,6234,1107,0.03017241379310345,0.0062836624775583485,0.965164886205295,0.010401188707280833,0.8241119767595405,0.4857242743414266,1114,6459,232,7341,2,79,6380,1112,0.024691358024691357,0.0017953321364452424,0.9877690044898592,0.003347280334728034,0.842730753994454,0.4947821683131522,1114,6459,81,7492
areaDiff,continuous,>=,0.0,2650.0,50.0,1900.0,51,0,6,206,6253,1108,0.02830188679245283,0.005385996409335727,0.9681065180368478,0.009049773755656108,0.8264888419384656,0.4867462572230917,1114,6459,212,7361,1,73,6386,1113,0.013513513513513514,0.0008976660682226212,0.9886979408577179,0.0016835016835016836,0.8433909943219332,0.49479780346297025,1114,6459,74,7499
areaDiff,continuous,>=,0.0,2650.0,50.0,1950.0,51,0,6,187,6272,1108,0.031088082901554404,0.005385996409335727,0.9710481498684007,0.009181331293037491,0.8289977551828865,0.4882170731388682,1114,6459,193,7380,1,65,6394,1113,0.015151515151515152,0.0008976660682226212,0.9899365226815297,0.0016949152542372883,0.8444473788458999,0.49541709437487613,1114,6459,66,7507
