feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
areaDiff,continuous,<=,0.0,2650.0,50.0,0.0,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
areaDiff,continuous,<=,0.0,2650.0,50.0,50.0,51,0,104,435,6024,1010,0.19294990723562153,0.0933572710951526,0.9326521133302369,0.12583182093163944,0.8091905453585105,0.5130046922126947,1114,6459,539,7034,87,316,6143,1027,0.21588089330024815,0.07809694793536805,0.9510760179594364,0.11470006591957813,0.8226594480390862,0.5145864829474023,1114,6459,403,7170
areaDiff,continuous,<=,0.0,2650.0,50.0,100.0,51,0,216,862,5597,898,0.20037105751391465,0.19389587073608616,0.8665428084842854,0.19708029197080293,0.7675954047273208,0.5302193396101857,1114,6459,1078,6495,144,506,5953,970,0.22153846153846155,0.12926391382405744,0.9216596996439077,0.16326530612244897,0.8050970553281395,0.5254618067339826,1114,6459,650,6923
areaDiff,continuous,<=,0.0,2650.0,50.0,150.0,51,0,312,1253,5206,802,0.19936102236421724,0.2800718132854578,0.806007121845487,0.23292273236282193,0.7286412254060478,0.5430394675654724,1114,6459,1565,6008,183,608,5851,931,0.23135271807838179,0.16427289048473967,0.9058677813903081,0.1921259842519685,0.7967780272019015,0.5350703359375238,1114,6459,791,6782
areaDiff,continuous,<=,0.0,2650.0,50.0,200.0,51,0,411,1666,4793,703,0.19788155994222437,0.36894075403949733,0.7420653351912061,0.25759949858978376,0.6871781328403539,0.5555030446153517,1114,6459,2077,5496,217,703,5756,897,0.2358695652173913,0.1947935368043088,0.8911596222325437,0.21337266470009833,0.7887230952066552,0.5429765795184263,1114,6459,920,6653
areaDiff,continuous,<=,0.0,2650.0,50.0,250.0,51,0,513,2055,4404,601,0.19976635514018692,0.4605026929982047,0.6818392940083604,0.2786529060293319,0.6492803380430476,0.5711709935032825,1114,6459,2568,5005,255,773,5686,859,0.2480544747081712,0.2289048473967684,0.8803220312741911,0.23809523809523808,0.7844975571107883,0.5546134393354797,1114,6459,1028,6545
areaDiff,continuous,<=,0.0,2650.0,50.0,300.0,51,0,606,2437,4022,508,0.19914558001971738,0.5439856373429084,0.6226970119213501,0.29155641087322587,0.6111184471147497,0.5833413246321293,1114,6459,3043,4530,278,829,5630,836,0.25112917795844625,0.2495511669658887,0.8716519585075089,0.25033768572715,0.7801399709494256,0.5606015627366988,1114,6459,1107,6466
areaDiff,continuous,<=,0.0,2650.0,50.0,350.0,51,0,694,2731,3728,420,0.20262773722627736,0.6229802513464991,0.5771791298962687,0.3057942278034809,0.5839165456226066,0.6000796906213839,1114,6459,3425,4148,298,852,5607,816,0.2591304347826087,0.26750448833034113,0.8680910357640501,0.26325088339222613,0.7797438267529381,0.5677977620471957,1114,6459,1150,6423
areaDiff,continuous,<=,0.0,2650.0,50.0,400.0,51,0,757,3089,3370,357,0.19682787311492458,0.6795332136445242,0.5217525932806936,0.30524193548387096,0.5449623663013337,0.6006429034626088,1114,6459,3846,3727,330,871,5588,784,0.27477102414654453,0.296229802513465,0.8651494039324973,0.28509719222462204,0.781460451604384,0.5806896032229811,1114,6459,1201,6372
areaDiff,continuous,<=,0.0,2650.0,50.0,450.0,51,0,803,3371,3088,311,0.19238140872065165,0.7208258527827648,0.4780925839913299,0.30370650529500753,0.5137990228443153,0.5994592183870473,1114,6459,4174,3399,343,881,5578,771,0.28022875816993464,0.30789946140035906,0.8636011766527326,0.2934131736526946,0.7818565958008715,0.5857503190265458,1114,6459,1224,6349
