feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
perimeterMean,continuous,>=,70.0,244.0,2.0,70.0,51,0,1070,6431,28,44,0.1426476469804026,0.9605026929982047,0.004335036383341075,0.24840394660475912,0.14498877591443285,0.4824188646907729,1114,6459,7501,72,308,1113,5346,806,0.21674876847290642,0.2764811490125673,0.8276823037621923,0.24299802761341224,0.7465997623134821,0.5520817263873798,1114,6459,1421,6152
perimeterMean,continuous,>=,70.0,244.0,2.0,72.0,51,0,1057,6419,40,57,0.14138576779026218,0.9488330341113106,0.006192909119058678,0.24610011641443538,0.14485672784893702,0.47751297161518463,1114,6459,7476,97,292,1117,5342,822,0.20723917672107878,0.2621184919210054,0.8270630128502864,0.23147047166072138,0.7439588010035653,0.5445907523856459,1114,6459,1409,6164
perimeterMean,continuous,>=,70.0,244.0,2.0,74.0,51,0,1048,6404,55,66,0.1406333870101986,0.940754039497307,0.008515250038705681,0.24468830259164134,0.14564901624191207,0.4746346447680063,1114,6459,7452,121,305,1093,5366,809,0.21816881258941345,0.2737881508078995,0.8307787583217217,0.2428343949044586,0.7488445794269114,0.5522834545648105,1114,6459,1398,6175
perimeterMean,continuous,>=,70.0,244.0,2.0,76.0,51,0,1033,6384,75,81,0.13927463934205203,0.9272890484739676,0.011611704598235021,0.2421755948892275,0.14630925656939126,0.46945037653610133,1114,6459,7417,156,282,1101,5358,832,0.2039045553145336,0.25314183123877915,0.8295401764979099,0.22587104525430515,0.7447510893965403,0.5413410038683445,1114,6459,1383,6190
perimeterMean,continuous,>=,70.0,244.0,2.0,78.0,51,0,1018,6367,92,96,0.13784698713608667,0.9138240574506283,0.014243690973834959,0.2395575950111778,0.14657335270038294,0.46403387421223163,1114,6459,7385,188,279,1086,5373,835,0.2043956043956044,0.2504488330341113,0.8318625174175569,0.22509076240419523,0.7463356661824905,0.5411556752258341,1114,6459,1365,6208
perimeterMean,continuous,>=,70.0,244.0,2.0,80.0,51,0,999,6323,136,115,0.13643813165801694,0.8967684021543986,0.021055891004799505,0.2368421052631579,0.14987455433777896,0.45891214657959906,1114,6459,7322,251,275,1067,5392,839,0.20491803278688525,0.24685816876122083,0.8348041492491097,0.2239413680781759,0.748316387164928,0.5408311590051653,1114,6459,1342,6231
perimeterMean,continuous,>=,70.0,244.0,2.0,82.0,51,0,984,6284,175,130,0.13538800220143093,0.8833034111310593,0.027093977395881715,0.23478883321403007,0.1530437079096791,0.4551986942634705,1114,6459,7268,305,253,1071,5388,861,0.19108761329305135,0.22710951526032316,0.8341848583372039,0.20754716981132074,0.7448831374620362,0.5306471867987635,1114,6459,1324,6249
perimeterMean,continuous,>=,70.0,244.0,2.0,84.0,51,0,965,6242,217,149,0.13389759955598723,0.8662477558348295,0.03359653197089333,0.2319432760485519,0.15608081341608346,0.4499221439028614,1114,6459,7207,366,243,1054,5405,871,0.18735543562066306,0.21813285457809695,0.8368168447128038,0.20157610949813357,0.7458074739205071,0.5274748496454504,1114,6459,1297,6276
perimeterMean,continuous,>=,70.0,244.0,2.0,86.0,51,0,942,6193,266,172,0.13202522775052558,0.8456014362657092,0.041182845641740205,0.2283913201600194,0.1595140631189753,0.4433921409537247,1114,6459,7135,438,245,1035,5424,869,0.19140625,0.2199281867145422,0.8397584765443568,0.20467836257309943,0.7485804832959198,0.5298433316294495,1114,6459,1280,6293
perimeterMean,continuous,>=,70.0,244.0,2.0,88.0,51,0,926,6126,333,188,0.131310266591038,0.8312387791741472,0.05155596841616349,0.22679402400195933,0.16624851445926317,0.44139737379515537,1114,6459,7052,521,231,1025,5434,883,0.1839171974522293,0.2073608617594255,0.8413067038241214,0.19493670886075948,0.7480522910339363,0.5243337827917735,1114,6459,1256,6317
