feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
perimeterMin,continuous,>=,52.0,228.0,2.0,52.0,51,0,1094,6413,46,20,0.1457306513920341,0.9820466786355476,0.007121845486917479,0.2537988632409233,0.15053479466525815,0.49458426206123257,1114,6459,7507,66,416,1013,5446,698,0.29111266620014,0.3734290843806104,0.843164576559839,0.3271726307510814,0.774065759936617,0.6082968304702248,1114,6459,1429,6144
perimeterMin,continuous,>=,52.0,228.0,2.0,54.0,51,0,1088,6399,60,26,0.14531855215707226,0.9766606822262118,0.009289363678588018,0.2529938379258226,0.15159117918922488,0.4929750229523999,1114,6459,7487,86,408,1016,5443,706,0.28651685393258425,0.36624775583482944,0.8427001083759096,0.3215130023640662,0.7726132312161627,0.6044739321053695,1114,6459,1424,6149
perimeterMin,continuous,>=,52.0,228.0,2.0,56.0,51,0,1073,6358,101,41,0.14439510160139954,0.9631956912028725,0.015637095525623163,0.2511410181392627,0.15502442889211673,0.48941639336424786,1114,6459,7431,142,404,1009,5450,710,0.28591648973814576,0.362657091561939,0.8437838674717448,0.3197467352592006,0.7730093754126502,0.6032204795168419,1114,6459,1413,6160
perimeterMin,continuous,>=,52.0,228.0,2.0,58.0,51,0,1066,6336,123,48,0.14401513104566332,0.9569120287253142,0.019043195541105434,0.2503522780648192,0.15700514987455433,0.48797761213320984,1114,6459,7402,171,391,1015,5444,723,0.27809388335704127,0.3509874326750449,0.8428549311038861,0.3103174603174603,0.7705004621682292,0.5969211818894655,1114,6459,1406,6167
perimeterMin,continuous,>=,52.0,228.0,2.0,60.0,51,0,1062,6319,140,52,0.14388294269069232,0.9533213644524237,0.021675181916705373,0.250029429075927,0.15872177472600027,0.4874982731845645,1114,6459,7381,192,390,1010,5449,724,0.2785714285714286,0.3500897666068223,0.8436290447437684,0.3102625298329356,0.7710286544302126,0.5968594056752954,1114,6459,1400,6173
perimeterMin,continuous,>=,52.0,228.0,2.0,62.0,51,0,1052,6293,166,62,0.14322668481960518,0.9443447037701975,0.025700572844093512,0.24872916420380664,0.16083454377393372,0.48502263830714554,1114,6459,7345,228,385,1006,5453,729,0.27677929547088426,0.34560143626570916,0.8442483356556743,0.3073852295409181,0.7708966063647168,0.5949248859606917,1114,6459,1391,6182
perimeterMin,continuous,>=,52.0,228.0,2.0,64.0,51,0,1043,6258,201,71,0.14285714285714285,0.9362657091561939,0.031119368323269857,0.24789067142008317,0.16426779347682557,0.4836925387397319,1114,6459,7301,272,373,1004,5455,741,0.270878721859114,0.3348294434470377,0.8445579811116272,0.2994781212364512,0.7695761257097583,0.5896937122793324,1114,6459,1377,6196
perimeterMin,continuous,>=,52.0,228.0,2.0,66.0,51,0,1028,6203,256,86,0.14216567556354584,0.9228007181328546,0.039634618361975536,0.2463750748951468,0.1695497160966592,0.4812176682474151,1114,6459,7231,342,365,999,5460,749,0.26759530791788855,0.3276481149012567,0.8453320947515095,0.29459241323648105,0.7691799815132708,0.5864901048263831,1114,6459,1364,6209
perimeterMin,continuous,>=,52.0,228.0,2.0,68.0,51,0,1013,6157,302,101,0.14128312412831243,0.9093357271095153,0.046756463848893016,0.24456784162240466,0.17364320612703024,0.4780460954792041,1114,6459,7170,403,361,992,5467,753,0.2668144863266814,0.3240574506283663,0.8464158538473447,0.2926631536278881,0.7695761257097583,0.5852366522378555,1114,6459,1353,6220
perimeterMin,continuous,>=,52.0,228.0,2.0,70.0,51,0,998,6101,358,116,0.14058318072968023,0.895870736086176,0.055426536615575166,0.24302934372336538,0.1790571768123597,0.47564863635087556,1114,6459,7099,474,349,989,5470,765,0.2608370702541106,0.3132854578096948,0.8468803220312742,0.28466557911908646,0.7683876931202958,0.5800828899204845,1114,6459,1338,6235
