feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
perimeterMin,continuous,<=,52.0,228.0,2.0,52.0,51,0,20,46,6413,1094,0.30303030303030304,0.017953321364452424,0.9928781545130825,0.03389830508474576,0.8494652053347418,0.5054157379387675,1114,6459,66,7507,4,18,6441,1110,0.18181818181818182,0.003590664272890485,0.9972131908964236,0.007042253521126761,0.8510497821206919,0.5004019275846571,1114,6459,22,7551
perimeterMin,continuous,<=,52.0,228.0,2.0,54.0,51,0,26,60,6399,1088,0.3023255813953488,0.02333931777378815,0.990710636321412,0.04333333333333333,0.8484088208107752,0.5070249770476001,1114,6459,86,7487,7,21,6438,1107,0.25,0.0062836624775583485,0.9967487227124942,0.012259194395796848,0.8510497821206919,0.5015161925950262,1114,6459,28,7545
perimeterMin,continuous,<=,52.0,228.0,2.0,56.0,51,0,41,101,6358,1073,0.2887323943661972,0.03680430879712747,0.9843629044743768,0.06528662420382166,0.8449755711078832,0.5105836066357521,1114,6459,142,7431,9,35,6424,1105,0.20454545454545456,0.00807899461400359,0.9945812045208237,0.0155440414507772,0.8494652053347418,0.5013300995674136,1114,6459,44,7529
perimeterMin,continuous,<=,52.0,228.0,2.0,58.0,51,0,48,123,6336,1066,0.2807017543859649,0.04308797127468582,0.9809568044588945,0.07470817120622568,0.8429948501254456,0.5120223878667902,1114,6459,171,7402,10,42,6417,1104,0.19230769230769232,0.008976660682226212,0.9934974454249884,0.017152658662092625,0.8486729169417668,0.5012370530536073,1114,6459,52,7521
perimeterMin,continuous,<=,52.0,228.0,2.0,60.0,51,0,52,140,6319,1062,0.2708333333333333,0.0466786355475763,0.9783248180832946,0.07963246554364471,0.8412782252739998,0.5125017268154355,1114,6459,192,7381,13,46,6413,1101,0.22033898305084745,0.011669658886894075,0.9928781545130825,0.02216538789428815,0.848540868876271,0.5022739066999883,1114,6459,59,7514
perimeterMin,continuous,<=,52.0,228.0,2.0,62.0,51,0,62,166,6293,1052,0.2719298245614035,0.05565529622980251,0.9742994271559065,0.0923994038748137,0.8391654562260663,0.5149773616928545,1114,6459,228,7345,16,54,6405,1098,0.22857142857142856,0.01436265709156194,0.9916395726892708,0.02702702702702703,0.8478806285487918,0.5030011148904164,1114,6459,70,7503
perimeterMin,continuous,<=,52.0,228.0,2.0,64.0,51,0,71,201,6258,1043,0.2610294117647059,0.06373429084380611,0.9688806316767301,0.10245310245310246,0.8357322065231745,0.516307461260268,1114,6459,272,7301,17,65,6394,1097,0.2073170731707317,0.01526032315978456,0.9899365226815297,0.028428093645484948,0.8465601478938334,0.5025984229206572,1114,6459,82,7491
perimeterMin,continuous,<=,52.0,228.0,2.0,66.0,51,0,86,256,6203,1028,0.25146198830409355,0.07719928186714542,0.9603653816380244,0.11813186813186813,0.8304502839033409,0.5187823317525849,1114,6459,342,7231,19,83,6376,1095,0.18627450980392157,0.017055655296229804,0.9871497135779532,0.03125000000000001,0.8444473788458999,0.5021026844370915,1114,6459,102,7471
perimeterMin,continuous,<=,52.0,228.0,2.0,68.0,51,0,101,302,6157,1013,0.2506203473945409,0.09066427289048475,0.953243536151107,0.13315754779169414,0.8263567938729698,0.5219539045207959,1114,6459,403,7170,22,98,6361,1092,0.18333333333333332,0.019748653500897665,0.9848273726583062,0.03565640194489465,0.8428628020599498,0.5022880130796019,1114,6459,120,7453
perimeterMin,continuous,<=,52.0,228.0,2.0,70.0,51,0,116,358,6101,998,0.24472573839662448,0.10412926391382406,0.9445734633844248,0.146095717884131,0.8209428231876403,0.5243513636491245,1114,6459,474,7099,24,115,6344,1090,0.17266187050359713,0.02154398563734291,0.9821953862827063,0.03830806065442937,0.8408820810775122,0.5018696859600246,1114,6459,139,7434
perimeterMin,continuous,<=,52.0,228.0,2.0,72.0,51,0,129,414,6045,985,0.23756906077348067,0.11579892280071813,0.9359033906177426,0.15570307785153892,0.8152647563713191,0.5258511567092303,1114,6459,543,7030,29,129,6330,1085,0.18354430379746836,0.026032315978456014,0.9800278680910358,0.04559748427672956,0.8396936484880496,0.5030300920347459,1114,6459,158,7415
perimeterMin,continuous,<=,52.0,228.0,2.0,74.0,51,0,146,480,5979,968,0.23322683706070288,0.1310592459605027,0.9256850905712959,0.167816091954023,0.808794401162023,0.5283721682658993,1114,6459,626,6947,31,152,6307,1083,0.16939890710382513,0.027827648114901255,0.976466945347577,0.047802621434078645,0.836920639112637,0.5021472967312391,1114,6459,183,7390
perimeterMin,continuous,<=,52.0,228.0,2.0,76.0,51,0,173,577,5882,941,0.23066666666666666,0.15529622980251345,0.9106672859575786,0.1856223175965665,0.7995510365773142,0.532981757880046,1114,6459,750,6823,39,178,6281,1075,0.17972350230414746,0.03500897666068223,0.9724415544201889,0.058602554470323066,0.8345437739337118,0.5037252655404355,1114,6459,217,7356
perimeterMin,continuous,<=,52.0,228.0,2.0,78.0,51,0,194,680,5779,920,0.2219679633867277,0.1741472172351885,0.8947205449760025,0.19517102615694165,0.7887230952066552,0.5344338811055955,1114,6459,874,6699,44,208,6251,1070,0.1746031746031746,0.03949730700179533,0.9677968725808949,0.06442166910688141,0.8312425722963158,0.5036470897913451,1114,6459,252,7321
perimeterMin,continuous,<=,52.0,228.0,2.0,80.0,51,0,219,789,5670,895,0.21726190476190477,0.19658886894075403,0.8778448676265675,0.2064090480678605,0.7776310577050046,0.5372168682836608,1114,6459,1008,6565,47,242,6217,1067,0.16262975778546712,0.0421903052064632,0.962532899829695,0.0669992872416251,0.8271490822659449,0.5023616025180792,1114,6459,289,7284
perimeterMin,continuous,<=,52.0,228.0,2.0,82.0,51,0,251,915,5544,863,0.21526586620926244,0.2253141831238779,0.8583372039015328,0.22017543859649125,0.7652185395483956,0.5418256935127054,1114,6459,1166,6407,59,272,6187,1055,0.1782477341389728,0.05296229802513465,0.957888217990401,0.08166089965397923,0.8247722170870196,0.5054252580077678,1114,6459,331,7242
perimeterMin,continuous,<=,52.0,228.0,2.0,84.0,51,0,282,1046,5413,832,0.21234939759036145,0.25314183123877915,0.8380554265366156,0.23095823095823093,0.7520137329988116,0.5455986288876974,1114,6459,1328,6245,58,317,6142,1056,0.15466666666666667,0.05206463195691203,0.95092119523146,0.07790463398253861,0.8186980060742111,0.501492913594186,1114,6459,375,7198
perimeterMin,continuous,<=,52.0,228.0,2.0,86.0,51,0,311,1173,5286,803,0.2095687331536388,0.2791741472172352,0.8183929400836043,0.23941493456505006,0.7390730225802192,0.5487835436504198,1114,6459,1484,6089,64,353,6106,1050,0.15347721822541965,0.05745062836624776,0.9453475770243072,0.08360548661005879,0.8147365641093358,0.5013991026952774,1114,6459,417,7156
perimeterMin,continuous,<=,52.0,228.0,2.0,88.0,51,0,332,1321,5138,782,0.20084694494857835,0.2980251346499102,0.7954791763430872,0.2399710878207445,0.7223029182622475,0.5467521554964987,1114,6459,1653,5920,71,387,6072,1043,0.15502183406113537,0.06373429084380611,0.9400836042731073,0.09033078880407125,0.8111712663409482,0.5019089475584567,1114,6459,458,7115
perimeterMin,continuous,<=,52.0,228.0,2.0,90.0,51,0,363,1446,5013,751,0.20066334991708126,0.3258527827648115,0.7761263353460288,0.24837495723571673,0.7098904001056384,0.5509895590554201,1114,6459,1809,5764,80,421,6038,1034,0.1596806387225549,0.0718132854578097,0.9348196315219074,0.09907120743034056,0.807870064703552,0.5033164584898585,1114,6459,501,7072
perimeterMin,continuous,<=,52.0,228.0,2.0,92.0,51,0,386,1575,4884,728,0.196838347781744,0.3464991023339318,0.7561542034370645,0.2510569105691057,0.6958933051630793,0.5513266528854981,1114,6459,1961,5612,80,459,6000,1034,0.14842300556586271,0.0718132854578097,0.9289363678588016,0.0967937084089534,0.8028522382147102,0.5003748266583057,1114,6459,539,7034
perimeterMin,continuous,<=,52.0,228.0,2.0,94.0,51,0,419,1749,4710,695,0.19326568265682656,0.3761220825852783,0.7292150487691593,0.25533211456429006,0.6772745279281659,0.5526685656772188,1114,6459,2168,5405,91,502,5957,1023,0.15345699831365936,0.08168761220825853,0.9222789905558136,0.10661980082015231,0.7986267001188433,0.5019833013820361,1114,6459,593,6980
perimeterMin,continuous,<=,52.0,228.0,2.0,96.0,51,0,447,1903,4556,667,0.19021276595744682,0.4012567324955117,0.7053723486607834,0.25808314087759815,0.66063647167569,0.5533145405781476,1114,6459,2350,5223,100,538,5921,1014,0.15673981191222572,0.08976660682226212,0.9167053723486608,0.11415525114155252,0.7950614023504555,0.5032359895854615,1114,6459,638,6935
