feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
perimeterMax,continuous,>=,78.0,274.0,2.0,78.0,51,0,1070,6438,21,44,0.14251465103889185,0.9605026929982047,0.003251277287505806,0.2482022732544653,0.14406443945596198,0.48187698514285526,1114,6459,7508,65,218,1262,5197,896,0.1472972972972973,0.19569120287253142,0.8046137172936987,0.16808018504240554,0.7150402746599762,0.5001524600831151,1114,6459,1480,6093
perimeterMax,continuous,>=,78.0,274.0,2.0,80.0,51,0,1059,6426,33,55,0.14148296593186374,0.9506283662477558,0.005109150023223409,0.24630771019886033,0.1441964875214578,0.4778687581354896,1114,6459,7485,88,218,1261,5198,896,0.14739688979039892,0.19569120287253142,0.8047685400216752,0.16814500578480523,0.715172322725472,0.5002298714471033,1114,6459,1479,6094
perimeterMax,continuous,>=,78.0,274.0,2.0,82.0,51,0,1048,6414,45,66,0.14044492093272581,0.940754039497307,0.006967022758941012,0.2444029850746269,0.14432853558695366,0.473860531128124,1114,6459,7462,111,217,1259,5200,897,0.1470189701897019,0.1947935368043088,0.8050781854776281,0.16756756756756758,0.7153043707909679,0.49993586114096844,1114,6459,1476,6097
perimeterMax,continuous,>=,78.0,274.0,2.0,84.0,51,0,1032,6383,76,82,0.13917734322319622,0.926391382405745,0.011766527326211487,0.2419978895532888,0.14630925656939126,0.4690789548659783,1114,6459,7415,158,215,1256,5203,899,0.14615907545887152,0.19299820466786355,0.8055426536615575,0.16634429400386846,0.7154364188564638,0.49927042916471054,1114,6459,1471,6102
perimeterMax,continuous,>=,78.0,274.0,2.0,86.0,51,0,1018,6359,100,96,0.1379964755320591,0.9138240574506283,0.015482272797646695,0.23978329996466843,0.14762973722434966,0.4646531651241375,1114,6459,7377,196,212,1256,5203,902,0.1444141689373297,0.19030520646319568,0.8055426536615575,0.16421378776142523,0.7150402746599762,0.4979239300623766,1114,6459,1468,6105
perimeterMax,continuous,>=,78.0,274.0,2.0,88.0,51,0,997,6334,125,117,0.13599781748738235,0.8949730700179533,0.01935284099705837,0.2361160449970397,0.14815792948633302,0.45716295550750585,1114,6459,7331,242,213,1252,5207,901,0.1453924914675768,0.19120287253141832,0.8061619445734634,0.1651803024428073,0.7157005149874555,0.49868240855244084,1114,6459,1465,6108
perimeterMax,continuous,>=,78.0,274.0,2.0,90.0,51,0,984,6303,156,130,0.1350349938246192,0.8833034111310593,0.024152345564328843,0.23425782644923224,0.15053479466525815,0.45372787834769407,1114,6459,7287,286,213,1248,5211,901,0.1457905544147844,0.19120287253141832,0.8067812354853693,0.1654368932038835,0.7162287072494388,0.4989920540083938,1114,6459,1461,6112
perimeterMax,continuous,>=,78.0,274.0,2.0,92.0,51,0,965,6274,185,149,0.13330570520790164,0.8662477558348295,0.028642204675646384,0.23105471088231774,0.15185527532021656,0.44744498025523793,1114,6459,7239,334,214,1242,5217,900,0.14697802197802198,0.19210053859964094,0.807710171853228,0.16653696498054474,0.7171530437079097,0.4999053552264345,1114,6459,1456,6117
perimeterMax,continuous,>=,78.0,274.0,2.0,94.0,51,0,942,6252,207,172,0.13094245204336946,0.8456014362657092,0.03204830469112866,0.22676937891189214,0.1517232272547207,0.4388248704784189,1114,6459,7194,379,216,1237,5222,898,0.1486579490708878,0.19389587073608616,0.8084842854931104,0.1682898324892871,0.7180773801663806,0.5011900781145983,1114,6459,1453,6120
perimeterMax,continuous,>=,78.0,274.0,2.0,96.0,51,0,924,6196,263,190,0.1297752808988764,0.829443447037702,0.0407183774578108,0.2244352683993199,0.15674105374356265,0.4350809122477564,1114,6459,7120,453,220,1222,5237,894,0.15256588072122051,0.19748653500897667,0.8108066264127574,0.17214397496087636,0.7205862934108015,0.504146580710867,1114,6459,1442,6131
perimeterMax,continuous,>=,78.0,274.0,2.0,98.0,51,0,896,6125,334,218,0.12761714855433698,0.8043087971274686,0.05171079114413996,0.22028272894898585,0.1624191205598838,0.4280097941358043,1114,6459,7021,552,208,1219,5240,906,0.14576033637000702,0.1867145421903052,0.8112710945966868,0.1637150728059819,0.7193978608213389,0.49899281839349596,1114,6459,1427,6146
perimeterMax,continuous,>=,78.0,274.0,2.0,100.0,51,0,877,6076,383,237,0.1261326046310945,0.7872531418312387,0.05929710481498684,0.2174290318581877,0.16638056252475902,0.4232751233231128,1114,6459,6953,620,202,1213,5246,912,0.14275618374558305,0.1813285457809695,0.8122000309645456,0.1597469355476473,0.7193978608213389,0.49676428837275755,1114,6459,1415,6158
perimeterMax,continuous,>=,78.0,274.0,2.0,102.0,51,0,854,5985,474,260,0.12487205731832139,0.7666068222621185,0.07338597306084534,0.2147617251351691,0.17535983097847616,0.41999639766148195,1114,6459,6839,734,197,1205,5254,917,0.1405135520684736,0.17684021543985637,0.8134386127883574,0.15659777424483304,0.7197940050178265,0.4951394141141069,1114,6459,1402,6171
perimeterMax,continuous,>=,78.0,274.0,2.0,104.0,51,0,827,5905,554,287,0.12284610814022578,0.7423698384201077,0.08577179129896269,0.21080805505990313,0.18235837844975572,0.41407081485953523,1114,6459,6732,841,194,1193,5266,920,0.13987022350396539,0.1741472172351885,0.815296485524075,0.15513794482207116,0.7209824376072891,0.49472185137963176,1114,6459,1387,6186
perimeterMax,continuous,>=,78.0,274.0,2.0,106.0,51,0,792,5802,657,322,0.12010919017288443,0.7109515260323159,0.10171853228053879,0.2055007784120394,0.19133764690347285,0.4063350291564274,1114,6459,6594,979,184,1175,5284,930,0.13539367181751288,0.1651705565529623,0.8180832946276514,0.14880711686211082,0.7220388221312558,0.49162692559030685,1114,6459,1359,6214
perimeterMax,continuous,>=,78.0,274.0,2.0,108.0,51,0,765,5690,769,349,0.1185127807900852,0.6867145421903053,0.11905867781390309,0.20214030915576695,0.20256173247061932,0.4028866100021042,1114,6459,6455,1118,184,1147,5312,930,0.1382419233658903,0.1651705565529623,0.8224183310109924,0.1505112474437628,0.7257361679651393,0.49379444378197734,1114,6459,1331,6242
perimeterMax,continuous,>=,78.0,274.0,2.0,110.0,51,0,741,5597,862,373,0.11691385295045756,0.6651705565529623,0.1334571915157145,0.1988727858293076,0.2116730489898323,0.3993138740343384,1114,6459,6338,1235,177,1131,5328,937,0.1353211009174312,0.15888689407540396,0.8248954946586159,0.14616019818331957,0.7269246005546018,0.4918911943670099,1114,6459,1308,6265
perimeterMax,continuous,>=,78.0,274.0,2.0,112.0,51,0,713,5506,953,401,0.11464865734040842,0.6400359066427289,0.147546059761573,0.1944633846993045,0.21999207711607024,0.39379098320215095,1114,6459,6219,1354,172,1111,5348,942,0.13406079501169135,0.15439856373429084,0.8279919492181452,0.14351272423863162,0.7289053215370395,0.49119525647621803,1114,6459,1283,6290
