feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
perimeterMax,continuous,<=,78.0,274.0,2.0,78.0,51,0,44,21,6438,1070,0.676923076923077,0.03949730700179533,0.9967487227124942,0.07463952502120441,0.8559355605440381,0.5181230148571447,1114,6459,65,7508,44,11,6448,1070,0.8,0.03949730700179533,0.9982969499922588,0.07527801539777589,0.8572560411989965,0.5188971284970271,1114,6459,55,7518
perimeterMax,continuous,<=,78.0,274.0,2.0,80.0,51,0,55,33,6426,1059,0.625,0.04937163375224417,0.9948908499767766,0.09151414309484193,0.8558035124785421,0.5221312418645103,1114,6459,88,7485,52,16,6443,1062,0.7647058823529411,0.0466786355475763,0.9975228363523765,0.08798646362098138,0.8576521853954839,0.5221007359499764,1114,6459,68,7505
perimeterMax,continuous,<=,78.0,274.0,2.0,82.0,51,0,66,45,6414,1048,0.5945945945945946,0.059245960502693,0.993032977241059,0.10775510204081633,0.8556714644130463,0.526139468871876,1114,6459,111,7462,63,19,6440,1051,0.7682926829268293,0.05655296229802514,0.9970583681684472,0.10535117056856189,0.8587085699194507,0.5268056652332361,1114,6459,82,7491
perimeterMax,continuous,<=,78.0,274.0,2.0,84.0,51,0,82,76,6383,1032,0.5189873417721519,0.07360861759425494,0.9882334726737885,0.1289308176100629,0.8536907434306087,0.5309210451340217,1114,6459,158,7415,70,30,6429,1044,0.7,0.06283662477558348,0.995355318160706,0.11532125205930806,0.8581803776574674,0.5290959714681447,1114,6459,100,7473
perimeterMax,continuous,<=,78.0,274.0,2.0,86.0,51,0,96,100,6359,1018,0.4897959183673469,0.08617594254937164,0.9845177272023533,0.1465648854961832,0.8523702627756503,0.5353468348758624,1114,6459,196,7377,81,33,6426,1033,0.7105263157894737,0.07271095152603231,0.9948908499767766,0.13192182410423453,0.8592367621814341,0.5338009007514044,1114,6459,114,7459
perimeterMax,continuous,<=,78.0,274.0,2.0,88.0,51,0,117,125,6334,997,0.4834710743801653,0.10502692998204669,0.9806471590029416,0.17256637168141592,0.851842070513667,0.5428370444924941,1114,6459,242,7331,94,39,6420,1020,0.706766917293233,0.0843806104129264,0.9939619136089178,0.1507618283881315,0.860161098639905,0.5391712620109221,1114,6459,133,7440
perimeterMax,continuous,<=,78.0,274.0,2.0,90.0,51,0,130,156,6303,984,0.45454545454545453,0.11669658886894076,0.9758476544356711,0.1857142857142857,0.8494652053347418,0.546272121652306,1114,6459,286,7287,104,46,6413,1010,0.6933333333333334,0.0933572710951526,0.9928781545130825,0.16455696202531647,0.8605572428363925,0.5431177128041176,1114,6459,150,7423
perimeterMax,continuous,<=,78.0,274.0,2.0,92.0,51,0,149,185,6274,965,0.44610778443113774,0.13375224416517056,0.9713577953243536,0.20580110497237572,0.8481447246797834,0.5525550197447621,1114,6459,334,7239,116,54,6405,998,0.6823529411764706,0.10412926391382406,0.9916395726892708,0.1806853582554517,0.8610854350983758,0.5478844183015474,1114,6459,170,7403
perimeterMax,continuous,<=,78.0,274.0,2.0,94.0,51,0,172,207,6252,942,0.45382585751978893,0.15439856373429084,0.9679516953088714,0.23040857334226392,0.8482767727452792,0.5611751295215811,1114,6459,379,7194,130,68,6391,984,0.6565656565656566,0.11669658886894076,0.9894720544976002,0.19817073170731705,0.8610854350983758,0.5530843216832705,1114,6459,198,7375
perimeterMax,continuous,<=,78.0,274.0,2.0,96.0,51,0,190,263,6196,924,0.4194260485651214,0.17055655296229802,0.9592816225421892,0.2425015954052329,0.8432589462564374,0.5649190877522436,1114,6459,453,7120,143,79,6380,971,0.6441441441441441,0.12836624775583483,0.9877690044898592,0.21407185628742514,0.8613495312293675,0.558067626122847,1114,6459,222,7351
