feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
perimeterDiff,continuous,>=,0.0,124.0,2.0,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,164,1254,5205,950,0.1156558533145275,0.14721723518850988,0.8058522991175104,0.12954186413902055,0.7089660636471675,0.47653476715301013,1114,6459,1418,6155
perimeterDiff,continuous,>=,0.0,124.0,2.0,2.0,51,0,1055,6192,267,59,0.14557748033669105,0.9470377019748654,0.041337668369716675,0.2523621576366463,0.1745675425855011,0.494187685172291,1114,6459,7247,326,166,1225,5234,948,0.11933860531991373,0.1490125673249551,0.810342158228828,0.13253493013972054,0.7130595536775386,0.47967736277689155,1114,6459,1391,6182
perimeterDiff,continuous,>=,0.0,124.0,2.0,4.0,51,0,968,5923,536,146,0.1404730808300682,0.8689407540394973,0.08298498219538629,0.24184884447220487,0.1986002905057441,0.4759628681174418,1114,6459,6891,682,173,1200,5259,941,0.1260014566642389,0.15529622980251345,0.8142127264282397,0.1391234418978689,0.7172850917734055,0.4847544781153766,1114,6459,1373,6200
perimeterDiff,continuous,>=,0.0,124.0,2.0,6.0,51,0,903,5650,809,211,0.13779948115367008,0.8105924596050269,0.12525158693296176,0.23555497587061436,0.2260662881288789,0.46792202326899435,1114,6459,6553,1020,164,1181,5278,950,0.12193308550185873,0.14721723518850988,0.8171543582597925,0.13338755591703946,0.7186055724283639,0.4821857967241512,1114,6459,1345,6228
perimeterDiff,continuous,>=,0.0,124.0,2.0,8.0,51,0,831,5359,1100,283,0.13424878836833604,0.7459605026929982,0.17030500077411365,0.22754654983570652,0.25498481447246796,0.45813275173355594,1114,6459,6190,1383,155,1159,5300,959,0.11796042617960426,0.13913824057450627,0.8205604582752748,0.12767710049423392,0.7203221972798098,0.47984934942489055,1114,6459,1314,6259
perimeterDiff,continuous,>=,0.0,124.0,2.0,10.0,51,0,774,5079,1380,340,0.13223987698616094,0.6947935368043088,0.21365536460752438,0.222190325821731,0.2844315330780404,0.45422445070591655,1114,6459,5853,1720,150,1131,5328,964,0.117096018735363,0.13464991023339318,0.8248954946586159,0.12526096033402923,0.7233593027862142,0.47977270244600456,1114,6459,1281,6292
perimeterDiff,continuous,>=,0.0,124.0,2.0,12.0,51,0,709,4802,1657,405,0.12865178733442206,0.6364452423698385,0.25654126025700574,0.21403773584905658,0.31242572296315857,0.4464932513134221,1114,6459,5511,2062,143,1107,5352,971,0.1144,0.12836624775583483,0.828611240130051,0.1209813874788494,0.7256041198996435,0.47848874394294294,1114,6459,1250,6323
perimeterDiff,continuous,>=,0.0,124.0,2.0,14.0,51,0,637,4559,1900,477,0.12259430331023864,0.5718132854578097,0.2941631831552872,0.20190174326465926,0.3350059421629473,0.4329882343065485,1114,6459,5196,2377,141,1066,5393,973,0.11681855840927921,0.12657091561938957,0.8349589719770862,0.12149935372684188,0.7307539944539813,0.4807649437982379,1114,6459,1207,6366
perimeterDiff,continuous,>=,0.0,124.0,2.0,16.0,51,0,574,4314,2145,540,0.117430441898527,0.5152603231597845,0.3320947515095216,0.19126957680773074,0.3590386900831903,0.4236775373346531,1114,6459,4888,2685,134,1026,5433,980,0.11551724137931034,0.12028725314183124,0.8411518810961449,0.11785400175901495,0.735111580615344,0.48071956711898806,1114,6459,1160,6413
perimeterDiff,continuous,>=,0.0,124.0,2.0,18.0,51,0,521,4087,2372,593,0.1130642361111111,0.46768402154398564,0.3672395107601796,0.18210415938483046,0.3820150534794665,0.41746176615208264,1114,6459,4608,2965,125,997,5462,989,0.11140819964349376,0.11220825852782765,0.8456417402074624,0.11180679785330948,0.7377525419252607,0.47892499936764504,1114,6459,1122,6451
