feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
perimeterDiff,continuous,<=,0.0,124.0,2.0,0.0,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
perimeterDiff,continuous,<=,0.0,124.0,2.0,2.0,51,0,59,267,6192,1055,0.18098159509202455,0.05296229802513465,0.9586623316302834,0.08194444444444446,0.8254324574144989,0.505812314827709,1114,6459,326,7247,51,216,6243,1063,0.19101123595505617,0.04578096947935368,0.9665582907570831,0.07385952208544533,0.83111052423082,0.5061696301182184,1114,6459,267,7306
perimeterDiff,continuous,<=,0.0,124.0,2.0,4.0,51,0,146,536,5923,968,0.21407624633431085,0.1310592459605027,0.9170150178046137,0.16258351893095768,0.8013997094942559,0.5240371318825582,1114,6459,682,6891,114,356,6103,1000,0.2425531914893617,0.10233393177737882,0.9448831088403777,0.14393939393939392,0.8209428231876403,0.5236085203088783,1114,6459,470,7103
perimeterDiff,continuous,<=,0.0,124.0,2.0,6.0,51,0,211,809,5650,903,0.2068627450980392,0.18940754039497307,0.8747484130670382,0.19775070290534208,0.773933711871121,0.5320779767310057,1114,6459,1020,6553,145,472,5987,969,0.23500810372771475,0.13016157989228008,0.9269236723951076,0.16753321779318317,0.8097187376204938,0.5285426261436938,1114,6459,617,6956
perimeterDiff,continuous,<=,0.0,124.0,2.0,8.0,51,0,283,1100,5359,831,0.20462762111352134,0.2540394973070018,0.8296949992258864,0.22667200640768922,0.745015185527532,0.5418672482664442,1114,6459,1383,6190,181,567,5892,933,0.24197860962566844,0.16247755834829444,0.9122155132373433,0.19441460794844254,0.8019279017562393,0.5373465357928189,1114,6459,748,6825
perimeterDiff,continuous,<=,0.0,124.0,2.0,10.0,51,0,340,1380,5079,774,0.19767441860465115,0.3052064631956912,0.7863446353924756,0.23994354269583626,0.7155684669219596,0.5457755492940835,1114,6459,1720,5853,200,642,5817,914,0.2375296912114014,0.17953321364452424,0.9006038086391083,0.20449897750511245,0.7945332100884722,0.5400685111418162,1114,6459,842,6731
perimeterDiff,continuous,<=,0.0,124.0,2.0,12.0,51,0,405,1657,4802,709,0.19641125121241512,0.3635547576301616,0.7434587397429943,0.25503778337531485,0.6875742770368414,0.5535067486865779,1114,6459,2062,5511,226,696,5763,888,0.24511930585683298,0.20287253141831238,0.892243381328379,0.22200392927308446,0.7908358642545886,0.5475579563733457,1114,6459,922,6651
perimeterDiff,continuous,<=,0.0,124.0,2.0,14.0,51,0,477,1900,4559,637,0.20067311737484222,0.4281867145421903,0.7058368168447128,0.27327413348610713,0.6649940578370527,0.5670117656934516,1114,6459,2377,5196,257,722,5737,857,0.26251276813074564,0.23070017953321365,0.8882179904009909,0.24558050645007165,0.7914961045820679,0.5594590849671023,1114,6459,979,6594
perimeterDiff,continuous,<=,0.0,124.0,2.0,16.0,51,0,540,2145,4314,574,0.2011173184357542,0.48473967684021546,0.6679052484904784,0.2842853382469071,0.6409613099168098,0.5763224626653469,1114,6459,2685,4888,274,754,5705,840,0.26653696498054474,0.2459605026929982,0.8832636631057439,0.2558356676003735,0.7895153835996302,0.564612082899371,1114,6459,1028,6545
perimeterDiff,continuous,<=,0.0,124.0,2.0,18.0,51,0,593,2372,4087,521,0.2,0.5323159784560144,0.6327604892398204,0.290757538612405,0.6179849465205335,0.5825382338479175,1114,6459,2965,4608,289,787,5672,825,0.26858736059479554,0.2594254937163375,0.8781545130825205,0.26392694063926936,0.7871385184207051,0.568790003399429,1114,6459,1076,6497
