feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.02,51,0,1102,6400,59,12,0.14689416155691815,0.9892280071813285,0.00913454095061155,0.255803156917363,0.1533078040406708,0.49918127406597,1114,6459,7502,71,310,1097,5362,804,0.22032693674484718,0.27827648114901254,0.8301594674098157,0.2459341531138437,0.7489766274924072,0.5542179742794141,1114,6459,1407,6166
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.03,51,0,1088,6348,111,26,0.14631522323830015,0.9766606822262118,0.017185322805387832,0.2545029239766082,0.15832563052951273,0.49692300251579985,1114,6459,7436,137,305,1061,5398,809,0.2232796486090776,0.2737881508078995,0.8357330856169686,0.24596774193548385,0.7530701175227783,0.554760618212434,1114,6459,1366,6207
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.04,51,0,1072,6277,182,42,0.14587018641992108,0.9622980251346499,0.028177736491716985,0.2533380597896727,0.16558827413178398,0.49523788081318343,1114,6459,7349,224,287,1036,5423,827,0.21693121693121692,0.25763016157989227,0.8396036538163802,0.23553549446040212,0.7539944539812492,0.5486169076981362,1114,6459,1323,6250
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.05,51,0,1059,6191,268,55,0.14606896551724138,0.9506283662477558,0.041492491097693145,0.25322812051649923,0.17522778291298033,0.4960604286727245,1114,6459,7250,323,290,995,5464,824,0.22568093385214008,0.26032315978456017,0.8459513856634154,0.24176740308461858,0.7598045688630661,0.5531372727239878,1114,6459,1285,6288
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.06,51,0,1036,6080,379,78,0.14558740865654862,0.9299820466786356,0.05867781390308097,0.25176184690157954,0.1868480126766143,0.4943299302908583,1114,6459,7116,457,269,977,5482,845,0.2158908507223114,0.2414721723518851,0.8487381947669917,0.22796610169491524,0.7594084246665787,0.5451051835594384,1114,6459,1246,6327
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.07,51,0,1003,5964,495,111,0.14396440361705182,0.900359066427289,0.07663725034835114,0.24823660438064593,0.19780800211276905,0.48849815838782007,1114,6459,6967,606,271,940,5519,843,0.22378199834847234,0.24326750448833034,0.8544666357021211,0.23311827956989248,0.7645582992209164,0.5488670700952257,1114,6459,1211,6362
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.08,51,0,963,5829,630,151,0.1417844522968198,0.8644524236983842,0.09753831862517418,0.2436124462433595,0.2103525683348739,0.48099537116177915,1114,6459,6792,781,259,907,5552,855,0.2221269296740995,0.2324955116696589,0.8595757857253444,0.22719298245614036,0.767331308596329,0.5460356486975017,1114,6459,1166,6407
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.09,51,0,943,5711,748,171,0.14171926660655246,0.8464991023339318,0.11580740052639728,0.24279093717816685,0.22329327875346627,0.4811532514301645,1114,6459,6654,919,252,879,5580,862,0.22281167108753316,0.22621184919210055,0.8639108221086855,0.22449888641425392,0.7701043179717417,0.545061335650393,1114,6459,1131,6442
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.1,51,0,899,5543,916,215,0.1395529338714685,0.8070017953321365,0.14181761882644373,0.23795659078877712,0.23966723887495048,0.4744097070792901,1114,6459,6442,1131,237,853,5606,877,0.21743119266055047,0.2127468581687612,0.8679362130360737,0.21506352087114336,0.7715568466921959,0.5403415356024175,1114,6459,1090,6483
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.11,51,0,866,5402,1057,248,0.1381620931716656,0.77737881508079,0.16364762347112558,0.2346247629368735,0.25392842994850123,0.4705132192759578,1114,6459,6268,1305,226,825,5634,888,0.21503330161750714,0.20287253141831238,0.8722712494194148,0.20877598152424942,0.7738016638056252,0.5375718904188636,1114,6459,1051,6522
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.12,51,0,838,5239,1220,276,0.13789698864571334,0.7522441651705566,0.18888372813128967,0.2330691141704909,0.2717549187904397,0.47056394665092316,1114,6459,6077,1496,219,803,5656,895,0.21428571428571427,0.19658886894075403,0.8756773494348971,0.2050561797752809,0.7757823847880628,0.5361331091878255,1114,6459,1022,6551
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.13,51,0,800,5058,1401,314,0.13656538067599863,0.718132854578097,0.2169066418950302,0.22948938611589215,0.2906377921563449,0.46751974823656356,1114,6459,5858,1715,222,766,5693,892,0.22469635627530365,0.1992818671454219,0.8814057903700263,0.21122740247383445,0.7810643074078965,0.5403438287577241,1114,6459,988,6585
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.14,51,0,759,4889,1570,355,0.13438385269121814,0.6813285457809695,0.24307168292305312,0.22448979591836737,0.3075399445398125,0.4622001143520113,1114,6459,5648,1925,207,751,5708,907,0.2160751565762004,0.18581687612208259,0.8837281312896733,0.1998069498069498,0.7810643074078965,0.5347725037058779,1114,6459,958,6615
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.15,51,0,722,4713,1746,392,0.1328426862925483,0.6481149012567325,0.2703204830469113,0.22049167811879675,0.32589462564373434,0.45921769215182195,1114,6459,5435,2138,207,711,5748,907,0.22549019607843138,0.18581687612208259,0.889921040408732,0.20374015748031496,0.7863462300277301,0.5378689582654073,1114,6459,918,6655
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.16,51,0,688,4543,1916,426,0.13152360925253298,0.6175942549371634,0.2966403468029107,0.21686367218282113,0.3438531625511686,0.457117300870037,1114,6459,5231,2342,203,686,5773,911,0.2283464566929134,0.1822262118491921,0.8937916086081437,0.20269595606590116,0.7891192394031428,0.5380089102286679,1114,6459,889,6684
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.17,51,0,657,4362,2097,457,0.13090257023311416,0.5897666068222621,0.3246632605666512,0.21425077449861407,0.3636603723755447,0.45721493369445665,1114,6459,5019,2554,203,652,5807,911,0.23742690058479532,0.1822262118491921,0.8990555813593436,0.20619603859827326,0.7936088736300013,0.5406408966042678,1114,6459,855,6718
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.18,51,0,626,4193,2266,488,0.12990246939199004,0.5619389587073609,0.3508283015946741,0.21102309118489804,0.3818830054139707,0.45638363015101746,1114,6459,4819,2754,204,625,5834,910,0.24607961399276237,0.18312387791741472,0.9032357950147082,0.20998455995882656,0.7973062194638848,0.5431798364660615,1114,6459,829,6744
aspectMean,continuous,>=,1.02,1.8900000000000001,0.01,1.19,51,0,599,4025,2434,515,0.12954152249134948,0.5377019748653501,0.37683851989472056,0.20878354827466014,0.4005017826488842,0.4572702473800353,1114,6459,4624,2949,199,604,5855,915,0.24782067247820672,0.17863554757630162,0.9064870723022139,0.20761606677099637,0.7994189885118183,0.5425613099392578,1114,6459,803,6770
