feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.02,51,0,12,60,6399,1102,0.16666666666666666,0.010771992818671455,0.990710636321412,0.020236087689713324,0.8465601478938334,0.5007413145700417,1114,6459,72,7501,9,42,6417,1105,0.17647058823529413,0.00807899461400359,0.9934974454249884,0.015450643776824032,0.848540868876271,0.500788220019496,1114,6459,51,7522
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.03,51,0,26,111,6348,1088,0.1897810218978102,0.02333931777378815,0.9828146771946121,0.04156674660271782,0.8416743694704872,0.5030769974842001,1114,6459,137,7436,14,67,6392,1100,0.1728395061728395,0.012567324955116697,0.9896268772255767,0.023430962343096235,0.8458999075663541,0.5010971010903467,1114,6459,81,7492
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.04,51,0,42,183,6276,1072,0.18666666666666668,0.03770197486535009,0.9716674407803065,0.06273338312173263,0.8342796778027202,0.5046847078228283,1114,6459,225,7348,26,96,6363,1088,0.21311475409836064,0.02333931777378815,0.9851370181142591,0.042071197411003236,0.8436550904529249,0.5042381679440237,1114,6459,122,7451
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.05,51,0,55,269,6190,1059,0.1697530864197531,0.04937163375224417,0.9583526861743303,0.0764951321279555,0.8246401690215238,0.5038621599632872,1114,6459,324,7249,35,130,6329,1079,0.21212121212121213,0.03141831238779174,0.9798730453630593,0.054730258014073496,0.8403538888155289,0.5056456788754256,1114,6459,165,7408
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.06,51,0,78,379,6080,1036,0.17067833698030635,0.07001795332136446,0.941322186096919,0.09929980903882878,0.8131519873233857,0.5056700697091417,1114,6459,457,7116,46,168,6291,1068,0.21495327102803738,0.04129263913824058,0.9739897816999535,0.06927710843373494,0.8367885910471412,0.507641210419097,1114,6459,214,7359
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.07,51,0,111,495,5964,1003,0.18316831683168316,0.09964093357271095,0.9233627496516489,0.12906976744186047,0.802191997887231,0.5115018416121799,1114,6459,606,6967,55,202,6257,1059,0.2140077821011673,0.04937163375224417,0.9687258089487537,0.08023340627279359,0.8334873894097451,0.509048721350499,1114,6459,257,7316
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.08,51,0,151,630,5829,963,0.19334186939820744,0.1355475763016158,0.9024616813748259,0.15936675461741423,0.7896474316651261,0.5190046288382208,1114,6459,781,6792,66,247,6212,1048,0.2108626198083067,0.059245960502693,0.9617587861898127,0.09250175192711982,0.8289977551828865,0.5105023733462528,1114,6459,313,7260
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.09,51,0,172,748,5711,942,0.18695652173913044,0.15439856373429084,0.8841925994736027,0.16912487708947885,0.7768387693120296,0.5192955816039468,1114,6459,920,6653,72,290,6169,1042,0.19889502762430938,0.06463195691202872,0.9551014088868246,0.0975609756097561,0.8241119767595405,0.5098666828994267,1114,6459,362,7211
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.1,51,0,215,917,5542,899,0.18992932862190812,0.19299820466786355,0.8580275584455798,0.1914514692787177,0.7602007130595537,0.5255128815567216,1114,6459,1132,6441,86,317,6142,1028,0.21339950372208435,0.07719928186714542,0.95092119523146,0.11338167435728409,0.8223953519080945,0.5140602385493027,1114,6459,403,7170
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.11,51,0,248,1057,5402,866,0.1900383141762452,0.22262118491921004,0.8363523765288744,0.20504340636626703,0.7460715700514987,0.5294867807240422,1114,6459,1305,6268,100,342,6117,1014,0.22624434389140272,0.08976660682226212,0.9470506270320483,0.12853470437017997,0.8209428231876403,0.5184086169271552,1114,6459,442,7131
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.12,51,0,276,1220,5239,838,0.18449197860962566,0.24775583482944344,0.8111162718687104,0.21149425287356322,0.7282450812095603,0.529436053349077,1114,6459,1496,6077,121,374,6085,993,0.24444444444444444,0.10861759425493717,0.9420962997368013,0.15040397762585458,0.819490294467186,0.5253569469958692,1114,6459,495,7078
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.13,51,0,315,1401,5058,799,0.18356643356643357,0.28276481149012567,0.7830933581049698,0.2226148409893993,0.7094942559091509,0.5329290847975477,1114,6459,1716,5857,135,402,6057,979,0.25139664804469275,0.12118491921005387,0.9377612633534603,0.1635372501514234,0.8176416215502443,0.5294730912817571,1114,6459,537,7036
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.14,51,0,355,1571,4888,759,0.18431983385254413,0.31867145421903054,0.7567734943489705,0.23355263157894737,0.6923280073946917,0.5377224742840006,1114,6459,1926,5647,140,425,6034,974,0.24778761061946902,0.12567324955116696,0.9342003406100016,0.16676593210244192,0.8152647563713191,0.5299367950805842,1114,6459,565,7008
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.15,51,0,392,1746,4713,722,0.1833489242282507,0.3518850987432675,0.7296795169530887,0.24108241082410822,0.6741053743562657,0.5407823078481782,1114,6459,2138,5435,155,442,6017,959,0.25963149078726966,0.13913824057450627,0.9315683542344017,0.18118059614260665,0.8150006602403275,0.5353532974044539,1114,6459,597,6976
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.16,51,0,426,1916,4543,688,0.18189581554227155,0.38240574506283664,0.7033596531970894,0.2465277777777778,0.6561468374488314,0.542882699129963,1114,6459,2342,5231,161,459,6000,953,0.25967741935483873,0.144524236983842,0.9289363678588016,0.18569780853517878,0.8135481315198733,0.5367303024213218,1114,6459,620,6953
aspectMean,continuous,<=,1.02,1.8900000000000001,0.01,1.17,51,0,457,2098,4361,657,0.17886497064579257,0.4102333931777379,0.6751819167053723,0.24911420005451076,0.6362075795589595,0.542707654941555,1114,6459,2555,5018,163,488,5971,951,0.250384024577573,0.14631956912028726,0.9244465087474841,0.18470254957507082,0.8099828337514855,0.5353830389338857,1114,6459,651,6922
