feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
aspectMin,continuous,>=,1.0,1.68,0.01,1.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,356,1025,5434,758,0.25778421433743665,0.31956912028725315,0.8413067038241214,0.28537074148296593,0.7645582992209164,0.5804379120556873,1114,6459,1381,6192
aspectMin,continuous,>=,1.0,1.68,0.01,1.01,51,0,1061,6114,345,53,0.1478745644599303,0.952423698384201,0.053413841151881095,0.25600193026903123,0.18565958008715172,0.5029187697680411,1114,6459,7175,398,349,1003,5456,765,0.2581360946745562,0.3132854578096948,0.8447128038396037,0.28304947283049475,0.7665390202033541,0.5789991308246493,1114,6459,1352,6221
aspectMin,continuous,>=,1.0,1.68,0.01,1.02,51,0,989,5736,723,125,0.1470631970260223,0.8877917414721723,0.1119368323269856,0.25232810307437176,0.2260662881288789,0.49986428689957896,1114,6459,6725,848,335,965,5494,779,0.25769230769230766,0.3007181328545781,0.8505960675027094,0.2775476387738194,0.7697081737752542,0.5756571001786438,1114,6459,1300,6273
aspectMin,continuous,>=,1.0,1.68,0.01,1.03,51,0,936,5438,1021,178,0.14684656416692815,0.8402154398563735,0.15807400526397275,0.25000000000000006,0.25841806417535984,0.4991447225601731,1114,6459,6374,1199,316,935,5524,798,0.25259792166266987,0.2836624775583483,0.8552407493420034,0.26723044397462997,0.7711607024957084,0.5694516134501759,1114,6459,1251,6322
aspectMin,continuous,>=,1.0,1.68,0.01,1.04,51,0,874,5072,1387,240,0.14698957282206526,0.7845601436265709,0.21473912370335965,0.24759206798866856,0.2985606760860953,0.4996496336649653,1114,6459,5946,1627,302,897,5562,812,0.2518765638031693,0.2710951526032316,0.8611240130051091,0.26113272805879806,0.7743298560676086,0.5661095828041703,1114,6459,1199,6374
aspectMin,continuous,>=,1.0,1.68,0.01,1.05,51,0,830,4777,1682,284,0.14802924915284466,0.7450628366247756,0.2604118284564174,0.24698705549769379,0.3317047405255513,0.5027373325405965,1114,6459,5607,1966,288,867,5592,826,0.24935064935064935,0.2585278276481149,0.8657686948444031,0.25385632437197003,0.7764426251155421,0.5621482612462589,1114,6459,1155,6418
aspectMin,continuous,>=,1.0,1.68,0.01,1.06,51,0,768,4479,1980,346,0.14636935391652373,0.6894075403949731,0.3065490013934046,0.2414714667505109,0.36286808398256964,0.49797827089418883,1114,6459,5247,2326,281,845,5614,833,0.24955595026642985,0.25224416517055653,0.8691747948598855,0.25089285714285714,0.7784233460979797,0.560709480015221,1114,6459,1126,6447
aspectMin,continuous,>=,1.0,1.68,0.01,1.07,51,0,721,4218,2241,393,0.14598096780724842,0.6472172351885098,0.3469577333952624,0.23822897736659507,0.3911263699986795,0.4970874842918861,1114,6459,4939,2634,268,818,5641,846,0.24677716390423574,0.24057450628366248,0.87335500851525,0.24363636363636362,0.7802720190149214,0.5569647573994563,1114,6459,1086,6487
aspectMin,continuous,>=,1.0,1.68,0.01,1.08,51,0,672,3955,2504,442,0.14523449319213314,0.6032315978456014,0.38767611085307324,0.2341055565232538,0.41938465601478936,0.4954538543493373,1114,6459,4627,2946,259,788,5671,855,0.24737344794651384,0.2324955116696589,0.8779996903545441,0.23970384081443777,0.7830450283903341,0.5552476010121015,1114,6459,1047,6526
aspectMin,continuous,>=,1.0,1.68,0.01,1.09,51,0,624,3676,2783,490,0.14511627906976743,0.5601436265709157,0.4308716519585075,0.2305134835611378,0.44988775914432855,0.4955076392647116,1114,6459,4300,3273,253,746,5713,861,0.25325325325325326,0.22710951526032316,0.8845022449295556,0.2394699479413157,0.7877987587481844,0.5558058800949394,1114,6459,999,6574
