feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
aspectMin,continuous,<=,1.0,1.68,0.01,1.0,51,0,17,117,6342,1097,0.12686567164179105,0.01526032315978456,0.9818857408267534,0.027243589743589744,0.8396936484880496,0.49857303199326897,1114,6459,134,7439,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
aspectMin,continuous,<=,1.0,1.68,0.01,1.01,51,0,53,345,6114,1061,0.13316582914572864,0.04757630161579892,0.9465861588481189,0.0701058201058201,0.8143404199128482,0.49708123023195894,1114,6459,398,7175,5,71,6388,1109,0.06578947368421052,0.004488330341113106,0.9890075863136708,0.008403361344537815,0.8441832827149083,0.49674795832739194,1114,6459,76,7497
aspectMin,continuous,<=,1.0,1.68,0.01,1.02,51,0,125,723,5736,989,0.1474056603773585,0.11220825852782765,0.8880631676730144,0.127420998980632,0.773933711871121,0.500135713100421,1114,6459,848,6725,21,154,6305,1093,0.12,0.018850987432675045,0.9761572998916241,0.032583397982932506,0.8353360623266869,0.49750414366214957,1114,6459,175,7398
aspectMin,continuous,<=,1.0,1.68,0.01,1.03,51,0,180,1031,5428,934,0.1486374896779521,0.1615798922800718,0.8403777674562626,0.15483870967741936,0.7405255513006734,0.5009788298681672,1114,6459,1211,6362,34,218,6241,1080,0.1349206349206349,0.03052064631956912,0.9662486453011302,0.04978038067349927,0.8286016109863991,0.49838464581034964,1114,6459,252,7321
aspectMin,continuous,<=,1.0,1.68,0.01,1.04,51,0,244,1410,5049,870,0.1475211608222491,0.21903052064631956,0.7816999535531816,0.17630057803468208,0.6989304106694837,0.5003652370997506,1114,6459,1654,5919,40,305,6154,1074,0.11594202898550725,0.03590664272890485,0.9527790679671776,0.05483207676490747,0.817905717681236,0.49434285534804123,1114,6459,345,7228
aspectMin,continuous,<=,1.0,1.68,0.01,1.05,51,0,286,1699,4760,828,0.14408060453400504,0.25673249551166966,0.7369561851679827,0.1845756695708293,0.666314538492011,0.49684434033982616,1114,6459,1985,5588,46,375,6084,1068,0.10926365795724466,0.04129263913824058,0.9419414770088249,0.05993485342019545,0.8094546414895022,0.49161705807353273,1114,6459,421,7152
aspectMin,continuous,<=,1.0,1.68,0.01,1.06,51,0,348,1986,4473,766,0.14910025706940874,0.3123877917414722,0.6925220622387367,0.20185614849187938,0.6366037237554469,0.5024549269901044,1114,6459,2334,5239,57,448,6011,1057,0.11287128712871287,0.05116696588868941,0.9306394178665428,0.07041383570105005,0.80126766142876,0.4909031918776161,1114,6459,505,7068
aspectMin,continuous,<=,1.0,1.68,0.01,1.07,51,0,393,2245,4214,721,0.1489764973464746,0.3527827648114901,0.6524229756928317,0.20948827292110875,0.6083454377393371,0.5026028702521609,1114,6459,2638,4935,74,506,5953,1040,0.12758620689655173,0.06642728904847396,0.9216596996439077,0.08736717827626916,0.7958536907434306,0.4940434943461908,1114,6459,580,6993
aspectMin,continuous,<=,1.0,1.68,0.01,1.08,51,0,443,2508,3951,671,0.15011860386309725,0.3976660682226212,0.6117045982350209,0.2179581795817958,0.580219199788723,0.504685333228821,1114,6459,2951,4622,98,563,5896,1016,0.14826021180030258,0.08797127468581688,0.9128348041492491,0.1104225352112676,0.7914961045820679,0.500403039417533,1114,6459,661,6912
aspectMin,continuous,<=,1.0,1.68,0.01,1.09,51,0,490,2783,3676,624,0.14970974641002138,0.4398563734290844,0.5691283480414925,0.22338728060177798,0.5501122408556715,0.5044923607352885,1114,6459,3273,4300,109,632,5827,1005,0.14709851551956815,0.09784560143626571,0.9021520359188729,0.11752021563342319,0.7838373167833091,0.49999881867756935,1114,6459,741,6832
aspectMin,continuous,<=,1.0,1.68,0.01,1.1,51,0,531,3073,3386,583,0.14733629300776915,0.47666068222621183,0.5242297569283171,0.22509537939805005,0.5172322725472072,0.5004452195772644,1114,6459,3604,3969,121,695,5764,993,0.1482843137254902,0.10861759425493717,0.8923982040563555,0.12538860103626945,0.7771028654430212,0.5005078991556463,1114,6459,816,6757
aspectMin,continuous,<=,1.0,1.68,0.01,1.11,51,0,557,3256,3203,557,0.14607920272751115,0.5,0.4958971977086236,0.22610107570529733,0.4965007262643602,0.4979485988543118,1114,6459,3813,3760,139,740,5719,975,0.15813424345847554,0.12477558348294435,0.8854311812974145,0.13948820873055698,0.7735375676746336,0.5051033823901794,1114,6459,879,6694
aspectMin,continuous,<=,1.0,1.68,0.01,1.12,51,0,588,3459,3000,526,0.14529280948851,0.5278276481149012,0.4644681839294008,0.22786281728347219,0.4737884589990757,0.496147916022151,1114,6459,4047,3526,141,798,5661,973,0.1501597444089457,0.12657091561938957,0.8764514630747794,0.13735996103263517,0.7661428760068665,0.5015111893470845,1114,6459,939,6634
aspectMin,continuous,<=,1.0,1.68,0.01,1.13,51,0,624,3648,2811,490,0.14606741573033707,0.5601436265709157,0.43520668834184856,0.2317118455254363,0.4535851049782121,0.49767515745638213,1114,6459,4272,3301,154,844,5615,960,0.15430861723446893,0.13824057450628366,0.8693296175878619,0.14583333333333334,0.7617852898455038,0.5037850960470728,1114,6459,998,6575
aspectMin,continuous,<=,1.0,1.68,0.01,1.14,51,0,651,3835,2624,463,0.14511814534106107,0.5843806104129264,0.40625483821024927,0.23249999999999998,0.4324574144988776,0.4953177243115878,1114,6459,4486,3087,168,881,5578,946,0.1601525262154433,0.15080789946140036,0.8636011766527326,0.15533980582524273,0.7587481843390994,0.5072045380570664,1114,6459,1049,6524
aspectMin,continuous,<=,1.0,1.68,0.01,1.15,51,0,690,4063,2396,424,0.1451714706501157,0.6193895870736086,0.3709552562316148,0.23521390830066471,0.40750033012016373,0.49517242165261166,1114,6459,4753,2820,174,932,5527,940,0.15732368896925858,0.1561938958707361,0.8557052175259328,0.15675675675675674,0.7528060213917867,0.5059495566983344,1114,6459,1106,6467
aspectMin,continuous,<=,1.0,1.68,0.01,1.16,51,0,707,4225,2234,407,0.14334955393349555,0.6346499102333932,0.3458739742994272,0.23387363546146211,0.38835336062326686,0.4902619422664102,1114,6459,4932,2641,175,977,5482,939,0.1519097222222222,0.1570915619389587,0.8487381947669917,0.15445719329214475,0.7469959065099696,0.5029148783529752,1114,6459,1152,6421
aspectMin,continuous,<=,1.0,1.68,0.01,1.17,51,0,728,4378,2081,386,0.14257735996866433,0.6535008976660682,0.3221860969190277,0.23408360128617367,0.3709230159778159,0.48784349729254795,1114,6459,5106,2467,180,1016,5443,934,0.1505016722408027,0.1615798922800718,0.8427001083759096,0.15584415584415584,0.7425062722831111,0.5021400003279907,1114,6459,1196,6377
aspectMin,continuous,<=,1.0,1.68,0.01,1.18,51,0,746,4516,1943,368,0.14177118966172558,0.6696588868940754,0.30082056045827527,0.2340025094102886,0.3550772481183151,0.4852397236761753,1114,6459,5262,2311,195,1040,5419,919,0.15789473684210525,0.17504488330341114,0.8389843629044744,0.16602809706257984,0.7413178396936485,0.5070146231039427,1114,6459,1235,6338
aspectMin,continuous,<=,1.0,1.68,0.01,1.19,51,0,767,4660,1799,347,0.14133038511147963,0.6885098743267505,0.278526087629664,0.23452071548692857,0.3388353360623267,0.48351798097820725,1114,6459,5427,2146,208,1067,5392,906,0.1631372549019608,0.1867145421903052,0.8348041492491097,0.17413143574717455,0.7394691667767067,0.5107593457197075,1114,6459,1275,6298
aspectMin,continuous,<=,1.0,1.68,0.01,1.2,51,0,787,4780,1679,327,0.14136878031255615,0.7064631956912029,0.259947360272488,0.2355934740308337,0.32563052951274263,0.4832052779818454,1114,6459,5567,2006,211,1089,5370,903,0.16230769230769232,0.18940754039497307,0.8313980492336275,0.17481358740679373,0.7369602535322858,0.5104027948143003,1114,6459,1300,6273
aspectMin,continuous,<=,1.0,1.68,0.01,1.21,51,0,803,4880,1579,311,0.14129860988914306,0.7208258527827648,0.2444650874748413,0.23628071207885834,0.314538492011092,0.48264547012880304,1114,6459,5683,1890,218,1103,5356,896,0.16502649507948525,0.19569120287253142,0.829230531041957,0.1790554414784394,0.7360359170738149,0.5124608669572442,1114,6459,1321,6252
aspectMin,continuous,<=,1.0,1.68,0.01,1.22,51,0,816,5002,1457,298,0.14025438294946718,0.7324955116696589,0.22557671466171234,0.23542989036353146,0.3001452528720454,0.4790361131656856,1114,6459,5818,1755,222,1122,5337,892,0.16517857142857142,0.1992818671454219,0.826288899210404,0.18063466232709519,0.7340551960913773,0.512785383177913,1114,6459,1344,6229
aspectMin,continuous,<=,1.0,1.68,0.01,1.23,51,0,834,5098,1361,280,0.14059339177343222,0.748653500897666,0.21071373277597152,0.23673005960828836,0.28984550376336987,0.47968361683681876,1114,6459,5932,1641,233,1132,5327,881,0.1706959706959707,0.20915619389587073,0.8247406719306394,0.1879790237999193,0.7341872441568731,0.5169484329132551,1114,6459,1365,6208
aspectMin,continuous,<=,1.0,1.68,0.01,1.24,51,0,852,5191,1268,262,0.14098957471454576,0.7648114901256733,0.19631521907416008,0.2380885846024871,0.2799418988511818,0.48056335459991667,1114,6459,6043,1530,238,1140,5319,876,0.17271407837445574,0.21364452423698385,0.8235020901068277,0.19101123595505617,0.7337910999603856,0.5185733071719058,1114,6459,1378,6195
aspectMin,continuous,<=,1.0,1.68,0.01,1.25,51,0,867,5269,1190,247,0.14129726205997392,0.7782764811490126,0.18423904629199567,0.23917241379310344,0.2716228707249439,0.4812577637205041,1114,6459,6136,1437,243,1150,5309,871,0.17444364680545585,0.21813285457809695,0.8219538628270631,0.19385719984044672,0.7331308596329064,0.52004335870258,1114,6459,1393,6180
aspectMin,continuous,<=,1.0,1.68,0.01,1.26,51,0,879,5363,1096,235,0.14082024991989747,0.7890484739676841,0.16968570986220777,0.23898858075040783,0.26079492935428494,0.4793670919149459,1114,6459,6242,1331,246,1159,5300,868,0.17508896797153026,0.22082585278276481,0.8205604582752748,0.19531560142913854,0.7323385712399313,0.5206931555290198,1114,6459,1405,6168
