feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
aspectMax,continuous,>=,1.02,2.32,0.02,1.02,51,0,1109,6432,27,5,0.14706272377668744,0.9955116696588869,0.0041802136553646075,0.2562680531484691,0.1500066024032748,0.49984594165712576,1114,6459,7541,32,268,1210,5249,846,0.18132611637347767,0.24057450628366248,0.812664499148475,0.20679012345679013,0.728509177340552,0.5266195027160687,1114,6459,1478,6095
aspectMax,continuous,>=,1.02,2.32,0.02,1.04,51,0,1087,6359,100,27,0.14598442116572657,0.9757630161579892,0.015482272797646695,0.2539719626168225,0.15674105374356265,0.49562264447781795,1114,6459,7446,127,268,1210,5249,846,0.18132611637347767,0.24057450628366248,0.812664499148475,0.20679012345679013,0.728509177340552,0.5266195027160687,1114,6459,1478,6095
aspectMax,continuous,>=,1.02,2.32,0.02,1.06,51,0,1070,6251,208,44,0.14615489687201202,0.9605026929982047,0.032203127419105124,0.25370480142264373,0.16875742770368415,0.4963529102086549,1114,6459,7321,252,270,1202,5257,844,0.18342391304347827,0.24236983842010773,0.8139030809722867,0.20881670533642693,0.7298296579955104,0.5281364596961973,1114,6459,1472,6101
aspectMax,continuous,>=,1.02,2.32,0.02,1.08,51,0,1043,6124,335,71,0.14552811497139667,0.9362657091561939,0.051865613872116426,0.25190194420963646,0.18196223425326818,0.49406566151415515,1114,6459,7167,406,274,1194,5265,840,0.18664850136239783,0.2459605026929982,0.8151416627960985,0.21223857474825716,0.7314142347814605,0.5305510827445483,1114,6459,1468,6105
aspectMax,continuous,>=,1.02,2.32,0.02,1.1,51,0,997,5935,524,117,0.1438257357184074,0.8949730700179533,0.08112710945966868,0.24782500621426803,0.20084510761917337,0.48805008973881103,1114,6459,6932,641,269,1186,5273,845,0.18487972508591066,0.2414721723518851,0.8163802446199102,0.20942000778513037,0.731810378977948,0.5289262084858977,1114,6459,1455,6118
aspectMax,continuous,>=,1.02,2.32,0.02,1.12,51,0,952,5773,686,162,0.1415613382899628,0.8545780969479354,0.10620839139185632,0.24288812348513839,0.2162947312821867,0.48039324416989587,1114,6459,6725,848,262,1179,5280,852,0.18181818181818182,0.23518850987432674,0.8174640037157455,0.20508806262230916,0.731810378977948,0.5263262567950361,1114,6459,1441,6132
aspectMax,continuous,>=,1.02,2.32,0.02,1.14,51,0,910,5588,871,204,0.14004309018159433,0.8168761220825853,0.13485059606750271,0.23909616395165526,0.2351776046480919,0.475863359075044,1114,6459,6498,1075,258,1167,5292,856,0.18105263157894738,0.23159784560143626,0.819321876451463,0.20322961795982675,0.7328667635019147,0.5254598610264496,1114,6459,1425,6148
aspectMax,continuous,>=,1.02,2.32,0.02,1.16,51,0,864,5390,1069,250,0.1381515829868884,0.7755834829443446,0.16550549620684316,0.23452768729641693,0.25524891060345967,0.4705444895755939,1114,6459,6254,1319,253,1152,5307,861,0.1800711743772242,0.22710951526032316,0.82164421737111,0.20087336244541484,0.7341872441568731,0.5243768663157166,1114,6459,1405,6168
aspectMax,continuous,>=,1.02,2.32,0.02,1.18,51,0,809,5147,1312,305,0.13582941571524512,0.7262118491921006,0.20312741910512463,0.22885431400282885,0.2800739469166777,0.4646696341486126,1114,6459,5956,1617,238,1126,5333,876,0.1744868035190616,0.21364452423698385,0.8256696082984982,0.19209039548022602,0.7356397728773274,0.519657066267741,1114,6459,1364,6209
aspectMax,continuous,>=,1.02,2.32,0.02,1.2,51,0,761,4909,1550,353,0.13421516754850088,0.6831238779174147,0.23997522836352375,0.22435141509433962,0.3051630793608874,0.4615495531404692,1114,6459,5670,1903,222,1088,5371,892,0.16946564885496182,0.1992818671454219,0.831552871961604,0.18316831683168316,0.7385448303182358,0.5154173695535129,1114,6459,1310,6263
aspectMax,continuous,>=,1.02,2.32,0.02,1.22,51,0,705,4646,1813,409,0.13175107456550178,0.6328545780969479,0.28069360582133457,0.21809744779582368,0.33249702891852634,0.4567740919591412,1114,6459,5351,2222,197,1051,5408,917,0.1578525641025641,0.17684021543985637,0.8372813128967332,0.16680779000846738,0.740129407104186,0.5070607641682948,1114,6459,1248,6325
aspectMax,continuous,>=,1.02,2.32,0.02,1.24,51,0,664,4409,2050,450,0.13088902030356792,0.5960502692998204,0.31738659235175726,0.21464360756424763,0.3583784497557111,0.45671843082578883,1114,6459,5073,2500,197,985,5474,917,0.16666666666666666,0.17684021543985637,0.8474996129431801,0.17160278745644597,0.7488445794269114,0.5121699141915182,1114,6459,1182,6391
aspectMax,continuous,>=,1.02,2.32,0.02,1.26,51,0,617,4142,2317,497,0.12964908594242489,0.5538599640933572,0.3587242607214739,0.21011408138940918,0.38742902416479597,0.4562921124074156,1114,6459,4759,2814,187,918,5541,927,0.16923076923076924,0.16786355475763015,0.8578727357176034,0.16854438936457863,0.7563713191601743,0.5128681452376167,1114,6459,1105,6468
aspectMax,continuous,>=,1.02,2.32,0.02,1.28,51,0,578,3909,2550,536,0.12881658123467796,0.518850987432675,0.3947979563399907,0.20639171576504195,0.41304634887098907,0.45682447188633285,1114,6459,4487,3086,159,875,5584,955,0.15377176015473887,0.14272890484739678,0.8645301130205915,0.14804469273743015,0.7583520401426119,0.5036295089339942,1114,6459,1034,6539
aspectMax,continuous,>=,1.02,2.32,0.02,1.3,51,0,537,3718,2741,577,0.12620446533490012,0.48204667863554757,0.4243690973834959,0.20003725088470853,0.4328535586953651,0.4532078880095217,1114,6459,4255,3318,152,821,5638,962,0.15621788283658788,0.13644524236983843,0.8728905403313206,0.1456636320076665,0.7645582992209164,0.5046678913505795,1114,6459,973,6600
aspectMax,continuous,>=,1.02,2.32,0.02,1.32,51,0,502,3527,2932,612,0.12459667411268305,0.4506283662477558,0.4539402384270011,0.19521679953334628,0.4534530569127162,0.4522843023373785,1114,6459,4029,3544,135,777,5682,979,0.14802631578947367,0.12118491921005387,0.8797027403622851,0.1332675222112537,0.7681235969893041,0.5004438297861695,1114,6459,912,6661
aspectMax,continuous,>=,1.02,2.32,0.02,1.34,51,0,468,3272,3187,646,0.12513368983957218,0.42010771992818674,0.49342003406100016,0.19283065512978984,0.48263567938729696,0.4567638769945934,1114,6459,3740,3833,128,718,5741,986,0.15130023640661938,0.11490125673249552,0.8888372813128967,0.13061224489795917,0.7749900963950878,0.5018692690226961,1114,6459,846,6727
