feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
aspectMax,continuous,<=,1.02,2.32,0.02,1.02,51,0,5,27,6432,1109,0.15625,0.004488330341113106,0.9958197863446354,0.008726003490401396,0.8499933975967252,0.5001540583428743,1114,6459,32,7541,4,21,6438,1110,0.16,0.003590664272890485,0.9967487227124942,0.0070237050043898165,0.8506536379242045,0.5001696934926924,1114,6459,25,7548
aspectMax,continuous,<=,1.02,2.32,0.02,1.04,51,0,27,103,6356,1087,0.2076923076923077,0.02423698384201077,0.9840532590184239,0.04340836012861736,0.8428628020599498,0.5041451214302173,1114,6459,130,7443,18,65,6394,1096,0.21686746987951808,0.01615798922800718,0.9899365226815297,0.03007518796992481,0.8466921959593292,0.5030472559547684,1114,6459,83,7490
aspectMax,continuous,<=,1.02,2.32,0.02,1.06,51,0,44,209,6250,1070,0.17391304347826086,0.03949730700179533,0.9676420498529185,0.06437454279444038,0.83111052423082,0.5035696784273569,1114,6459,253,7320,31,111,6348,1083,0.21830985915492956,0.027827648114901255,0.9828146771946121,0.04936305732484076,0.8423346097979665,0.5053211626547567,1114,6459,142,7431
aspectMax,continuous,<=,1.02,2.32,0.02,1.08,51,0,72,340,6119,1042,0.17475728155339806,0.06463195691202872,0.9473602724880013,0.09436435124508519,0.8175095734847484,0.5059961147000149,1114,6459,412,7161,42,166,6293,1072,0.20192307692307693,0.03770197486535009,0.9742994271559065,0.06354009077155824,0.8365244949161494,0.5060007010106282,1114,6459,208,7365
aspectMax,continuous,<=,1.02,2.32,0.02,1.1,51,0,121,528,5931,993,0.1864406779661017,0.10861759425493717,0.9182535996284255,0.1372660238230289,0.7991548923808266,0.5134355969416813,1114,6459,649,6924,63,223,6236,1051,0.2202797202797203,0.05655296229802514,0.9654745316612479,0.09000000000000001,0.8317707645582992,0.5110137469796365,1114,6459,286,7287
aspectMax,continuous,<=,1.02,2.32,0.02,1.12,51,0,162,686,5773,952,0.19103773584905662,0.14542190305206462,0.8937916086081437,0.1651376146788991,0.7837052687178133,0.5196067558301042,1114,6459,848,6725,81,275,6184,1033,0.22752808988764045,0.07271095152603231,0.9574237498064716,0.11020408163265306,0.8272811303314407,0.515067350666252,1114,6459,356,7217
aspectMax,continuous,<=,1.02,2.32,0.02,1.14,51,0,204,871,5588,910,0.18976744186046512,0.18312387791741472,0.8651494039324973,0.1863864778437643,0.7648223953519081,0.524136640924956,1114,6459,1075,6498,107,323,6136,1007,0.24883720930232558,0.09605026929982047,0.9499922588636012,0.13860103626943004,0.8243760728905322,0.5230212640817108,1114,6459,430,7143
aspectMax,continuous,<=,1.02,2.32,0.02,1.16,51,0,251,1073,5386,863,0.18957703927492447,0.2253141831238779,0.833875212881251,0.20590648072190318,0.7443549452000529,0.5295946980025644,1114,6459,1324,6249,130,361,6098,984,0.26476578411405294,0.11669658886894076,0.9441089952004954,0.16199376947040497,0.8223953519080945,0.5304027920347181,1114,6459,491,7082
aspectMax,continuous,<=,1.02,2.32,0.02,1.18,51,0,306,1318,5141,808,0.18842364532019704,0.2746858168761221,0.7959436445270166,0.22352081811541272,0.7192658127558431,0.5353147307015693,1114,6459,1624,5949,145,423,6036,969,0.25528169014084506,0.13016157989228008,0.9345099860659545,0.17241379310344826,0.81618909282979,0.5323357829791173,1114,6459,568,7005
aspectMax,continuous,<=,1.02,2.32,0.02,1.2,51,0,356,1564,4895,758,0.18541666666666667,0.31956912028725315,0.7578572534448057,0.23467369808833224,0.6933843919186584,0.5387131868660294,1114,6459,1920,5653,156,469,5990,958,0.2496,0.1400359066427289,0.927388140579037,0.1794134560092007,0.8115674105374356,0.533712023610883,1114,6459,625,6948
aspectMax,continuous,<=,1.02,2.32,0.02,1.22,51,0,409,1813,4646,705,0.18406840684068407,0.36714542190305205,0.7193063941786654,0.2452038369304556,0.6675029710814736,0.5432259080408587,1114,6459,2222,5351,169,510,5949,945,0.24889543446244478,0.15170556552962297,0.9210404087320019,0.18851087562744004,0.807870064703552,0.5363729871308124,1114,6459,679,6894
aspectMax,continuous,<=,1.02,2.32,0.02,1.24,51,0,450,2050,4409,664,0.18,0.40394973070017953,0.6826134076482427,0.24903154399557276,0.6416215502442889,0.5432815691742111,1114,6459,2500,5073,180,554,5905,934,0.2452316076294278,0.1615798922800718,0.9142282087010373,0.19480519480519481,0.8035124785421893,0.5379040504905546,1114,6459,734,6839
aspectMax,continuous,<=,1.02,2.32,0.02,1.26,51,0,497,2317,4142,617,0.17661691542288557,0.44614003590664275,0.6412757392785261,0.2530549898167006,0.612570975835204,0.5437078875925845,1114,6459,2814,4759,188,597,5862,926,0.2394904458598726,0.1687612208258528,0.9075708313980493,0.1979989468141127,0.798890796249835,0.5381660261119511,1114,6459,785,6788
aspectMax,continuous,<=,1.02,2.32,0.02,1.28,51,0,538,2554,3905,576,0.17399741267787838,0.4829443447037702,0.6045827527481035,0.2558250118877794,0.5866895549980192,0.5437635487259368,1114,6459,3092,4481,197,636,5823,917,0.23649459783913565,0.17684021543985637,0.901532745006967,0.20236260914227017,0.7949293542849597,0.5391864802234116,1114,6459,833,6740
aspectMax,continuous,<=,1.02,2.32,0.02,1.3,51,0,579,2746,3713,535,0.17413533834586467,0.5197486535008977,0.5748567889766217,0.2608695652173913,0.5667502971081474,0.5473027212387598,1114,6459,3325,4248,220,650,5809,894,0.25287356321839083,0.19748653500897667,0.8993652268152965,0.22177419354838712,0.7961177868744223,0.5484258809121366,1114,6459,870,6703
aspectMax,continuous,<=,1.02,2.32,0.02,1.32,51,0,613,2943,3516,501,0.17238470191226096,0.5502692998204668,0.5443567115652578,0.26252676659528906,0.5452264624323254,0.5473130056928623,1114,6459,3556,4017,229,684,5775,885,0.2508214676889376,0.20556552962298025,0.8941012540640966,0.2259496793290577,0.7928165852370263,0.5498333918435384,1114,6459,913,6660
aspectMax,continuous,<=,1.02,2.32,0.02,1.34,51,0,646,3187,3272,468,0.16853639446908428,0.5798922800718133,0.5065799659389999,0.26116838487972505,0.517364320612703,0.5432361230054066,1114,6459,3833,3740,236,716,5743,878,0.24789915966386555,0.2118491921005386,0.8891469267688497,0.22846079380445303,0.7895153835996302,0.5504980594346941,1114,6459,952,6621
aspectMax,continuous,<=,1.02,2.32,0.02,1.36,51,0,688,3423,3036,426,0.16735587448309414,0.6175942549371634,0.47004180213655367,0.2633492822966507,0.49174699590650994,0.5438180285368586,1114,6459,4111,3462,241,745,5714,873,0.24442190669371197,0.2163375224416517,0.8846570676575322,0.22952380952380952,0.7863462300277301,0.5504972950495919,1114,6459,986,6587
aspectMax,continuous,<=,1.02,2.32,0.02,1.38,51,0,726,3652,2807,388,0.1658291457286432,0.651705565529623,0.43458739742994273,0.26438455935906774,0.46652581539680443,0.5431464814797828,1114,6459,4378,3195,249,770,5689,865,0.24435721295387636,0.22351885098743268,0.8807864994581205,0.23347398030942335,0.7841014129143008,0.5521526752227766,1114,6459,1019,6554
aspectMax,continuous,<=,1.02,2.32,0.02,1.4,51,0,755,3832,2627,359,0.1645955962502725,0.677737881508079,0.4067193063941787,0.26486581301526047,0.44658655750693255,0.5422285939511289,1114,6459,4587,2986,265,788,5671,849,0.251661918328585,0.2378815080789946,0.8779996903545441,0.24457775726811257,0.7838373167833091,0.5579405992167693,1114,6459,1053,6520
aspectMax,continuous,<=,1.02,2.32,0.02,1.42,51,0,774,4023,2436,340,0.16135084427767354,0.6947935368043088,0.37714816535067347,0.26188462189138895,0.42387429024164797,0.5359708510774911,1114,6459,4797,2776,273,806,5653,841,0.25301204819277107,0.24506283662477557,0.8752128812509676,0.24897400820793433,0.7825168361283508,0.5601378589378716,1114,6459,1079,6494
aspectMax,continuous,<=,1.02,2.32,0.02,1.44,51,0,799,4196,2263,315,0.15995995995995996,0.7172351885098743,0.3503638334107447,0.26158127353085614,0.40433117654826356,0.5337995109603095,1114,6459,4995,2578,280,827,5632,834,0.2529358626919603,0.2513464991023339,0.8719616039634618,0.2521386762719496,0.780668163211409,0.5616540515328978,1114,6459,1107,6466
