feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
aspectDiff,continuous,>=,0.0,1.04,0.02,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,237,1185,5274,877,0.16666666666666666,0.2127468581687612,0.8165350673478867,0.1869085173501577,0.7277168889475769,0.5146409627583239,1114,6459,1422,6151
aspectDiff,continuous,>=,0.0,1.04,0.02,0.02,51,0,1016,6018,441,98,0.14444128518623828,0.9120287253141831,0.06827682303762192,0.249386352479136,0.19239403142743958,0.49015277417590253,1114,6459,7034,539,225,1172,5287,889,0.16105941302791696,0.20197486535008977,0.8185477628115807,0.17921146953405018,0.7278489370130727,0.5102613140808352,1114,6459,1397,6176
aspectDiff,continuous,>=,0.0,1.04,0.02,0.04,51,0,930,5609,850,184,0.14222358158739867,0.8348294434470377,0.1315993187799969,0.24304194433555468,0.23504555658259607,0.4832143811135173,1114,6459,6539,1034,216,1139,5320,898,0.15940959409594097,0.19389587073608616,0.8236569128348041,0.1749696233292831,0.7310180905849729,0.5087763917854451,1114,6459,1355,6218
aspectDiff,continuous,>=,0.0,1.04,0.02,0.06,51,0,825,5217,1242,289,0.1365441906653426,0.7405745062836625,0.19228982814677195,0.2305757406372275,0.2729433513799023,0.46643216721521724,1114,6459,6042,1531,200,1122,5337,914,0.15128593040847202,0.17953321364452424,0.826288899210404,0.16420361247947454,0.7311501386504687,0.5029110564274641,1114,6459,1322,6251
aspectDiff,continuous,>=,0.0,1.04,0.02,0.08,51,0,754,4837,1622,360,0.13485959577893042,0.6768402154398564,0.2511224647778294,0.22490678598061148,0.313746203618117,0.4639813401088429,1114,6459,5591,1982,180,1089,5370,934,0.14184397163120568,0.1615798922800718,0.8313980492336275,0.15107007973143097,0.7328667635019147,0.4964889707568496,1114,6459,1269,6304
aspectDiff,continuous,>=,0.0,1.04,0.02,0.1,51,0,671,4512,1947,443,0.12946170171715224,0.6023339317773788,0.30143985137018114,0.213117357471812,0.3457018354681104,0.45188689157378,1114,6459,5183,2390,163,1045,5414,951,0.13493377483443708,0.14631956912028726,0.8382102492645921,0.14039621016365203,0.7364320612703024,0.4922649091924397,1114,6459,1208,6365
aspectDiff,continuous,>=,0.0,1.04,0.02,0.12,51,0,610,4167,2292,504,0.12769520619635755,0.547576301615799,0.3548536925220622,0.20709556951281616,0.38320348606892907,0.4512149970689306,1114,6459,4777,2796,149,1006,5453,965,0.129004329004329,0.13375224416517056,0.8442483356556743,0.13133539003966507,0.7397332629076984,0.48900028991042244,1114,6459,1155,6418
aspectDiff,continuous,>=,0.0,1.04,0.02,0.14,51,0,550,3854,2605,564,0.12488646684831971,0.49371633752244165,0.4033132063786964,0.19934758970641536,0.4166116466393767,0.448514771950569,1114,6459,4404,3169,143,952,5507,971,0.13059360730593608,0.12836624775583483,0.8526087629664034,0.1294703485740154,0.7460715700514987,0.4904875053611191,1114,6459,1095,6478
aspectDiff,continuous,>=,0.0,1.04,0.02,0.16,51,0,486,3581,2878,628,0.1194984017703467,0.4362657091561939,0.4455798111162719,0.18760856977417487,0.4442096923280074,0.4409227601362329,1114,6459,4067,3506,132,910,5549,982,0.12667946257197696,0.118491921005386,0.8591113175414151,0.12244897959183673,0.7501650600818698,0.48880161927340054,1114,6459,1042,6531
aspectDiff,continuous,>=,0.0,1.04,0.02,0.18,51,0,433,3306,3153,681,0.11580636533832575,0.388689407540395,0.48815606130980027,0.1784463218627653,0.47352436286808397,0.4384227344250976,1114,6459,3739,3834,118,873,5586,996,0.11907164480322906,0.1059245960502693,0.8648397584765444,0.11211401425178148,0.7532021655882741,0.4853821772634068,1114,6459,991,6582
aspectDiff,continuous,>=,0.0,1.04,0.02,0.2,51,0,395,3058,3401,719,0.1143932812047495,0.35457809694793535,0.5265520978479641,0.17298007444712063,0.5012544566222105,0.4405650973979497,1114,6459,3453,4120,113,815,5644,1001,0.12176724137931035,0.10143626570915619,0.8738194766991795,0.11067580803134182,0.7602007130595537,0.48762787120416784,1114,6459,928,6645
aspectDiff,continuous,>=,0.0,1.04,0.02,0.22,51,0,353,2797,3662,761,0.11206349206349206,0.31687612208258525,0.566960829849822,0.16557223264540338,0.5301729829657995,0.4419184759662036,1114,6459,3150,4423,95,776,5683,1019,0.10907003444316878,0.08527827648114901,0.8798575630902616,0.09571788413098237,0.7629737224349663,0.48256791978570535,1114,6459,871,6702
aspectDiff,continuous,>=,0.0,1.04,0.02,0.24,51,0,314,2580,3879,800,0.10850034554250172,0.28186714542190305,0.6005573618207153,0.156686626746507,0.5536775386240591,0.44121225362130917,1114,6459,2894,4679,90,734,5725,1024,0.10922330097087378,0.0807899461400359,0.8863601176652732,0.09287925696594426,0.7678595008583124,0.48357503190265455,1114,6459,824,6749
aspectDiff,continuous,>=,0.0,1.04,0.02,0.26,51,0,285,2370,4089,829,0.10734463276836158,0.25583482944344704,0.6330701346957733,0.1512337490050411,0.5775782384788063,0.4444524820696102,1114,6459,2655,4918,86,691,5768,1028,0.11068211068211069,0.07719928186714542,0.8930174949682613,0.09095716552088841,0.7730093754126502,0.4851083884177034,1114,6459,777,6796
aspectDiff,continuous,>=,0.0,1.04,0.02,0.28,51,0,256,2166,4293,858,0.10569777043765483,0.22980251346499103,0.6646539712029726,0.14479638009049775,0.6006866499405784,0.44722824233398184,1114,6459,2422,5151,79,649,5810,1035,0.10851648351648352,0.07091561938958707,0.8995200495432729,0.08577633007600434,0.7776310577050046,0.48521783446642996,1114,6459,728,6845
aspectDiff,continuous,>=,0.0,1.04,0.02,0.3,51,0,227,1991,4468,887,0.10234445446348062,0.20377019748653502,0.6917479485988544,0.1362545018007203,0.6199656675029711,0.4477590730426947,1114,6459,2218,5355,72,604,5855,1042,0.10650887573964497,0.06463195691202872,0.9064870723022139,0.08044692737430169,0.7826488841938466,0.4855595146071213,1114,6459,676,6897
aspectDiff,continuous,>=,0.0,1.04,0.02,0.32,51,0,196,1823,4636,918,0.09707776126795443,0.17594254937163376,0.7177581668989007,0.12511969358442387,0.6380562524759013,0.44685035813526724,1114,6459,2019,5554,66,561,5898,1048,0.10526315789473684,0.059245960502693,0.913144449605202,0.07581849511774842,0.7875346626171926,0.48619520505394753,1114,6459,627,6946
aspectDiff,continuous,>=,0.0,1.04,0.02,0.34,51,0,178,1661,4798,936,0.09679173463839043,0.15978456014362658,0.7428394488310884,0.1205553674229597,0.6570711739073023,0.45131200448735753,1114,6459,1839,5734,59,521,5938,1055,0.10172413793103448,0.05296229802513465,0.9193373587242607,0.06965761511216056,0.7918922487785554,0.48614982837469767,1114,6459,580,6993
aspectDiff,continuous,>=,0.0,1.04,0.02,0.36,51,0,158,1527,4932,956,0.09376854599406528,0.14183123877917414,0.763585694379935,0.11289746337977849,0.6721246533738281,0.45270846657955455,1114,6459,1685,5888,52,481,5978,1062,0.0975609756097561,0.0466786355475763,0.9255302678433194,0.06314511232544019,0.7962498349399181,0.48610445169544786,1114,6459,533,7040
aspectDiff,continuous,>=,0.0,1.04,0.02,0.38,51,0,135,1391,5068,979,0.08846657929226737,0.12118491921005387,0.7846415853847345,0.10227272727272728,0.6870460847748581,0.4529132522973942,1114,6459,1526,6047,44,442,6017,1070,0.09053497942386832,0.03949730700179533,0.9315683542344017,0.055,0.8003433249702891,0.4855328306180985,1114,6459,486,7087
aspectDiff,continuous,>=,0.0,1.04,0.02,0.4,51,0,111,1276,5183,1003,0.08002883922134102,0.09964093357271095,0.8024461991020282,0.08876449420231906,0.6990624587349795,0.4510435663373696,1114,6459,1387,6186,34,417,6042,1080,0.07538802660753881,0.03052064631956912,0.9354389224338133,0.043450479233226834,0.8023240459527268,0.4829797843766912,1114,6459,451,7122
aspectDiff,continuous,>=,0.0,1.04,0.02,0.42,51,0,98,1170,5289,1016,0.07728706624605679,0.08797127468581688,0.8188574082675337,0.08228379513014274,0.7113429288260927,0.4534143414766753,1114,6459,1268,6305,29,386,6073,1085,0.06987951807228916,0.026032315978456014,0.9402384270010837,0.03793328973185089,0.8057572956556186,0.48313537148976987,1114,6459,415,7158
aspectDiff,continuous,>=,0.0,1.04,0.02,0.44,51,0,87,1079,5380,1027,0.07461406518010291,0.07809694793536805,0.8329462765133921,0.0763157894736842,0.72190677406576,0.4555216122243801,1114,6459,1166,6407,26,363,6096,1088,0.06683804627249357,0.02333931777378815,0.9437993497445425,0.034597471723220224,0.8083982569655355,0.48356933375916533,1114,6459,389,7184
aspectDiff,continuous,>=,0.0,1.04,0.02,0.46,51,0,76,1010,5449,1038,0.06998158379373849,0.06822262118491922,0.8436290447437684,0.06909090909090909,0.7295655618645187,0.4559258329643438,1114,6459,1086,6487,23,344,6115,1091,0.06267029972752043,0.02064631956912029,0.9467409815760953,0.031060094530722487,0.8105110260134689,0.4836936505726078,1114,6459,367,7206
aspectDiff,continuous,>=,0.0,1.04,0.02,0.48,51,0,67,947,5512,1047,0.06607495069033531,0.06014362657091562,0.8533828766062858,0.06296992481203008,0.736696157401294,0.4567632515886007,1114,6459,1014,6559,19,325,6134,1095,0.055232558139534885,0.017055655296229804,0.9496826134076483,0.02606310013717421,0.8124917469959065,0.483369134351939,1114,6459,344,7229
aspectDiff,continuous,>=,0.0,1.04,0.02,0.5,51,0,60,862,5597,1054,0.0650759219088937,0.05385996409335727,0.8665428084842854,0.05893909626719057,0.7469959065099696,0.46020138628882135,1114,6459,922,6651,16,304,6155,1098,0.05,0.01436265709156194,0.952933890695154,0.022315202231520222,0.8148686121748316,0.48364827389335796,1114,6459,320,7253
aspectDiff,continuous,>=,0.0,1.04,0.02,0.52,51,0,54,792,5667,1060,0.06382978723404255,0.04847396768402154,0.8773803994426381,0.055102040816326525,0.7554469827017034,0.46292718356332985,1114,6459,846,6727,15,283,6176,1099,0.050335570469798654,0.013464991023339317,0.9561851679826598,0.021246458923512748,0.8175095734847484,0.4848250795029996,1114,6459,298,7275
aspectDiff,continuous,>=,0.0,1.04,0.02,0.54,51,0,49,721,5738,1065,0.06363636363636363,0.04398563734290844,0.8883728131289673,0.05201698513800424,0.7641621550244289,0.46617922523593786,1114,6459,770,6803,12,265,6194,1102,0.04332129963898917,0.010771992818671455,0.9589719770862363,0.01725377426312006,0.819490294467186,0.48487198495245387,1114,6459,277,7296
aspectDiff,continuous,>=,0.0,1.04,0.02,0.56,51,0,43,649,5810,1071,0.06213872832369942,0.03859964093357271,0.8995200495432729,0.04761904761904762,0.7728773273471544,0.4690598452384228,1114,6459,692,6881,11,237,6222,1103,0.04435483870967742,0.009874326750448833,0.9633070134695774,0.016152716593245228,0.8230555922355738,0.4865906701100131,1114,6459,248,7325
aspectDiff,continuous,>=,0.0,1.04,0.02,0.58,51,0,41,599,5860,1073,0.0640625,0.03680430879712747,0.9072611859420963,0.046750285062713795,0.7792156344909547,0.47203274736961187,1114,6459,640,6933,9,221,6238,1105,0.0391304347826087,0.00807899461400359,0.9657841771172008,0.01339285714285714,0.8249042651525155,0.4869315858656022,1114,6459,230,7343
aspectDiff,continuous,>=,0.0,1.04,0.02,0.6,51,0,39,539,5920,1075,0.06747404844290658,0.03500897666068223,0.9165505496206843,0.04609929078014185,0.7868744222897135,0.47577976314068327,1114,6459,578,6995,8,200,6259,1106,0.038461538461538464,0.00718132854578097,0.9690354544047066,0.012102874432677761,0.8275452264624323,0.4881083914752438,1114,6459,208,7365
aspectDiff,continuous,>=,0.0,1.04,0.02,0.62,51,0,35,481,5978,1079,0.06782945736434108,0.03141831238779174,0.9255302678433194,0.04294478527607362,0.7940050178264888,0.47847429011555553,1114,6459,516,7057,8,184,6275,1106,0.041666666666666664,0.00718132854578097,0.9715126180523301,0.01225114854517611,0.8296579955103658,0.4893469732990556,1114,6459,192,7381
aspectDiff,continuous,>=,0.0,1.04,0.02,0.64,51,0,33,438,6021,1081,0.07006369426751592,0.0296229802513465,0.9321876451463075,0.04164037854889589,0.7994189885118183,0.48090531269882697,1114,6459,471,7102,6,168,6291,1108,0.034482758620689655,0.005385996409335727,0.9739897816999535,0.009316770186335404,0.8315066684273076,0.4896878890546446,1114,6459,174,7399
aspectDiff,continuous,>=,0.0,1.04,0.02,0.66,51,0,28,404,6055,1086,0.06481481481481481,0.025134649910233394,0.9374516178975073,0.03622250970245796,0.8032483824111977,0.48129313390387035,1114,6459,432,7141,5,159,6300,1109,0.03048780487804878,0.004488330341113106,0.9753831862517418,0.007824726134585288,0.8325630529512743,0.48993575829642744,1114,6459,164,7409
aspectDiff,continuous,>=,0.0,1.04,0.02,0.68,51,0,26,371,6088,1088,0.0654911838790932,0.02333931777378815,0.9425607679207307,0.03441429516876241,0.8073418724415687,0.48295004284725945,1114,6459,397,7176,5,142,6317,1109,0.034013605442176874,0.004488330341113106,0.9780151726273417,0.007930214115781126,0.8348078700647036,0.4912517514842274,1114,6459,147,7426
aspectDiff,continuous,>=,0.0,1.04,0.02,0.7,51,0,21,333,6126,1093,0.059322033898305086,0.018850987432675045,0.9484440315838365,0.02861035422343324,0.8116994586029315,0.48364750950825575,1114,6459,354,7219,4,127,6332,1110,0.030534351145038167,0.003590664272890485,0.9803375135469887,0.00642570281124498,0.8366565429816453,0.4919640889099396,1114,6459,131,7442
aspectDiff,continuous,>=,0.0,1.04,0.02,0.72,51,0,17,308,6151,1097,0.052307692307692305,0.01526032315978456,0.9523145997832482,0.023627519110493395,0.8144724679783442,0.48378746147151636,1114,6459,325,7248,4,121,6338,1110,0.032,0.003590664272890485,0.9812664499148475,0.0064568200161420515,0.8374488313746203,0.49242855709386896,1114,6459,125,7448
aspectDiff,continuous,>=,0.0,1.04,0.02,0.74,51,0,14,277,6182,1100,0.048109965635738834,0.012567324955116697,0.9571141043505187,0.0199288256227758,0.8181698138122276,0.4848407146528177,1114,6459,291,7282,3,110,6349,1111,0.02654867256637168,0.0026929982046678637,0.9829694999225886,0.004889975550122249,0.8387693120295787,0.49283124906362824,1114,6459,113,7460
aspectDiff,continuous,>=,0.0,1.04,0.02,0.76,51,0,13,239,6220,1101,0.051587301587301584,0.011669658886894075,0.9629973680136245,0.01903367496339678,0.8230555922355738,0.48733351345025927,1114,6459,252,7321,2,99,6360,1112,0.019801980198019802,0.0017953321364452424,0.9846725499303298,0.0032921810699588477,0.8400897926845372,0.4932339410333875,1114,6459,101,7472
aspectDiff,continuous,>=,0.0,1.04,0.02,0.78,51,0,12,218,6241,1102,0.05217391304347826,0.010771992818671455,0.9662486453011302,0.01785714285714286,0.8256965535454905,0.48851031905990083,1114,6459,230,7343,1,85,6374,1113,0.011627906976744186,0.0008976660682226212,0.9868400681220003,0.001666666666666667,0.8418064175359831,0.49386886709511146,1114,6459,86,7487
aspectDiff,continuous,>=,0.0,1.04,0.02,0.8,51,0,10,203,6256,1104,0.046948356807511735,0.008976660682226212,0.9685709862207772,0.015071590052750565,0.8274131783969365,0.4887738234515017,1114,6459,213,7360,1,79,6380,1113,0.0125,0.0008976660682226212,0.9877690044898592,0.0016750418760469012,0.8425987059289581,0.4943333352790409,1114,6459,80,7493
aspectDiff,continuous,>=,0.0,1.04,0.02,0.82,51,0,10,191,6268,1104,0.04975124378109453,0.008976660682226212,0.9704288589564948,0.015209125475285173,0.8289977551828865,0.4897027598193605,1114,6459,201,7372,1,72,6387,1113,0.0136986301369863,0.0008976660682226212,0.9888527635856944,0.0016849199663016008,0.843523042387429,0.4948752148269585,1114,6459,73,7500
aspectDiff,continuous,>=,0.0,1.04,0.02,0.84,51,0,9,173,6286,1105,0.04945054945054945,0.00807899461400359,0.9732156680600712,0.013888888888888888,0.8312425722963158,0.4906473313370374,1114,6459,182,7391,1,67,6392,1113,0.014705882352941176,0.0008976660682226212,0.9896268772255767,0.0016920473773265653,0.8441832827149083,0.4952622716468997,1114,6459,68,7505
aspectDiff,continuous,>=,0.0,1.04,0.02,0.86,51,0,8,157,6302,1106,0.048484848484848485,0.00718132854578097,0.9756928317076947,0.012509773260359656,0.8332232932787534,0.49143708012673787,1114,6459,165,7408,1,62,6397,1113,0.015873015873015872,0.0008976660682226212,0.9904009908654591,0.0016992353440951574,0.8448435230423874,0.49564932846684084,1114,6459,63,7510
aspectDiff,continuous,>=,0.0,1.04,0.02,0.88,51,0,7,146,6313,1107,0.0457516339869281,0.0062836624775583485,0.9773958817154358,0.011049723756906079,0.8345437739337118,0.49183977209649704,1114,6459,153,7420,0,58,6401,1114,0.0,0.0,0.9910202817773649,0.0,0.845239667238875,0.49551014088868245,1114,6459,58,7515
aspectDiff,continuous,>=,0.0,1.04,0.02,0.9,51,0,5,136,6323,1109,0.03546099290780142,0.004488330341113106,0.9789441089952005,0.00796812749003984,0.8356001584576785,0.49171621966815676,1114,6459,141,7432,0,55,6404,1114,0.0,0.0,0.9914847499612943,0.0,0.8456358114353625,0.49574237498064716,1114,6459,55,7518
aspectDiff,continuous,>=,0.0,1.04,0.02,0.92,51,0,5,121,6338,1109,0.03968253968253968,0.004488330341113106,0.9812664499148475,0.008064516129032258,0.8375808794401162,0.49287739012798026,1114,6459,126,7447,0,53,6406,1114,0.0,0.0,0.9917943954172472,0.0,0.8458999075663541,0.4958971977086236,1114,6459,53,7520
aspectDiff,continuous,>=,0.0,1.04,0.02,0.94,51,0,4,108,6351,1110,0.03571428571428571,0.003590664272890485,0.9832791453785416,0.0065252854812398045,0.8391654562260663,0.493434904825716,1114,6459,112,7461,0,45,6414,1114,0.0,0.0,0.993032977241059,0.0,0.8469562920903209,0.4965164886205295,1114,6459,45,7528
aspectDiff,continuous,>=,0.0,1.04,0.02,0.96,51,0,4,99,6360,1110,0.038834951456310676,0.003590664272890485,0.9846725499303298,0.006573541495480692,0.8403538888155289,0.49413160710161014,1114,6459,103,7470,0,43,6416,1114,0.0,0.0,0.9933426226970119,0.0,0.8472203882213125,0.49667131134850595,1114,6459,43,7530
