feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
circularityMin,ratio,>=,0.0,1.0,0.01,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1141,5318,769,0.23216689098250337,0.3096947935368043,0.8233472673788512,0.2653846153846154,0.7477881949029447,0.5665210304578278,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.01,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1141,5318,769,0.23216689098250337,0.3096947935368043,0.8233472673788512,0.2653846153846154,0.7477881949029447,0.5665210304578278,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.02,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1141,5318,769,0.23216689098250337,0.3096947935368043,0.8233472673788512,0.2653846153846154,0.7477881949029447,0.5665210304578278,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.03,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1141,5318,769,0.23216689098250337,0.3096947935368043,0.8233472673788512,0.2653846153846154,0.7477881949029447,0.5665210304578278,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.04,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,347,1139,5320,767,0.2335127860026918,0.3114901256732496,0.8236569128348041,0.26692307692307693,0.748316387164928,0.5675735192540269,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.05,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,347,1139,5320,767,0.2335127860026918,0.3114901256732496,0.8236569128348041,0.26692307692307693,0.748316387164928,0.5675735192540269,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.06,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,343,1143,5316,771,0.23082099596231495,0.30789946140035906,0.8230376219228983,0.26384615384615384,0.7472600026409613,0.5654685416616287,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.07,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,344,1142,5317,770,0.23149394347240915,0.3087971274685817,0.8231924446508747,0.2646153846153846,0.747524098771953,0.5659947860597282,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.08,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1141,5318,769,0.23216689098250337,0.3096947935368043,0.8233472673788512,0.2653846153846154,0.7477881949029447,0.5665210304578278,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.09,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,342,1144,5315,772,0.23014804845222073,0.30700179533213645,0.8228827991949218,0.2630769230769231,0.7469959065099696,0.5649422972635292,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.1,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,342,1144,5315,772,0.23014804845222073,0.30700179533213645,0.8228827991949218,0.2630769230769231,0.7469959065099696,0.5649422972635292,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.11,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,343,1143,5316,771,0.23082099596231495,0.30789946140035906,0.8230376219228983,0.26384615384615384,0.7472600026409613,0.5654685416616287,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.12,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,343,1143,5316,771,0.23082099596231495,0.30789946140035906,0.8230376219228983,0.26384615384615384,0.7472600026409613,0.5654685416616287,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.13,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,343,1143,5316,771,0.23082099596231495,0.30789946140035906,0.8230376219228983,0.26384615384615384,0.7472600026409613,0.5654685416616287,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.14,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,344,1142,5317,770,0.23149394347240915,0.3087971274685817,0.8231924446508747,0.2646153846153846,0.747524098771953,0.5659947860597282,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.15,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,343,1143,5316,771,0.23082099596231495,0.30789946140035906,0.8230376219228983,0.26384615384615384,0.7472600026409613,0.5654685416616287,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.16,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,342,1144,5315,772,0.23014804845222073,0.30700179533213645,0.8228827991949218,0.2630769230769231,0.7469959065099696,0.5649422972635292,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.17,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,344,1142,5317,770,0.23149394347240915,0.3087971274685817,0.8231924446508747,0.2646153846153846,0.747524098771953,0.5659947860597282,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.18,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1141,5318,769,0.23216689098250337,0.3096947935368043,0.8233472673788512,0.2653846153846154,0.7477881949029447,0.5665210304578278,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.19,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1141,5318,769,0.23216689098250337,0.3096947935368043,0.8233472673788512,0.2653846153846154,0.7477881949029447,0.5665210304578278,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.2,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,343,1143,5316,771,0.23082099596231495,0.30789946140035906,0.8230376219228983,0.26384615384615384,0.7472600026409613,0.5654685416616287,1114,6459,1486,6087
circularityMin,ratio,>=,0.0,1.0,0.01,0.21,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,344,1141,5318,770,0.23164983164983166,0.3087971274685817,0.8233472673788512,0.2647171989226626,0.7476561468374489,0.5660721974237164,1114,6459,1485,6088
circularityMin,ratio,>=,0.0,1.0,0.01,0.22,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,342,1143,5316,772,0.23030303030303031,0.30700179533213645,0.8230376219228983,0.26317814544055407,0.7471279545754654,0.5650197086275174,1114,6459,1485,6088
circularityMin,ratio,>=,0.0,1.0,0.01,0.23,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,345,1140,5319,769,0.23232323232323232,0.3096947935368043,0.8235020901068277,0.2654867256637168,0.7479202429684405,0.566598441821816,1114,6459,1485,6088
circularityMin,ratio,>=,0.0,1.0,0.01,0.24,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,340,1144,5315,774,0.22911051212938005,0.3052064631956912,0.8228827991949218,0.2617397998460354,0.746731810378978,0.5640446311953065,1114,6459,1484,6089
circularityMin,ratio,>=,0.0,1.0,0.01,0.25,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,344,1140,5319,770,0.23180592991913745,0.3087971274685817,0.8235020901068277,0.2648190916089299,0.7477881949029447,0.5661496087877047,1114,6459,1484,6089
circularityMin,ratio,>=,0.0,1.0,0.01,0.26,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,348,1135,5324,766,0.23465947403910992,0.3123877917414722,0.8242762037467101,0.26800154023873707,0.7489766274924072,0.5683319977440912,1114,6459,1483,6090
circularityMin,ratio,>=,0.0,1.0,0.01,0.27,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,342,1141,5318,772,0.2306136210384356,0.30700179533213645,0.8233472673788512,0.2633808240277243,0.7473920507064572,0.5651745313554939,1114,6459,1483,6090
circularityMin,ratio,>=,0.0,1.0,0.01,0.28,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,346,1137,5322,768,0.2333108563722185,0.3105924596050269,0.823966558290757,0.26646130150173275,0.7484484352304239,0.5672795089478919,1114,6459,1483,6090
circularityMin,ratio,>=,0.0,1.0,0.01,0.29,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,346,1136,5323,768,0.23346828609986506,0.3105924596050269,0.8241213810187336,0.2665639445300462,0.7485804832959198,0.5673569203118802,1114,6459,1482,6091
circularityMin,ratio,>=,0.0,1.0,0.01,0.3,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,344,1138,5321,770,0.2321187584345479,0.3087971274685817,0.8238117355627806,0.2650231124807396,0.7480522910339363,0.5663044315156811,1114,6459,1482,6091
