feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
circularityDiff,ratio,>=,0.0,1.0,0.01,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,279,1147,5312,835,0.1956521739130435,0.2504488330341113,0.8224183310109924,0.21968503937007872,0.7382807341872442,0.5364335820225519,1114,6459,1426,6147
circularityDiff,ratio,>=,0.0,1.0,0.01,0.01,51,0,1008,5817,642,106,0.1476923076923077,0.9048473967684022,0.09939619136089178,0.2539362640130999,0.2178793080681368,0.502121794064647,1114,6459,6825,748,271,1099,5360,843,0.1978102189781022,0.24326750448833034,0.8298498219538628,0.2181964573268921,0.7435626568070778,0.5365586632210966,1114,6459,1370,6203
circularityDiff,ratio,>=,0.0,1.0,0.01,0.02,51,0,901,5179,1280,213,0.14819078947368422,0.8087971274685817,0.1981730918098777,0.2504865165415624,0.2879968308464281,0.5034851096392297,1114,6459,6080,1493,248,1046,5413,866,0.19165378670788252,0.22262118491921004,0.8380554265366156,0.20598006644518269,0.747524098771953,0.5303383057279129,1114,6459,1294,6279
circularityDiff,ratio,>=,0.0,1.0,0.01,0.03,51,0,817,4574,1885,297,0.15154887775922835,0.7333931777378815,0.2918408422356402,0.2511913912375096,0.356793872969761,0.5126170099867609,1114,6459,5391,2182,240,977,5482,874,0.1972062448644207,0.21543985637342908,0.8487381947669917,0.2059202059202059,0.7555790307671992,0.5320890255702104,1114,6459,1217,6356
circularityDiff,ratio,>=,0.0,1.0,0.01,0.04,51,0,733,3998,2461,381,0.15493553160008455,0.6579892280071813,0.38101873355008514,0.2508126603934987,0.4217615211937145,0.5195039807786332,1114,6459,4731,2842,218,907,5552,896,0.19377777777777777,0.19569120287253142,0.8595757857253444,0.1947297900848593,0.7619173379109996,0.5276334942989379,1114,6459,1125,6448
circularityDiff,ratio,>=,0.0,1.0,0.01,0.05,51,0,632,3495,2964,482,0.15313787254664404,0.5673249551166966,0.458894565722248,0.24117534821598932,0.4748448435230424,0.5131097604194723,1114,6459,4127,3446,191,841,5618,923,0.18507751937984496,0.17145421903052063,0.8697940857717913,0.17800559179869524,0.7670672124653374,0.520624152401156,1114,6459,1032,6541
circularityDiff,ratio,>=,0.0,1.0,0.01,0.06,51,0,534,3015,3444,580,0.15046491969568893,0.4793536804308797,0.5332094751509522,0.22903710057902638,0.5252872045424535,0.506281577790916,1114,6459,3549,4024,167,784,5675,947,0.17560462670872765,0.14991023339317774,0.8786189812664499,0.16174334140435837,0.7714247986267001,0.5142646073298138,1114,6459,951,6622
circularityDiff,ratio,>=,0.0,1.0,0.01,0.07,51,0,456,2579,3880,658,0.15024711696869852,0.40933572710951527,0.6007121845486918,0.2198120028922632,0.5725604119899643,0.5050239558291035,1114,6459,3035,4538,150,720,5739,964,0.1724137931034483,0.13464991023339318,0.8885276358569438,0.15120967741935484,0.7776310577050046,0.5115887730451685,1114,6459,870,6703
circularityDiff,ratio,>=,0.0,1.0,0.01,0.08,51,0,399,2228,4231,715,0.15188427864484202,0.35816876122082586,0.6550549620684316,0.2133119486768244,0.6113825432457415,0.5066118616446287,1114,6459,2627,4946,134,664,5795,980,0.16791979949874686,0.12028725314183124,0.8971977086236259,0.1401673640167364,0.7829129803248382,0.5087424808827286,1114,6459,798,6775
circularityDiff,ratio,>=,0.0,1.0,0.01,0.09,51,0,347,1889,4570,767,0.15518783542039355,0.3114901256732496,0.707539866852454,0.2071641791044776,0.6492803380430476,0.5095149962628518,1114,6459,2236,5337,112,605,5854,1002,0.15620641562064155,0.10053859964093358,0.9063322495742375,0.1223375204806117,0.7877987587481844,0.5034354246075855,1114,6459,717,6856
circularityDiff,ratio,>=,0.0,1.0,0.01,0.1,51,0,290,1592,4867,824,0.15409139213602552,0.26032315978456017,0.7535222170614646,0.19359145527369828,0.6809718737620494,0.5069226884230124,1114,6459,1882,5691,92,551,5908,1022,0.14307931570762053,0.08258527827648116,0.9146926768849667,0.10472396129766649,0.7922883929750429,0.49863897758072395,1114,6459,643,6930
circularityDiff,ratio,>=,0.0,1.0,0.01,0.11,51,0,236,1359,5100,878,0.14796238244514107,0.2118491921005386,0.7895959126799814,0.17423403469915097,0.7046084774858048,0.50072255239026,1114,6459,1595,5978,78,492,5967,1036,0.1368421052631579,0.07001795332136446,0.9238272178355783,0.09263657957244657,0.7982305559223557,0.49692258557847135,1114,6459,570,7003
circularityDiff,ratio,>=,0.0,1.0,0.01,0.12,51,0,199,1162,5297,915,0.1462160176340926,0.17863554757630162,0.8200959900913454,0.16080808080808082,0.7257361679651393,0.4993657688338235,1114,6459,1361,6212,68,443,6016,1046,0.13307240704500978,0.06104129263913824,0.9314135315064251,0.08369230769230769,0.8033804304766935,0.4962274120727817,1114,6459,511,7062
