feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
circularityDiff,ratio,<=,0.0,1.0,0.01,0.0,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
circularityDiff,ratio,<=,0.0,1.0,0.01,0.01,51,0,106,642,5817,1008,0.14171122994652408,0.09515260323159784,0.9006038086391083,0.11385606874328678,0.7821206919318632,0.49787820593535304,1114,6459,748,6825,73,441,6018,1041,0.14202334630350194,0.06552962298025135,0.931723176962378,0.08968058968058969,0.8043047669351644,0.4986263999713147,1114,6459,514,7059
circularityDiff,ratio,<=,0.0,1.0,0.01,0.02,51,0,213,1280,5179,901,0.14266577361018085,0.19120287253141832,0.8018269081901223,0.16340621403912545,0.7120031691535719,0.4965148903607703,1114,6459,1493,6080,114,672,5787,1000,0.1450381679389313,0.10233393177737882,0.8959591267998143,0.12,0.7792156344909547,0.49914652928859654,1114,6459,786,6787
circularityDiff,ratio,<=,0.0,1.0,0.01,0.03,51,0,297,1885,4574,817,0.13611365719523372,0.2666068222621185,0.7081591577643598,0.18021844660194175,0.643206127030239,0.48738299001323915,1114,6459,2182,5391,153,788,5671,961,0.16259298618490967,0.13734290843806105,0.8779996903545441,0.14890510948905109,0.769047933447775,0.5076712993963025,1114,6459,941,6632
circularityDiff,ratio,<=,0.0,1.0,0.01,0.04,51,0,381,2461,3998,733,0.13406052076002814,0.34201077199281865,0.6189812664499148,0.19261880687563193,0.5782384788062855,0.48049601922136675,1114,6459,2842,4731,172,867,5592,942,0.16554379210779596,0.15439856373429084,0.8657686948444031,0.15977705527171387,0.7611250495180245,0.5100836292893469,1114,6459,1039,6534
circularityDiff,ratio,<=,0.0,1.0,0.01,0.05,51,0,482,2964,3495,632,0.13987231572838074,0.4326750448833034,0.5411054342777519,0.21140350877192984,0.5251551564769577,0.4868902395805277,1114,6459,3446,4127,193,921,5538,921,0.1732495511669659,0.1732495511669659,0.8574082675336739,0.1732495511669659,0.7567674633566618,0.5153289093503199,1114,6459,1114,6459
circularityDiff,ratio,<=,0.0,1.0,0.01,0.06,51,0,580,3444,3015,534,0.1441351888667992,0.5206463195691203,0.4667905248490478,0.2257687816270923,0.4747127954575465,0.4937184222090841,1114,6459,4024,3549,211,964,5495,903,0.17957446808510638,0.18940754039497307,0.8507508902306858,0.18435998252512015,0.7534662617192658,0.5200792153128294,1114,6459,1175,6398
circularityDiff,ratio,<=,0.0,1.0,0.01,0.07,51,0,658,3880,2579,456,0.14499779638607316,0.5906642728904847,0.39928781545130826,0.23283793347487614,0.4274395880100357,0.49497604417089647,1114,6459,4538,3035,230,996,5463,884,0.18760195758564438,0.20646319569120286,0.8457965629354389,0.1965811965811966,0.7517496368678199,0.5261298793133209,1114,6459,1226,6347
circularityDiff,ratio,<=,0.0,1.0,0.01,0.08,51,0,715,4231,2228,399,0.144561261625556,0.6418312387791741,0.34494503793156833,0.235973597359736,0.3886174567542586,0.4933881383553712,1114,6459,4946,2627,240,1014,5445,874,0.19138755980861244,0.21543985637342908,0.8430097538318625,0.2027027027027027,0.7506932523438532,0.5292248051026458,1114,6459,1254,6319
circularityDiff,ratio,<=,0.0,1.0,0.01,0.09,51,0,767,4570,1889,347,0.14371369683342702,0.6885098743267505,0.29246013314754604,0.23779259029607813,0.3507196619569523,0.49048500373714826,1114,6459,5337,2236,246,1039,5420,868,0.19143968871595332,0.22082585278276481,0.8391391856324508,0.20508545227177993,0.7481843390994322,0.5299825192076079,1114,6459,1285,6288
circularityDiff,ratio,<=,0.0,1.0,0.01,0.1,51,0,824,4867,1592,290,0.14479001932876473,0.7396768402154399,0.24647778293853537,0.24217487141807495,0.3190281262379506,0.49307731157698764,1114,6459,5691,1882,257,1052,5407,857,0.19633307868601987,0.23070017953321365,0.8371264901687567,0.212133718530747,0.7479202429684405,0.5339133348509852,1114,6459,1309,6264
circularityDiff,ratio,<=,0.0,1.0,0.01,0.11,51,0,878,5100,1359,236,0.14687186349949816,0.7881508078994613,0.21040408732001858,0.24760293288212068,0.29539152251419515,0.49927744760973997,1114,6459,5978,1595,266,1068,5391,848,0.19940029985007496,0.23877917414721722,0.8346493265211333,0.2173202614379085,0.7469959065099696,0.5367142503341753,1114,6459,1334,6239
circularityDiff,ratio,<=,0.0,1.0,0.01,0.12,51,0,915,5297,1162,199,0.14729555698647778,0.8213644524236984,0.1799040099086546,0.2497952497952498,0.2742638320348607,0.5006342311661764,1114,6459,6212,1361,271,1073,5386,843,0.20163690476190477,0.24326750448833034,0.833875212881251,0.2205044751830757,0.7469959065099696,0.5385713586847907,1114,6459,1344,6229
circularityDiff,ratio,<=,0.0,1.0,0.01,0.13,51,0,945,5484,975,169,0.14699020065328977,0.848294434470377,0.15095215977705528,0.25056343629855493,0.25353228575201375,0.4996232971237161,1114,6459,6429,1144,273,1082,5377,841,0.2014760147601476,0.24506283662477557,0.8324818083294627,0.22114216281895505,0.7460715700514987,0.5387723224771191,1114,6459,1355,6218
circularityDiff,ratio,<=,0.0,1.0,0.01,0.14,51,0,966,5633,826,148,0.14638581603273224,0.8671454219030521,0.1278835733085617,0.25048619214313494,0.23663013336854616,0.4975144976058069,1114,6459,6599,974,279,1087,5372,835,0.2042459736456808,0.2504488330341113,0.8317076946895804,0.22499999999999998,0.7462036181169945,0.5410782638618459,1114,6459,1366,6207
circularityDiff,ratio,<=,0.0,1.0,0.01,0.15,51,0,986,5783,676,128,0.14566405672920668,0.8850987432675045,0.10466016411209166,0.250158569072688,0.21946388485408688,0.4948794536897981,1114,6459,6769,804,295,1087,5372,819,0.2134587554269175,0.26481149012567323,0.8317076946895804,0.23637820512820512,0.748316387164928,0.5482595924076268,1114,6459,1382,6191
circularityDiff,ratio,<=,0.0,1.0,0.01,0.16,51,0,1006,5897,562,108,0.14573373895407793,0.9030520646319569,0.08701037312277442,0.2509666957714856,0.2070513666974779,0.4950312188773656,1114,6459,6903,670,295,1093,5366,819,0.21253602305475505,0.26481149012567323,0.8307787583217217,0.23581135091926458,0.747524098771953,0.5477951242236975,1114,6459,1388,6185
circularityDiff,ratio,<=,0.0,1.0,0.01,0.17,51,0,1023,5998,461,91,0.14570573992308788,0.9183123877917415,0.07137327759715126,0.25150583896742473,0.1959593291958273,0.4948428326944464,1114,6459,7021,552,293,1102,5357,821,0.21003584229390682,0.263016157989228,0.8293853537699334,0.23355918692706257,0.7460715700514987,0.5462007558795807,1114,6459,1395,6178
circularityDiff,ratio,<=,0.0,1.0,0.01,0.18,51,0,1034,6070,389,80,0.1455518018018018,0.9281867145421903,0.06022604118284564,0.25164273545874905,0.18790439720058102,0.494206377862518,1114,6459,7104,469,289,1111,5348,825,0.20642857142857143,0.2594254937163375,0.8279919492181452,0.22991249005568815,0.7443549452000529,0.5437087214672414,1114,6459,1400,6173
circularityDiff,ratio,<=,0.0,1.0,0.01,0.19,51,0,1047,6141,318,67,0.1456594323873122,0.9398563734290843,0.04923362749651649,0.2522283787039268,0.18024560940182227,0.4945450004628004,1114,6459,7188,385,290,1117,5342,824,0.20611229566453448,0.26032315978456017,0.8270630128502864,0.23006743355811188,0.7436947048725736,0.5436930863174233,1114,6459,1407,6166
circularityDiff,ratio,<=,0.0,1.0,0.01,0.2,51,0,1054,6199,260,60,0.14531917827106025,0.9461400359066428,0.04025390927388141,0.2519421536990558,0.1735111580615344,0.4931969725902621,1114,6459,7253,320,297,1115,5344,817,0.2103399433427762,0.2666068222621185,0.8273726583062394,0.23515439429928742,0.7448831374620362,0.546989740284179,1114,6459,1412,6161
circularityDiff,ratio,<=,0.0,1.0,0.01,0.21,51,0,1065,6250,209,49,0.14559125085440874,0.9560143626570916,0.03235795014708159,0.25269901530430655,0.1682292354417008,0.49418615640208663,1114,6459,7315,258,302,1117,5342,812,0.21282593375616632,0.2710951526032316,0.8270630128502864,0.2384524279510462,0.7452792816585238,0.549079082726759,1114,6459,1419,6154
circularityDiff,ratio,<=,0.0,1.0,0.01,0.22,51,0,1073,6279,180,41,0.1459466811751904,0.9631956912028725,0.02786809103576405,0.2534845263406567,0.16545622606628813,0.4955318911193183,1114,6459,7352,221,294,1127,5332,820,0.20689655172413793,0.2639138240574506,0.8255147855705217,0.23195266272189347,0.7429024164795985,0.5447143048139862,1114,6459,1421,6152
circularityDiff,ratio,<=,0.0,1.0,0.01,0.23,51,0,1081,6308,151,33,0.14629855190147517,0.9703770197486535,0.023378231924446508,0.25426320122309776,0.1626832166908755,0.49687762583655004,1114,6459,7389,184,299,1130,5329,815,0.2092372288313506,0.26840215439856374,0.8250503173865924,0.23515532835233977,0.7431665126105903,0.5467262358925781,1114,6459,1429,6144
circularityDiff,ratio,<=,0.0,1.0,0.01,0.24,51,0,1087,6338,121,27,0.1463973063973064,0.9757630161579892,0.0187335500851525,0.2545965569738845,0.1595140631189753,0.4972482831215709,1114,6459,7425,148,307,1124,5335,807,0.21453529000698812,0.2755834829443447,0.8259792537544511,0.2412573673870334,0.745015185527532,0.550781368349398,1114,6459,1431,6142
circularityDiff,ratio,<=,0.0,1.0,0.01,0.25,51,0,1094,6354,105,20,0.14688506981740065,0.9820466786355476,0.016256386437529028,0.25554776921280076,0.15832563052951273,0.4991515325365383,1114,6459,7448,125,309,1126,5333,805,0.21533101045296169,0.27737881508078993,0.8256696082984982,0.24244801883091407,0.745015185527532,0.551524211689644,1114,6459,1435,6138
circularityDiff,ratio,<=,0.0,1.0,0.01,0.26,51,0,1098,6374,85,16,0.14694860813704497,0.9856373429084381,0.01315993187799969,0.2557651991614256,0.15621286148157928,0.4993986373932189,1114,6459,7472,101,317,1120,5339,797,0.22059846903270702,0.2845601436265709,0.8265985446663571,0.24852998823990588,0.7468638584444738,0.555579344146464,1114,6459,1437,6136
circularityDiff,ratio,<=,0.0,1.0,0.01,0.27,51,0,1100,6396,63,14,0.14674493062966915,0.9874326750448833,0.009753831862517418,0.2555168408826945,0.15357190017166247,0.49859325345370037,1114,6459,7496,77,315,1125,5334,799,0.21875,0.28276481149012567,0.8258244310264747,0.2466718872357087,0.7459395219860029,0.5542946212583002,1114,6459,1440,6133
circularityDiff,ratio,<=,0.0,1.0,0.01,0.28,51,0,1102,6409,50,12,0.14671814671814673,0.9892280071813285,0.007741136398823348,0.255536231884058,0.15211937145120824,0.49848457179007594,1114,6459,7511,62,311,1130,5329,803,0.21582234559333796,0.2791741472172352,0.8250503173865924,0.24344422700587084,0.7447510893965403,0.5521122323019139,1114,6459,1441,6132
circularityDiff,ratio,<=,0.0,1.0,0.01,0.29,51,0,1105,6421,38,9,0.14682434228009567,0.9919210053859964,0.005883263663105744,0.25578703703703703,0.1509309388617457,0.49890213452455107,1114,6459,7526,47,314,1129,5330,800,0.2176022176022176,0.28186714542190305,0.8252051401145688,0.24560031286664058,0.7452792816585238,0.5535361427682359,1114,6459,1443,6130
circularityDiff,ratio,<=,0.0,1.0,0.01,0.3,51,0,1106,6427,32,8,0.14682065578122927,0.992818671454219,0.004954327295246942,0.2558112640222042,0.15027069853426647,0.49888649937473295,1114,6459,7533,40,314,1132,5327,800,0.21715076071922546,0.28186714542190305,0.8247406719306394,0.24531250000000002,0.7448831374620362,0.5533039086762712,1114,6459,1446,6127
circularityDiff,ratio,<=,0.0,1.0,0.01,0.31,51,0,1108,6435,24,6,0.14689115736444386,0.9946140035906643,0.0037157454714352067,0.255977821416195,0.14947841014129143,0.49916487453104974,1114,6459,7543,30,316,1133,5326,798,0.2180814354727398,0.2836624775583483,0.824585849202663,0.24658603199375728,0.745015185527532,0.5541241633805056,1114,6459,1449,6124
