feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
solidityDiff,ratio,<=,0.0,1.0,0.01,0.0,51,0,1029,4850,1609,85,0.1750297669671713,0.9236983842010772,0.2491097693141353,0.2942942942942943,0.3483427967780272,0.5864040767576062,1114,6459,5879,1694,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
solidityDiff,ratio,<=,0.0,1.0,0.01,0.01,51,0,1080,5460,999,34,0.1651376146788991,0.9694793536804309,0.15466790524849047,0.2822053828063758,0.27452792816585236,0.5620736294644607,1114,6459,6540,1033,344,1067,5392,770,0.2437987243090007,0.3087971274685817,0.8348041492491097,0.2724752475247525,0.757427703684141,0.5718006383588456,1114,6459,1411,6162
solidityDiff,ratio,<=,0.0,1.0,0.01,0.02,51,0,1094,5733,726,20,0.1602460817342903,0.9820466786355476,0.112401300510915,0.27553204886034505,0.2403274792024297,0.5472239895732313,1114,6459,6827,746,361,1067,5392,753,0.25280112044817926,0.3240574506283663,0.8348041492491097,0.2840283241542093,0.7596725207975703,0.579430799938738,1114,6459,1428,6145
solidityDiff,ratio,<=,0.0,1.0,0.01,0.03,51,0,1099,6046,413,15,0.15381385584324703,0.9865350089766607,0.06394178665428085,0.2661339145174961,0.19965667502971082,0.5252383978154708,1114,6459,7145,428,354,1083,5376,760,0.24634655532359082,0.3177737881508079,0.8323269856014863,0.2775382203057624,0.756635415291166,0.5750503868761472,1114,6459,1437,6136
solidityDiff,ratio,<=,0.0,1.0,0.01,0.04,51,0,1101,6123,336,13,0.15240863787375417,0.9883303411131059,0.052020436600092895,0.26409210841928527,0.18975307011752277,0.5201753888565994,1114,6459,7224,349,345,1103,5356,769,0.23825966850828728,0.3096947935368043,0.829230531041957,0.26932084309133486,0.7528060213917867,0.5694626622893806,1114,6459,1448,6125
solidityDiff,ratio,<=,0.0,1.0,0.01,0.05,51,0,1103,6224,235,11,0.15053910195168554,0.9901256732495511,0.036383341074469736,0.2613434427200569,0.17668031163343456,0.5132545071620105,1114,6459,7327,246,340,1124,5335,774,0.23224043715846995,0.3052064631956912,0.8259792537544511,0.2637703646237393,0.7493727716888947,0.5655928584750711,1114,6459,1464,6109
solidityDiff,ratio,<=,0.0,1.0,0.01,0.06,51,0,1107,6322,137,7,0.1490106340018845,0.9937163375224417,0.02121071373277597,0.25915954582699285,0.16426779347682557,0.5074635256276089,1114,6459,7429,144,337,1131,5328,777,0.2295640326975477,0.30251346499102333,0.8248954946586159,0.26103795507358635,0.7480522910339363,0.5637044798248196,1114,6459,1468,6105
solidityDiff,ratio,<=,0.0,1.0,0.01,0.07,51,0,1109,6358,101,5,0.14852015535020757,0.9955116696588869,0.015637095525623163,0.2584780328633027,0.159778159249967,0.5055743825922551,1114,6459,7467,106,337,1135,5324,777,0.22894021739130435,0.30251346499102333,0.8242762037467101,0.26063418406805877,0.747524098771953,0.5633948343688667,1114,6459,1472,6101
solidityDiff,ratio,<=,0.0,1.0,0.01,0.08,51,0,1109,6368,91,5,0.14832151932593285,0.9955116696588869,0.014088868245858492,0.2581771621464323,0.1584576785950086,0.5048002689523727,1114,6459,7477,96,339,1135,5324,775,0.2299864314789688,0.30430879712746856,0.8242762037467101,0.2619783616692427,0.7477881949029447,0.5642925004370893,1114,6459,1474,6099
solidityDiff,ratio,<=,0.0,1.0,0.01,0.09,51,0,1111,6400,59,3,0.14791638929569964,0.9973070017953322,0.00913454095061155,0.2576231884057971,0.15449623663013337,0.5032207713729718,1114,6459,7511,62,327,1149,5310,787,0.22154471544715448,0.29353680430879714,0.8221086855550395,0.25250965250965257,0.7443549452000529,0.5578227449319183,1114,6459,1476,6097
solidityDiff,ratio,<=,0.0,1.0,0.01,0.1,51,0,1111,6418,41,3,0.14756275733829194,0.9973070017953322,0.006347731847035145,0.2570866597246327,0.15211937145120824,0.5018273668211837,1114,6459,7529,44,323,1157,5302,791,0.21824324324324323,0.28994614003590663,0.8208701037312277,0.24903623747108708,0.7427703684141027,0.5554081218835671,1114,6459,1480,6093
solidityDiff,ratio,<=,0.0,1.0,0.01,0.11,51,0,1112,6421,38,2,0.14761715120138058,0.9982046678635548,0.005883263663105744,0.25719902856482013,0.15185527532021656,0.5020439657633302,1114,6459,7533,40,333,1150,5309,781,0.22454484153742413,0.2989228007181329,0.8219538628270631,0.25644974971120527,0.745015185527532,0.5604383317725979,1114,6459,1483,6090
solidityDiff,ratio,<=,0.0,1.0,0.01,0.12,51,0,1113,6449,10,1,0.14718328484527904,0.9991023339317774,0.0015482272797646694,0.25656984785615494,0.14828997755182888,0.5003252806057711,1114,6459,7562,11,333,1150,5309,781,0.22454484153742413,0.2989228007181329,0.8219538628270631,0.25644974971120527,0.745015185527532,0.5604383317725979,1114,6459,1483,6090
solidityDiff,ratio,<=,0.0,1.0,0.01,0.13,51,0,1113,6449,10,1,0.14718328484527904,0.9991023339317774,0.0015482272797646694,0.25656984785615494,0.14828997755182888,0.5003252806057711,1114,6459,7562,11,333,1150,5309,781,0.22454484153742413,0.2989228007181329,0.8219538628270631,0.25644974971120527,0.745015185527532,0.5604383317725979,1114,6459,1483,6090
solidityDiff,ratio,<=,0.0,1.0,0.01,0.14,51,0,1114,6449,10,0,0.14729604654237735,1.0,0.0015482272797646694,0.25677077330874726,0.1484220256173247,0.5007741136398823,1114,6459,7563,10,332,1151,5308,782,0.22387053270397841,0.2980251346499102,0.8217990400990866,0.25567963034270313,0.7447510893965403,0.5599120873744984,1114,6459,1483,6090
solidityDiff,ratio,<=,0.0,1.0,0.01,0.15,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,333,1151,5308,781,0.22439353099730458,0.2989228007181329,0.8217990400990866,0.25635103926096997,0.7448831374620362,0.5603609204086097,1114,6459,1484,6089
solidityDiff,ratio,<=,0.0,1.0,0.01,0.16,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,337,1147,5312,777,0.22708894878706198,0.30251346499102333,0.8224183310109924,0.25943033102386454,0.7459395219860029,0.5624658980010079,1114,6459,1484,6089
solidityDiff,ratio,<=,0.0,1.0,0.01,0.17,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,332,1153,5306,782,0.22356902356902356,0.2980251346499102,0.8214893946431336,0.2554828780300115,0.7444869932655487,0.5597572646465219,1114,6459,1485,6088
solidityDiff,ratio,<=,0.0,1.0,0.01,0.18,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,337,1148,5311,777,0.22693602693602694,0.30251346499102333,0.822263508283016,0.25933051173528276,0.7458074739205071,0.5623884866370197,1114,6459,1485,6088
solidityDiff,ratio,<=,0.0,1.0,0.01,0.19,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,338,1148,5311,776,0.2274562584118439,0.30341113105924594,0.822263508283016,0.26,0.7459395219860029,0.5628373196711309,1114,6459,1486,6087
solidityDiff,ratio,<=,0.0,1.0,0.01,0.2,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,338,1148,5311,776,0.2274562584118439,0.30341113105924594,0.822263508283016,0.26,0.7459395219860029,0.5628373196711309,1114,6459,1486,6087
solidityDiff,ratio,<=,0.0,1.0,0.01,0.21,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,338,1148,5311,776,0.2274562584118439,0.30341113105924594,0.822263508283016,0.26,0.7459395219860029,0.5628373196711309,1114,6459,1486,6087
solidityDiff,ratio,<=,0.0,1.0,0.01,0.22,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,338,1148,5311,776,0.2274562584118439,0.30341113105924594,0.822263508283016,0.26,0.7459395219860029,0.5628373196711309,1114,6459,1486,6087
solidityDiff,ratio,<=,0.0,1.0,0.01,0.23,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,338,1148,5311,776,0.2274562584118439,0.30341113105924594,0.822263508283016,0.26,0.7459395219860029,0.5628373196711309,1114,6459,1486,6087
solidityDiff,ratio,<=,0.0,1.0,0.01,0.24,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,338,1148,5311,776,0.2274562584118439,0.30341113105924594,0.822263508283016,0.26,0.7459395219860029,0.5628373196711309,1114,6459,1486,6087
solidityDiff,ratio,<=,0.0,1.0,0.01,0.25,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,327,1159,5300,787,0.22005383580080753,0.29353680430879714,0.8205604582752748,0.25153846153846154,0.7430344645450944,0.557048631292036,1114,6459,1486,6087
solidityDiff,ratio,<=,0.0,1.0,0.01,0.26,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,335,1151,5308,779,0.22543741588156124,0.3007181328545781,0.8217990400990866,0.25769230769230766,0.7451472335930278,0.5612585864768324,1114,6459,1486,6087
