feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,389,1092,5367,725,0.262660364618501,0.3491921005385996,0.8309335810496981,0.2998073217726397,0.7600686649940578,0.5900628407941488,1114,6459,1481,6092
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.01,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,403,1077,5382,711,0.2722972972972973,0.3617594254937163,0.8332559219693451,0.3107170393215111,0.7638980588934372,0.5975076737315307,1114,6459,1480,6093
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.02,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,395,1085,5374,719,0.2668918918918919,0.35457809694793535,0.8320173401455334,0.3045489591364688,0.7617852898455038,0.5932977185467344,1114,6459,1480,6093
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.03,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,400,1079,5380,714,0.2704530087897228,0.3590664272890485,0.8329462765133921,0.3085229463941381,0.763237818565958,0.5960063519012203,1114,6459,1479,6094
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.04,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,391,1088,5371,723,0.26436781609195403,0.3509874326750449,0.831552871961604,0.30158118010027,0.7608609533870329,0.5912701523183245,1114,6459,1479,6094
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.05,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,408,1070,5389,706,0.27604871447902574,0.36624775583482944,0.8343396810651804,0.3148148148148148,0.7654826356793873,0.6002937184500049,1114,6459,1478,6095
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.06,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,405,1073,5386,709,0.2740189445196211,0.3635547576301616,0.833875212881251,0.3125,0.7646903472864123,0.5987149852557063,1114,6459,1478,6095
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.07,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,404,1074,5385,710,0.2733423545331529,0.362657091561939,0.8337203901532745,0.3117283950617284,0.7644262511554206,0.5981887408576068,1114,6459,1478,6095
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.08,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,405,1071,5388,709,0.27439024390243905,0.3635547576301616,0.8341848583372039,0.3127413127413127,0.7649544434174039,0.5988698079836827,1114,6459,1476,6097
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.09,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,394,1081,5378,720,0.2671186440677966,0.35368043087971274,0.8326366310574392,0.30436461954422556,0.7621814340419912,0.593158530968576,1114,6459,1475,6098
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.1,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,402,1071,5388,712,0.2729124236252546,0.3608617594254937,0.8341848583372039,0.31078469269424047,0.7645582992209164,0.5975233088813487,1114,6459,1473,6100
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.11,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,392,1079,5380,722,0.2664853840924541,0.3518850987432675,0.8329462765133921,0.30328820116054156,0.7621814340419912,0.5924156876283299,1114,6459,1471,6102
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.12,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,395,1076,5383,719,0.2685248130523453,0.35457809694793535,0.8334107446973216,0.3056092843326886,0.7629737224349663,0.5939944208226284,1114,6459,1471,6102
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.13,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,390,1078,5381,724,0.2656675749318801,0.3500897666068223,0.8331010992413687,0.30209140201394274,0.7620493859764954,0.5915954329240954,1114,6459,1468,6105
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.14,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,390,1078,5381,724,0.2656675749318801,0.3500897666068223,0.8331010992413687,0.30209140201394274,0.7620493859764954,0.5915954329240954,1114,6459,1468,6105
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.15,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,383,1083,5376,731,0.26125511596180084,0.34380610412926393,0.8323269856014863,0.29689922480620157,0.7604648091905454,0.5880665448653751,1114,6459,1466,6107
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.16,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,386,1079,5380,728,0.26348122866894197,0.3464991023339318,0.8329462765133921,0.2993408297789841,0.7613891456490163,0.589722689423662,1114,6459,1465,6108
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.17,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,388,1077,5382,726,0.26484641638225254,0.348294434470377,0.8332559219693451,0.3008918185343156,0.7619173379109996,0.590775178219861,1114,6459,1465,6108
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.18,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,387,1078,5381,727,0.2641638225255973,0.3473967684021544,0.8331010992413687,0.30011632415664985,0.7616532417800079,0.5902489338217616,1114,6459,1465,6108
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.19,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,385,1078,5381,729,0.2631578947368421,0.34560143626570916,0.8331010992413687,0.29879705083430347,0.7613891456490163,0.5893512677535389,1114,6459,1463,6110
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.2,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,387,1074,5385,727,0.2648870636550308,0.3473967684021544,0.8337203901532745,0.3005825242718447,0.7621814340419912,0.5905585792777144,1114,6459,1461,6112
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.21,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,381,1079,5380,733,0.26095890410958905,0.34201077199281865,0.8329462765133921,0.29603729603729606,0.760728905321537,0.5874785242531054,1114,6459,1460,6113
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.22,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,383,1077,5382,731,0.2623287671232877,0.34380610412926393,0.8332559219693451,0.2975912975912976,0.7612570975835204,0.5885310130493044,1114,6459,1460,6113
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.23,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,381,1077,5382,733,0.2613168724279835,0.34201077199281865,0.8332559219693451,0.29626749611197506,0.7609930014525287,0.5876333469810818,1114,6459,1458,6115
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.24,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,385,1073,5386,729,0.26406035665294925,0.34560143626570916,0.833875212881251,0.29937791601866254,0.7620493859764954,0.5897383245734801,1114,6459,1458,6115
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.25,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,379,1076,5383,735,0.2604810996563574,0.3402154398563734,0.8334107446973216,0.2950564421954068,0.7608609533870329,0.5868130922768475,1114,6459,1455,6118
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.26,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,374,1079,5380,740,0.25739848589125947,0.3357271095152603,0.8329462765133921,0.2913907284768212,0.7598045688630661,0.5843366930143262,1114,6459,1453,6120
vertexCountRatio,ratio,>=,0.0,1.0,0.01,0.27,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,380,1072,5387,734,0.26170798898071623,0.34111310592459604,0.8340300356092274,0.2961808261886204,0.7615211937145121,0.5875715707669117,1114,6459,1452,6121
