feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
vertexCountMin,integer,>=,3.0,12.0,1.0,3.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,282,1066,5393,832,0.20919881305637983,0.25314183123877915,0.8349589719770862,0.2290820471161657,0.7493727716888947,0.5440504016079327,1114,6459,1348,6225
vertexCountMin,integer,>=,3.0,12.0,1.0,4.0,51,0,1068,6372,87,46,0.1435483870967742,0.9587073608617595,0.013469577333952624,0.2497077390694412,0.15251551564769575,0.486088469097856,1114,6459,7440,133,180,965,5494,934,0.1572052401746725,0.1615798922800718,0.8505960675027094,0.1593625498007968,0.7492407236233989,0.5060879798913906,1114,6459,1145,6428
vertexCountMin,integer,>=,3.0,12.0,1.0,5.0,51,0,782,5569,890,332,0.12313021571406078,0.7019748653500898,0.13779222789905557,0.20951105157401206,0.2207843655090453,0.41988354662457267,1114,6459,6351,1222,74,744,5715,1040,0.09046454767726161,0.06642728904847396,0.8848118903855086,0.07660455486542442,0.7644262511554206,0.47561958971699125,1114,6459,818,6755
vertexCountMin,integer,>=,3.0,12.0,1.0,6.0,51,0,270,3035,3424,844,0.08169440242057488,0.24236983842010773,0.5301130205914228,0.12219959266802442,0.48778555394163475,0.3862414295057653,1114,6459,3305,4268,13,328,6131,1101,0.03812316715542522,0.011669658886894075,0.9492181452237188,0.017869415807560136,0.811303314406444,0.48044390205530646,1114,6459,341,7232
vertexCountMin,integer,>=,3.0,12.0,1.0,7.0,51,0,25,817,5642,1089,0.029691211401425176,0.02244165170556553,0.8735098312432265,0.025562372188139056,0.748316387164928,0.447975741474396,1114,6459,842,6731,0,81,6378,1114,0.0,0.0,0.9874593590339061,0.0,0.8422025617324707,0.49372967951695307,1114,6459,81,7492
vertexCountMin,integer,>=,3.0,12.0,1.0,8.0,51,0,0,157,6302,1114,0.0,0.0,0.9756928317076947,0.0,0.8321669087547867,0.48784641585384736,1114,6459,157,7416,0,19,6440,1114,0.0,0.0,0.9970583681684472,0.0,0.8503895417932127,0.4985291840842236,1114,6459,19,7554
vertexCountMin,integer,>=,3.0,12.0,1.0,9.0,51,0,0,29,6430,1114,0.0,0.0,0.9955101408886825,0.0,0.8490690611382543,0.49775507044434125,1114,6459,29,7544,0,4,6455,1114,0.0,0.0,0.9993807090880942,0.0,0.8523702627756503,0.4996903545440471,1114,6459,4,7569
vertexCountMin,integer,>=,3.0,12.0,1.0,10.0,51,0,0,6,6453,1114,0.0,0.0,0.9990710636321412,0.0,0.8521061666446587,0.4995355318160706,1114,6459,6,7567,0,2,6457,1114,0.0,0.0,0.9996903545440471,0.0,0.852634358906642,0.49984517727202354,1114,6459,2,7571
vertexCountMin,integer,>=,3.0,12.0,1.0,11.0,51,0,0,2,6457,1114,0.0,0.0,0.9996903545440471,0.0,0.852634358906642,0.49984517727202354,1114,6459,2,7571,0,1,6458,1114,0.0,0.0,0.9998451772720235,0.0,0.8527664069721379,0.49992258863601174,1114,6459,1,7572
vertexCountMin,integer,>=,3.0,12.0,1.0,12.0,51,0,0,1,6458,1114,0.0,0.0,0.9998451772720235,0.0,0.8527664069721379,0.49992258863601174,1114,6459,1,7572,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
