feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
vertexCountMin,integer,<=,3.0,12.0,1.0,3.0,51,0,46,87,6372,1068,0.3458646616541353,0.04129263913824058,0.9865304226660474,0.07377706495589416,0.8474844843523043,0.513911530902144,1114,6459,133,7440,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
vertexCountMin,integer,<=,3.0,12.0,1.0,4.0,51,0,332,890,5569,782,0.27168576104746317,0.2980251346499102,0.8622077721009445,0.2842465753424658,0.7792156344909547,0.5801164533754273,1114,6459,1222,6351,18,31,6428,1096,0.3673469387755102,0.01615798922800718,0.9952004954327295,0.03095442820292347,0.8511818301861878,0.5056792423303683,1114,6459,49,7524
vertexCountMin,integer,<=,3.0,12.0,1.0,5.0,51,0,844,3424,3035,270,0.19775070290534208,0.7576301615798923,0.46988697940857715,0.31363805276848755,0.5122144460583652,0.6137585704942348,1114,6459,4268,3305,109,274,6185,1005,0.2845953002610966,0.09784560143626571,0.957578572534448,0.14562458249833,0.83111052423082,0.5277120869853569,1114,6459,383,7190
vertexCountMin,integer,<=,3.0,12.0,1.0,6.0,51,0,1089,5642,817,25,0.16178873867181698,0.9775583482944344,0.1264901687567735,0.2776290630975144,0.25168361283507196,0.552024258525604,1114,6459,6731,842,217,977,5482,897,0.18174204355108878,0.1947935368043088,0.8487381947669917,0.1880415944540728,0.7525419252607949,0.5217658657856503,1114,6459,1194,6379
vertexCountMin,integer,<=,3.0,12.0,1.0,7.0,51,0,1114,6302,157,0,0.15021574973031285,1.0,0.02430716829230531,0.2611957796014068,0.16783309124521326,0.5121535841461526,1114,6459,7416,157,245,1238,5221,869,0.16520566419420094,0.2199281867145422,0.808329462765134,0.18867924528301885,0.721774726000264,0.5141288247398381,1114,6459,1483,6090
vertexCountMin,integer,<=,3.0,12.0,1.0,8.0,51,0,1114,6430,29,0,0.14766702014846236,1.0,0.004489859111317542,0.25733425733425735,0.1509309388617457,0.5022449295556588,1114,6459,7544,29,239,1246,5213,875,0.16094276094276094,0.21454219030520646,0.8070908809413222,0.18391689111196613,0.7199260530833224,0.5108165356232643,1114,6459,1485,6088
vertexCountMin,integer,<=,3.0,12.0,1.0,9.0,51,0,1114,6453,6,0,0.14721818422095942,1.0,0.0009289363678588017,0.256652459394079,0.14789383335534134,0.5004644681839294,1114,6459,7567,6,245,1241,5218,869,0.1648721399730821,0.2199281867145422,0.8078649945812045,0.18846153846153846,0.7213785818037766,0.5138965906478734,1114,6459,1486,6087
vertexCountMin,integer,<=,3.0,12.0,1.0,10.0,51,0,1114,6457,2,0,0.14714040417382115,1.0,0.0003096454559529339,0.2565342544617156,0.14736564109335798,0.5001548227279765,1114,6459,7571,2,245,1241,5218,869,0.1648721399730821,0.2199281867145422,0.8078649945812045,0.18846153846153846,0.7213785818037766,0.5138965906478734,1114,6459,1486,6087
vertexCountMin,integer,<=,3.0,12.0,1.0,11.0,51,0,1114,6458,1,0,0.14712097200211305,1.0,0.00015482272797646694,0.2565047202394658,0.14723359302786215,0.5000774113639882,1114,6459,7572,1,245,1241,5218,869,0.1648721399730821,0.2199281867145422,0.8078649945812045,0.18846153846153846,0.7213785818037766,0.5138965906478734,1114,6459,1486,6087
vertexCountMin,integer,<=,3.0,12.0,1.0,12.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,245,1241,5218,869,0.1648721399730821,0.2199281867145422,0.8078649945812045,0.18846153846153846,0.7213785818037766,0.5138965906478734,1114,6459,1486,6087
