feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
vertexCountMax,integer,>=,4.0,13.0,1.0,4.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,247,1235,5224,867,0.16666666666666666,0.22172351885098743,0.8087939309490634,0.19029275808936824,0.7224349663277433,0.5152587249000254,1114,6459,1482,6091
vertexCountMax,integer,>=,4.0,13.0,1.0,5.0,51,0,1083,6451,8,31,0.1437483408547916,0.9721723518850988,0.0012385818238117355,0.2504625346901017,0.14406443945596198,0.48670546685445526,1114,6459,7534,39,233,1230,5229,881,0.15926179084073822,0.20915619389587073,0.8095680445889457,0.18083042297244858,0.7212465337382807,0.5093621192424083,1114,6459,1463,6110
vertexCountMax,integer,>=,4.0,13.0,1.0,6.0,51,0,859,6164,295,255,0.12231240210736152,0.7710951526032316,0.04567270475305775,0.2111343246896891,0.15238346758219992,0.40838392867814466,1114,6459,7023,550,60,777,5682,1054,0.07168458781362007,0.05385996409335727,0.8797027403622851,0.06150691952844695,0.7582199920771161,0.4667813522278212,1114,6459,837,6736
vertexCountMax,integer,>=,4.0,13.0,1.0,7.0,51,0,368,4332,2127,746,0.07829787234042553,0.3303411131059246,0.3293079424059452,0.12659098727210183,0.329459923412122,0.3298245277559349,1114,6459,4700,2873,7,292,6167,1107,0.023411371237458192,0.0062836624775583485,0.9547917634308717,0.009907997169143666,0.8152647563713191,0.480537712954215,1114,6459,299,7274
vertexCountMax,integer,>=,4.0,13.0,1.0,8.0,51,0,87,1990,4469,1027,0.04188733750601829,0.07809694793536805,0.6919027713268308,0.054528361015355686,0.6016109863990493,0.3849998596310994,1114,6459,2077,5496,1,89,6370,1113,0.011111111111111112,0.0008976660682226212,0.9862207772100945,0.0016611295681063123,0.8412782252739998,0.49355922163915855,1114,6459,90,7483
vertexCountMax,integer,>=,4.0,13.0,1.0,9.0,51,0,18,725,5734,1096,0.024226110363391656,0.01615798922800718,0.8877535222170615,0.01938610662358643,0.7595404727320745,0.4519557557225343,1114,6459,743,6830,0,31,6428,1114,0.0,0.0,0.9952004954327295,0.0,0.8488049650072627,0.49760024771636474,1114,6459,31,7542
vertexCountMax,integer,>=,4.0,13.0,1.0,10.0,51,0,3,279,6180,1111,0.010638297872340425,0.0026929982046678637,0.9568044588945657,0.004297994269340974,0.8164531889607817,0.47974872854961675,1114,6459,282,7291,0,6,6453,1114,0.0,0.0,0.9990710636321412,0.0,0.8521061666446587,0.4995355318160706,1114,6459,6,7567
vertexCountMax,integer,>=,4.0,13.0,1.0,11.0,51,0,0,57,6402,1114,0.0,0.0,0.9911751045053414,0.0,0.8453717153043708,0.4955875522526707,1114,6459,57,7516,0,3,6456,1114,0.0,0.0,0.9995355318160706,0.0,0.8525023108411461,0.4997677659080353,1114,6459,3,7570
vertexCountMax,integer,>=,4.0,13.0,1.0,12.0,51,0,0,29,6430,1114,0.0,0.0,0.9955101408886825,0.0,0.8490690611382543,0.49775507044434125,1114,6459,29,7544,0,1,6458,1114,0.0,0.0,0.9998451772720235,0.0,0.8527664069721379,0.49992258863601174,1114,6459,1,7572
vertexCountMax,integer,>=,4.0,13.0,1.0,13.0,51,0,0,8,6451,1114,0.0,0.0,0.9987614181761882,0.0,0.851842070513667,0.4993807090880941,1114,6459,8,7565,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
