feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
vertexCountMax,integer,<=,4.0,13.0,1.0,4.0,51,0,31,8,6451,1083,0.7948717948717948,0.027827648114901255,0.9987614181761882,0.053772766695576756,0.8559355605440381,0.5132945331455447,1114,6459,39,7534,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
vertexCountMax,integer,<=,4.0,13.0,1.0,5.0,51,0,255,295,6164,859,0.4636363636363636,0.2289048473967684,0.9543272952469423,0.3064903846153846,0.8476165324178001,0.5916160713218553,1114,6459,550,7023,29,6,6453,1085,0.8285714285714286,0.026032315978456014,0.9990710636321412,0.0504786771105309,0.8559355605440381,0.5125516898052986,1114,6459,35,7538
vertexCountMax,integer,<=,4.0,13.0,1.0,6.0,51,0,746,2127,4332,368,0.259658893143056,0.6696588868940754,0.6706920575940548,0.3742162026586406,0.670540076587878,0.6701754722440652,1114,6459,2873,4700,208,176,6283,906,0.5416666666666666,0.1867145421903052,0.9727511998761418,0.2777036048064085,0.8571239931335006,0.5797328710332235,1114,6459,384,7189
vertexCountMax,integer,<=,4.0,13.0,1.0,7.0,51,0,1027,4469,1990,87,0.186863173216885,0.921903052064632,0.30809722867316924,0.31074130105900155,0.39838901360095075,0.6150001403689006,1114,6459,5496,2077,377,612,5847,737,0.38119312436804853,0.3384201077199282,0.9052484904784023,0.35853542558250123,0.8218671596461112,0.6218342990991652,1114,6459,989,6584
vertexCountMax,integer,<=,4.0,13.0,1.0,8.0,51,0,1096,5734,725,18,0.16046852122986824,0.9838420107719928,0.11224647778293853,0.2759315206445116,0.24045952726792552,0.5480442442774657,1114,6459,6830,743,426,849,5610,688,0.3341176470588235,0.38240574506283664,0.8685555039479795,0.3566345751360402,0.7970421233328931,0.6254806245054081,1114,6459,1275,6298
vertexCountMax,integer,<=,4.0,13.0,1.0,9.0,51,0,1111,6180,279,3,0.15237964613907556,0.9973070017953322,0.043195541105434276,0.2643664485425342,0.18354681103921827,0.5202512714503832,1114,6459,7291,282,435,966,5493,679,0.31049250535331907,0.3904847396768402,0.8504412447747329,0.3459244532803181,0.7827809322593424,0.6204629922257866,1114,6459,1401,6172
vertexCountMax,integer,<=,4.0,13.0,1.0,10.0,51,0,1114,6402,57,0,0.14821713677488024,1.0,0.008824895494658615,0.2581691772885284,0.1546282846956292,0.5044124477473293,1114,6459,7516,57,418,1032,5427,696,0.2882758620689655,0.3752244165170557,0.8402229447282861,0.3260530421216849,0.7718209428231877,0.6077236806226709,1114,6459,1450,6123
vertexCountMax,integer,<=,4.0,13.0,1.0,11.0,51,0,1114,6430,29,0,0.14766702014846236,1.0,0.004489859111317542,0.25733425733425735,0.1509309388617457,0.5022449295556588,1114,6459,7544,29,422,1051,5408,692,0.286490156143924,0.37881508078994613,0.8372813128967332,0.3262466177039042,0.7698402218407501,0.6080481968433397,1114,6459,1473,6100
vertexCountMax,integer,<=,4.0,13.0,1.0,12.0,51,0,1114,6451,8,0,0.1472571050892267,1.0,0.0012385818238117355,0.2567116027192073,0.14815792948633302,0.5006192909119058,1114,6459,7565,8,423,1054,5405,691,0.2863913337846987,0.37971274685816875,0.8368168447128038,0.32651485912774986,0.7695761257097583,0.6082647957854863,1114,6459,1477,6096
vertexCountMax,integer,<=,4.0,13.0,1.0,13.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,428,1055,5404,686,0.28860418071476734,0.38420107719928187,0.8366620219848274,0.32961108971890646,0.7701043179717417,0.6104315495920547,1114,6459,1483,6090
