feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
vertexCountDiff,integer,>=,0.0,9.0,1.0,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,203,1013,5446,911,0.1669407894736842,0.1822262118491921,0.843164576559839,0.1742489270386266,0.7459395219860029,0.5126953942045156,1114,6459,1216,6357
vertexCountDiff,integer,>=,0.0,9.0,1.0,1.0,51,0,819,5131,1328,295,0.1376470588235294,0.7351885098743267,0.2056045827527481,0.2318799546998867,0.2835071966195695,0.4703965463135374,1114,6459,5950,1623,100,738,5721,1014,0.11933174224343675,0.08976660682226212,0.8857408267533674,0.10245901639344263,0.7686517892512875,0.48775371678781476,1114,6459,838,6735
vertexCountDiff,integer,>=,0.0,9.0,1.0,2.0,51,0,384,2883,3576,730,0.11753902662993572,0.34470377019748655,0.5536460752438458,0.17530244236475692,0.5229103393635284,0.44917492272066617,1114,6459,3267,4306,40,378,6081,1074,0.09569377990430622,0.03590664272890485,0.9414770088248955,0.05221932114882507,0.8082662089000396,0.4886918257769002,1114,6459,418,7155
vertexCountDiff,integer,>=,0.0,9.0,1.0,3.0,51,0,131,1428,5031,983,0.08402822322001283,0.11759425493716337,0.7789131444496052,0.09801720912832024,0.6816321140895286,0.4482536996933843,1114,6459,1559,6014,16,227,6232,1098,0.06584362139917696,0.01436265709156194,0.964855240749342,0.023581429624170966,0.8250363132180114,0.489608948920452,1114,6459,243,7330
vertexCountDiff,integer,>=,0.0,9.0,1.0,4.0,51,0,40,659,5800,1074,0.05722460658082976,0.03590664272890485,0.8979718222635082,0.0441257584114727,0.7711607024957084,0.46693923249620656,1114,6459,699,6874,4,97,6362,1110,0.039603960396039604,0.003590664272890485,0.9849821953862827,0.006584362139917695,0.8406179849465205,0.4942864298295866,1114,6459,101,7472
vertexCountDiff,integer,>=,0.0,9.0,1.0,5.0,51,0,10,265,6194,1104,0.03636363636363636,0.008976660682226212,0.9589719770862363,0.014398848092152628,0.8192261983361944,0.48397431888423126,1114,6459,275,7298,2,41,6418,1112,0.046511627906976744,0.0017953321364452424,0.9936522681529648,0.0034572169403630083,0.8477485804832959,0.497723800144705,1114,6459,43,7530
vertexCountDiff,integer,>=,0.0,9.0,1.0,6.0,51,0,3,92,6367,1111,0.031578947368421054,0.0026929982046678637,0.9857563090261651,0.004962779156327544,0.8411461772085039,0.49422465361541645,1114,6459,95,7478,0,13,6446,1114,0.0,0.0,0.9979873045363059,0.0,0.8511818301861878,0.49899365226815295,1114,6459,13,7560
vertexCountDiff,integer,>=,0.0,9.0,1.0,7.0,51,0,0,30,6429,1114,0.0,0.0,0.995355318160706,0.0,0.8489370130727585,0.497677659080353,1114,6459,30,7543,0,5,6454,1114,0.0,0.0,0.9992258863601177,0.0,0.8522382147101545,0.49961294318005883,1114,6459,5,7568
vertexCountDiff,integer,>=,0.0,9.0,1.0,8.0,51,0,0,15,6444,1114,0.0,0.0,0.997677659080353,0.0,0.8509177340551961,0.4988388295401765,1114,6459,15,7558,0,1,6458,1114,0.0,0.0,0.9998451772720235,0.0,0.8527664069721379,0.49992258863601174,1114,6459,1,7572
vertexCountDiff,integer,>=,0.0,9.0,1.0,9.0,51,0,0,3,6456,1114,0.0,0.0,0.9995355318160706,0.0,0.8525023108411461,0.4997677659080353,1114,6459,3,7570,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
