feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
vertexCountDiff,integer,<=,0.0,9.0,1.0,0.0,51,0,295,1328,5131,819,0.18176216882316698,0.26481149012567323,0.7943954172472519,0.21556448666423092,0.7164928033804305,0.5296034536864626,1114,6459,1623,5950,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
vertexCountDiff,integer,<=,0.0,9.0,1.0,1.0,51,0,730,3576,2883,384,0.1695308871342313,0.6552962298025135,0.4463539247561542,0.2693726937269373,0.4770896606364717,0.5508250772793338,1114,6459,4306,3267,190,666,5793,924,0.2219626168224299,0.17055655296229802,0.896888063167673,0.19289340101522842,0.7900435758616137,0.5337223080649856,1114,6459,856,6717
vertexCountDiff,integer,<=,0.0,9.0,1.0,2.0,51,0,983,5031,1428,131,0.16345194546059194,0.8824057450628366,0.22108685555039478,0.2758136924803592,0.31836788591047144,0.5517463003066158,1114,6459,6014,1559,292,888,5571,822,0.24745762711864408,0.2621184919210054,0.8625174175568974,0.25457715780296425,0.7741978080021128,0.5623179547389514,1114,6459,1180,6393
vertexCountDiff,integer,<=,0.0,9.0,1.0,3.0,51,0,1074,5800,659,40,0.1562409077684027,0.9640933572710951,0.10202817773649171,0.2689033550325488,0.22883929750429155,0.5330607675037934,1114,6459,6874,699,330,1008,5451,784,0.24663677130044842,0.296229802513465,0.8439386901997213,0.26916802610114193,0.7633698666314539,0.5700842463565932,1114,6459,1338,6235
vertexCountDiff,integer,<=,0.0,9.0,1.0,4.0,51,0,1104,6194,265,10,0.15127432173198135,0.9910233393177738,0.04102802291376374,0.2624821683309558,0.18077380166380563,0.5160256811157687,1114,6459,7298,275,361,1026,5433,753,0.2602739726027397,0.3240574506283663,0.8411518810961449,0.2886845261895242,0.7650864914828998,0.5826046658622556,1114,6459,1387,6186
vertexCountDiff,integer,<=,0.0,9.0,1.0,5.0,51,0,1111,6367,92,3,0.1485691361326558,0.9973070017953322,0.014243690973834959,0.25861266294227186,0.1588538227914961,0.5057753463845835,1114,6459,7478,95,384,1056,5403,730,0.26666666666666666,0.34470377019748655,0.8365071992568509,0.3007047768206734,0.7641621550244289,0.5906054847271687,1114,6459,1440,6133
vertexCountDiff,integer,<=,0.0,9.0,1.0,6.0,51,0,1114,6429,30,0,0.14768659684475674,1.0,0.004644681839294009,0.25736398290400836,0.15106298692724152,0.502322340919647,1114,6459,7543,30,394,1061,5398,720,0.27079037800687283,0.35368043087971274,0.8357330856169686,0.3067341377968081,0.7648223953519081,0.5947067582483406,1114,6459,1455,6118
vertexCountDiff,integer,<=,0.0,9.0,1.0,7.0,51,0,1114,6444,15,0,0.14739349034136015,1.0,0.0023223409196470044,0.2569188191881919,0.14908226594480392,0.5011611704598236,1114,6459,7558,15,410,1064,5395,704,0.2781546811397558,0.36804308797127466,0.8352686174330392,0.3168469860896445,0.7665390202033541,0.6016558527021569,1114,6459,1474,6099
vertexCountDiff,integer,<=,0.0,9.0,1.0,8.0,51,0,1114,6456,3,0,0.14715984147952443,1.0,0.00046446818392940084,0.25656379548595115,0.14749768915885383,0.5002322340919647,1114,6459,7570,3,413,1068,5391,701,0.27886563133018233,0.37073608617594256,0.8346493265211333,0.31830443159922933,0.7664069721378581,0.6026927063485379,1114,6459,1481,6092
vertexCountDiff,integer,<=,0.0,9.0,1.0,9.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,413,1070,5389,701,0.2784895482130816,0.37073608617594256,0.8343396810651804,0.31805929919137466,0.7661428760068665,0.6025378836205615,1114,6459,1483,6090
