feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
centroidDistance,continuous,>=,15.0,76.0,1.0,15.0,51,0,1045,6455,4,69,0.13933333333333334,0.9380610412926391,0.0006192909119058678,0.24262827954492688,0.13851842070513667,0.46934016610227247,1114,6459,7500,73,92,1300,5159,1022,0.06609195402298851,0.08258527827648116,0.7987304536305929,0.07342378292098962,0.6933843919186584,0.44065786595353706,1114,6459,1392,6181
centroidDistance,continuous,>=,15.0,76.0,1.0,16.0,51,0,1005,6445,14,109,0.1348993288590604,0.9021543985637342,0.0021675181916705373,0.2347034096216721,0.13455697874026146,0.45216095837770237,1114,6459,7450,123,88,1295,5164,1026,0.0636297903109183,0.07899461400359066,0.7995045672704753,0.07048458149779735,0.6935164399841542,0.43924959063703295,1114,6459,1383,6190
centroidDistance,continuous,>=,15.0,76.0,1.0,17.0,51,0,967,6431,28,147,0.1307110029737767,0.8680430879712747,0.004335036383341075,0.22720864661654136,0.13138782516836128,0.4361890621773079,1114,6459,7398,175,83,1290,5169,1031,0.06045156591405681,0.07450628366247755,0.8002786809103576,0.0667470848411741,0.6935164399841542,0.4373924822864176,1114,6459,1373,6200
centroidDistance,continuous,>=,15.0,76.0,1.0,18.0,51,0,933,6401,58,181,0.12721570766293974,0.8375224416517055,0.008979718222635083,0.22088068181818182,0.13085963290637792,0.4232510799371703,1114,6459,7334,239,79,1281,5178,1035,0.05808823529411765,0.07091561938958707,0.8016720854621459,0.06386418755052546,0.6941766803116335,0.4362938524258665,1114,6459,1360,6213
centroidDistance,continuous,>=,15.0,76.0,1.0,19.0,51,0,872,6373,86,242,0.12035886818495514,0.7827648114901257,0.013314754605976158,0.2086373968178012,0.1265020467450152,0.39803978304805093,1114,6459,7245,328,71,1270,5189,1043,0.0529455630126771,0.06373429084380611,0.8033751354698869,0.057841140529531564,0.694572824508121,0.4335547131568465,1114,6459,1341,6232
centroidDistance,continuous,>=,15.0,76.0,1.0,20.0,51,0,821,6316,143,293,0.11503432814908225,0.7369838420107719,0.02213965010063477,0.19900618106896134,0.12729433513799024,0.37956174605570336,1114,6459,7137,436,66,1263,5196,1048,0.04966139954853273,0.059245960502693,0.8044588945657223,0.054031927957429386,0.6948369206391126,0.43185242753420766,1114,6459,1329,6244
centroidDistance,continuous,>=,15.0,76.0,1.0,21.0,51,0,764,6240,219,350,0.10908052541404911,0.6858168761220825,0.03390617742684626,0.18822370041882236,0.1298032483824112,0.35986152677446437,1114,6459,7004,569,64,1246,5213,1050,0.04885496183206107,0.05745062836624776,0.8070908809413222,0.05280528052805281,0.6968176416215502,0.43227075465378495,1114,6459,1310,6263
centroidDistance,continuous,>=,15.0,76.0,1.0,22.0,51,0,709,6150,309,405,0.10336783787724158,0.6364452423698385,0.04784022294472828,0.1778502445754421,0.1344249306747656,0.34214273265728334,1114,6459,6859,714,65,1231,5228,1049,0.05015432098765432,0.05834829443447038,0.8094132218609692,0.053941908713692956,0.6989304106694837,0.4338807581477198,1114,6459,1296,6277
centroidDistance,continuous,>=,15.0,76.0,1.0,23.0,51,0,659,6056,403,455,0.098138495904691,0.5915619389587073,0.062393559374516176,0.16834844807765997,0.1402350455565826,0.32697774916661176,1114,6459,6715,858,61,1216,5243,1053,0.047768206734534066,0.05475763016157989,0.8117355627806162,0.051024675867837724,0.7003829393899379,0.43324659647109803,1114,6459,1277,6296
centroidDistance,continuous,>=,15.0,76.0,1.0,24.0,51,0,590,5913,546,524,0.09072735660464401,0.5296229802513465,0.08453320947515096,0.15491663384534593,0.1500066024032748,0.3070780948632487,1114,6459,6503,1070,56,1191,5268,1058,0.04490777866880513,0.05026929982046679,0.8156061309800279,0.04743752647183397,0.7030239006998548,0.43293771540024734,1114,6459,1247,6326
