feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.69,51,0,51,17,6442,1063,0.75,0.04578096947935368,0.9973680136244001,0.08629441624365482,0.8573880892644923,0.5215744915518769,1114,6459,68,7505,50,13,6446,1064,0.7936507936507936,0.04488330341113106,0.9979873045363059,0.08496176720475786,0.8577842334609798,0.5214353039737185,1114,6459,63,7510
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.7,51,0,66,18,6441,1048,0.7857142857142857,0.059245960502693,0.9972131908964236,0.11018363939899832,0.8592367621814341,0.5282295756995583,1114,6459,84,7489,65,13,6446,1049,0.8333333333333334,0.05834829443447038,0.9979873045363059,0.10906040268456375,0.8597649544434174,0.5281677994853882,1114,6459,78,7495
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.71,51,0,77,26,6433,1037,0.7475728155339806,0.06912028725314183,0.9959746090726118,0.1265406737880033,0.8596329063779216,0.5325474481628768,1114,6459,103,7470,76,20,6439,1038,0.7916666666666666,0.06822262118491922,0.9969035454404707,0.1256198347107438,0.8602931467054008,0.532563083312695,1114,6459,96,7477
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.72,51,0,89,34,6425,1025,0.7235772357723578,0.07989228007181329,0.9947360272488002,0.1438965238480194,0.860161098639905,0.5373141536603068,1114,6459,123,7450,88,27,6432,1026,0.7652173913043478,0.07899461400359066,0.9958197863446354,0.14320585842148087,0.8609533870328799,0.537407200174113,1114,6459,115,7458
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.73,51,0,109,41,6418,1005,0.7266666666666667,0.09784560143626571,0.9936522681529648,0.17246835443037972,0.8618777234913508,0.5457489347946153,1114,6459,150,7423,108,32,6427,1006,0.7714285714285715,0.09694793536804308,0.9950456727047531,0.17224880382775118,0.8629341080153176,0.545996804036398,1114,6459,140,7433
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.74,51,0,130,45,6414,984,0.7428571428571429,0.11669658886894076,0.993032977241059,0.2017067494181536,0.8641225406047801,0.5548647830549999,1114,6459,175,7398,129,34,6425,985,0.7914110429447853,0.11579892280071813,0.9947360272488002,0.20203602192638997,0.8654430212597386,0.5552674750247591,1114,6459,163,7410
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.75,51,0,150,56,6403,964,0.7281553398058253,0.13464991023339318,0.9913299272333178,0.22727272727272727,0.8653109731942427,0.5629899187333555,1114,6459,206,7367,148,42,6417,966,0.7789473684210526,0.13285457809694792,0.9934974454249884,0.22699386503067484,0.8668955499801928,0.5631760117609682,1114,6459,190,7383
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.76,51,0,174,72,6387,940,0.7073170731707317,0.1561938958707361,0.9888527635856944,0.2558823529411765,0.8663673577182094,0.5725233297282153,1114,6459,246,7327,171,51,6408,943,0.7702702702702703,0.15350089766606823,0.9921040408732001,0.2559880239520958,0.8687442228971346,0.5728024692696342,1114,6459,222,7351
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.77,51,0,195,87,6372,919,0.6914893617021277,0.17504488330341114,0.9865304226660474,0.2793696275071633,0.8671596461111845,0.5807876529847292,1114,6459,282,7291,192,59,6400,922,0.7649402390438247,0.17235188509874327,0.9908654590493885,0.2813186813186813,0.8704608477485805,0.5816086720740659,1114,6459,251,7322
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.78,51,0,211,100,6359,903,0.6784565916398714,0.18940754039497307,0.9845177272023533,0.296140350877193,0.867555790307672,0.5869626337986632,1114,6459,311,7262,207,67,6392,907,0.7554744525547445,0.18581687612208259,0.9896268772255767,0.29827089337175794,0.8713851842070514,0.5877218766738297,1114,6459,274,7299
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.79,51,0,244,121,6338,870,0.6684931506849315,0.21903052064631956,0.9812664499148475,0.3299526707234618,0.8691403670936221,0.6001484852805835,1114,6459,365,7208,237,79,6380,877,0.75,0.2127468581687612,0.9877690044898592,0.3314685314685314,0.8737620493859765,0.6002579313293102,1114,6459,316,7257
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.8,51,0,267,145,6314,847,0.6480582524271845,0.23967684021543986,0.9775507044434123,0.34993446920052423,0.8690083190281263,0.608613772329426,1114,6459,412,7161,256,96,6363,858,0.7272727272727273,0.22980251346499103,0.9851370181142591,0.34924965893587995,0.8740261455169682,0.6074697657896251,1114,6459,352,7221
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.81,51,0,305,165,6294,809,0.648936170212766,0.2737881508078995,0.974454249883883,0.3851010101010101,0.8713851842070514,0.6241212003458912,1114,6459,470,7103,289,113,6346,825,0.7189054726368159,0.2594254937163375,0.9825050317386592,0.3812664907651715,0.8761389145649017,0.6209652627274984,1114,6459,402,7171
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.82,51,0,339,190,6269,775,0.6408317580340265,0.30430879712746856,0.9705836816844713,0.41265976871576376,0.8725736167965139,0.6374462394059699,1114,6459,529,7044,321,129,6330,793,0.7133333333333334,0.2881508078994614,0.9800278680910358,0.41048593350383633,0.8782516836128351,0.6340893379952486,1114,6459,450,7123
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.83,51,0,383,228,6231,731,0.6268412438625205,0.34380610412926393,0.9647004180213655,0.4440579710144928,0.873365905189489,0.6542532610753147,1114,6459,611,6962,361,145,6314,753,0.7134387351778656,0.3240574506283663,0.9775507044434123,0.445679012345679,0.8814208371847353,0.6508040775358893,1114,6459,506,7067
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.84,51,0,416,260,6199,698,0.6153846153846154,0.3734290843806104,0.9597460907261186,0.464804469273743,0.8734979532549848,0.6665875875533644,1114,6459,676,6897,395,159,6300,719,0.7129963898916968,0.35457809694793535,0.9753831862517418,0.473621103117506,0.884061798494652,0.6649806415998386,1114,6459,554,7019
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.85,51,0,448,299,6160,666,0.5997322623828648,0.4021543985637343,0.9537080043350363,0.4814615797958087,0.8725736167965139,0.6779312014493853,1114,6459,747,6826,424,177,6282,690,0.7054908485856906,0.38061041292639136,0.9725963771481654,0.4944606413994169,0.8855143272151063,0.6766033950372784,1114,6459,601,6972
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.86,51,0,476,342,6117,638,0.5819070904645477,0.4272890484739677,0.9470506270320483,0.4927536231884058,0.8705928958140763,0.687169837753008,1114,6459,818,6755,446,203,6256,668,0.687211093990755,0.400359066427289,0.9685709862207772,0.5059557572319908,0.884986134953123,0.684465026324033,1114,6459,649,6924
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.87,51,0,508,399,6060,606,0.5600882028665931,0.45601436265709155,0.9382257315373896,0.5027214250371104,0.8672916941766803,0.6971200470972406,1114,6459,907,6666,475,227,6232,639,0.6766381766381766,0.4263913824057451,0.964855240749342,0.5231277533039648,0.8856463752806022,0.6956233115775435,1114,6459,702,6871
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.88,51,0,548,453,6006,566,0.5474525474525475,0.4919210053859964,0.9298653042266605,0.5182033096926714,0.8654430212597386,0.7108931548063284,1114,6459,1001,6572,510,245,6214,604,0.6754966887417219,0.4578096947935368,0.9620684316457656,0.5457463884430177,0.8878911923940315,0.7099390632196512,1114,6459,755,6818
centroidDistanceNormalized,continuous,<=,0.6900000000000001,1.57,0.01,0.89,51,0,579,524,5935,535,0.5249320036264733,0.5197486535008977,0.9188728905403313,0.5223274695534507,0.860161098639905,0.7193107720206144,1114,6459,1103,6470,534,272,6187,580,0.6625310173697271,0.4793536804308797,0.957888217990401,0.55625,0.8874950481975439,0.7186209492106403,1114,6459,806,6767
