feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,223,1149,5310,891,0.16253644314868804,0.2001795332136445,0.8221086855550395,0.17940466613032982,0.7306219463884854,0.511144109384342,1114,6459,1372,6201
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.02,51,0,1051,6245,214,63,0.14405153508771928,0.9434470377019749,0.03313206378696393,0.24994054696789536,0.1670408028522382,0.48828955074446945,1114,6459,7296,277,217,1146,5313,897,0.15920763022743947,0.1947935368043088,0.8225731537389689,0.1752119499394429,0.7302258021919978,0.5086833452716388,1114,6459,1363,6210
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.04,51,0,996,6010,449,118,0.14216385954895805,0.8940754039497307,0.06951540486143366,0.24532019704433503,0.1908094546414895,0.4817954044055822,1114,6459,7006,567,215,1143,5316,899,0.15832106038291605,0.19299820466786355,0.8230376219228983,0.1739482200647249,0.7303578502574938,0.5080179132953809,1114,6459,1358,6215
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.06,51,0,939,5804,655,175,0.13925552424736765,0.8429084380610413,0.10140888682458585,0.23902252768232152,0.21048461640036972,0.47215866244281357,1114,6459,6743,830,212,1135,5324,902,0.15738678544914625,0.19030520646319568,0.8242762037467101,0.17228768793173507,0.7310180905849729,0.5072907051049529,1114,6459,1347,6226
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.08,51,0,892,5576,883,222,0.13790970933828076,0.800718132854578,0.13670846880322032,0.2352941176470588,0.23438531625511685,0.46871330082889917,1114,6459,6468,1105,212,1131,5328,902,0.15785554728220402,0.19030520646319568,0.8248954946586159,0.17256817256817258,0.7315462828469563,0.5076003505609058,1114,6459,1343,6230
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.1,51,0,846,5356,1103,268,0.1364076104482425,0.7594254937163375,0.17076946895804304,0.23127392017495904,0.2573616796513931,0.46509748133719025,1114,6459,6202,1371,207,1125,5334,907,0.1554054054054054,0.18581687612208259,0.8258244310264747,0.16925592804578904,0.7316783309124522,0.5058206535742786,1114,6459,1332,6241
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.12,51,0,802,5150,1309,312,0.13474462365591397,0.7199281867145422,0.20266295092119524,0.227002547410133,0.27875346626171926,0.4612955688178687,1114,6459,5952,1621,203,1124,5335,911,0.15297663903541825,0.1822262118491921,0.8259792537544511,0.16632527652601395,0.7312821867159646,0.5041027328018216,1114,6459,1327,6246
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.14,51,0,756,4981,1478,358,0.13177618964615653,0.6786355475763016,0.22882799194921816,0.22069770836374253,0.29499537831770767,0.45373176976275986,1114,6459,5737,1836,200,1117,5342,914,0.15186028853454822,0.17953321364452424,0.8270630128502864,0.16454134101192924,0.731810378977948,0.5032981132474053,1114,6459,1317,6256
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.16,51,0,717,4785,1674,397,0.1303162486368593,0.6436265709156194,0.25917324663260566,0.21674727932285368,0.3157269246005546,0.4513999087741125,1114,6459,5502,2071,193,1113,5346,921,0.14777947932618682,0.1732495511669659,0.8276823037621923,0.15950413223140497,0.7314142347814605,0.5004659274645791,1114,6459,1306,6267
unionAspectRatio,continuous,>=,1.0,2.48,0.02,1.18,51,0,673,4594,1865,441,0.12777672299221568,0.604129263913824,0.2887443876761109,0.21093872433787808,0.33513799022844315,0.44643682579496746,1114,6459,5267,2306,187,1103,5356,927,0.1449612403100775,0.16786355475763015,0.829230531041957,0.15557404326123128,0.7319424270434438,0.49854704289979357,1114,6459,1290,6283
