feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.0,51,0,12,20,6439,1102,0.375,0.010771992818671455,0.9969035454404707,0.02094240837696335,0.851842070513667,0.503837769129571,1114,6459,32,7541,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.02,51,0,63,214,6245,1051,0.22743682310469315,0.05655296229802514,0.9668679362130361,0.0905823148813803,0.8329591971477618,0.5117104492555307,1114,6459,277,7296,56,194,6265,1058,0.224,0.05026929982046679,0.9699643907725655,0.08211143695014664,0.8346758219992078,0.5101168452965161,1114,6459,250,7323
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.04,51,0,118,452,6007,996,0.20701754385964913,0.1059245960502693,0.930020126954637,0.14014251781472684,0.808794401162023,0.5179723615024532,1114,6459,570,7003,98,359,6100,1016,0.21444201312910285,0.08797127468581688,0.9444186406564483,0.12476129853596436,0.8184339099432193,0.5161949576711325,1114,6459,457,7116
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.06,51,0,176,657,5802,938,0.2112845138055222,0.15798922800718132,0.8982814677194613,0.1807909604519774,0.7893833355341344,0.5281353478633213,1114,6459,833,6740,140,466,5993,974,0.23102310231023102,0.12567324955116696,0.9278526087629664,0.16279069767441862,0.8098507856859897,0.5267629291570667,1114,6459,606,6967
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.08,51,0,223,884,5575,891,0.2014453477868112,0.2001795332136445,0.8631367084688032,0.20081044574515983,0.7656146837448832,0.5316581208412239,1114,6459,1107,6466,163,569,5890,951,0.2226775956284153,0.14631956912028726,0.9119058677813903,0.17659804983748645,0.7992869404463224,0.5291127184508387,1114,6459,732,6841
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.1,51,0,268,1106,5353,846,0.1950509461426492,0.24057450628366248,0.8287660628580276,0.21543408360128619,0.7422421761521194,0.534670284570845,1114,6459,1374,6199,182,638,5821,932,0.22195121951219512,0.16337522441651706,0.9012230995510141,0.18821096173733198,0.7926845371715304,0.5322991619837656,1114,6459,820,6753
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.12,51,0,312,1309,5150,802,0.19247378161628625,0.2800718132854578,0.7973370490788048,0.22815356489945157,0.7212465337382807,0.5387044311821313,1114,6459,1621,5952,196,704,5755,918,0.21777777777777776,0.17594254937163376,0.8910047995045672,0.19463753723932473,0.7858180377657468,0.5334736744381005,1114,6459,900,6673
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.14,51,0,358,1480,4979,756,0.19477693144722524,0.3213644524236984,0.7708623625948289,0.2425474254742547,0.7047405255513006,0.5461134075092636,1114,6459,1838,5735,212,746,5713,902,0.22129436325678498,0.19030520646319568,0.8845022449295556,0.2046332046332046,0.7823847880628548,0.5374037256963756,1114,6459,958,6615
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.16,51,0,397,1677,4782,717,0.1914175506268081,0.35637342908438063,0.7403622851834649,0.24905897114178172,0.6838769312029579,0.5483678571339228,1114,6459,2074,5499,225,800,5659,889,0.21951219512195122,0.20197486535008977,0.8761418176188265,0.21037868162692847,0.7769708173775254,0.5390583414844581,1114,6459,1025,6548
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.18,51,0,441,1865,4594,673,0.19124024284475283,0.39587073608617596,0.7112556123238891,0.2578947368421053,0.6648620097715568,0.5535631742050325,1114,6459,2306,5267,238,838,5621,876,0.2211895910780669,0.21364452423698385,0.8702585539557207,0.21735159817351596,0.7736696157401294,0.5419515390963523,1114,6459,1076,6497
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.2,51,0,480,2073,4386,634,0.18801410105757932,0.43087971274685816,0.679052484904784,0.26179438232887914,0.6425458867027598,0.554966098825821,1114,6459,2553,5020,250,861,5598,864,0.22502250225022502,0.2244165170556553,0.866697631212262,0.2247191011235955,0.7722170870196752,0.5455570741339586,1114,6459,1111,6462
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.22,51,0,509,2278,4181,605,0.18263365626121278,0.45691202872531417,0.6473138256696083,0.2609587285311459,0.6193054271754919,0.5521129271974612,1114,6459,2787,4786,257,889,5570,857,0.22425828970331588,0.23070017953321365,0.8623625948289209,0.22743362831858407,0.7694440776442625,0.5465313871810673,1114,6459,1146,6427
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.24,51,0,551,2457,4002,563,0.1831781914893617,0.49461400359066426,0.6196005573618207,0.267345948568656,0.6012148422025617,0.5571072804762425,1114,6459,3008,4565,270,914,5545,844,0.22804054054054054,0.24236983842010773,0.8584920266295092,0.23498694516971277,0.7678595008583124,0.5504309325248085,1114,6459,1184,6389
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.26,51,0,583,2626,3833,531,0.1816765347460268,0.5233393177737882,0.5934355163337978,0.2697201017811705,0.5831242572296316,0.558387417053793,1114,6459,3209,4364,287,925,5534,827,0.2367986798679868,0.25763016157989227,0.8567889766217681,0.2467755803955288,0.7686517892512875,0.5572095691008302,1114,6459,1212,6361
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.28,51,0,615,2791,3668,499,0.18056371109806224,0.552064631956912,0.5678897662176807,0.2721238938053097,0.5655618645186848,0.5599771990872964,1114,6459,3406,4167,293,936,5523,821,0.23840520748576077,0.263016157989228,0.8550859266140269,0.2501067008109261,0.7679915489238083,0.5590510423016275,1114,6459,1229,6344
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.3,51,0,647,2953,3506,467,0.17972222222222223,0.5807899461400359,0.5428084842854931,0.27450148493848114,0.5483956160042255,0.5617992152127644,1114,6459,3600,3973,299,953,5506,815,0.2388178913738019,0.26840215439856374,0.852453940238427,0.25274725274725274,0.7665390202033541,0.5604280473184954,1114,6459,1252,6321
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.32,51,0,672,3117,3342,442,0.17735550277117973,0.6032315978456014,0.5174175568973526,0.2741178870079543,0.5300409349003037,0.560324577371477,1114,6459,3789,3784,308,968,5491,806,0.2413793103448276,0.2764811490125673,0.85013159931878,0.2577405857740586,0.765746731810379,0.5633063741656736,1114,6459,1276,6297
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.34,51,0,692,3274,3185,422,0.17448310640443773,0.6211849192100538,0.49311038860504725,0.27244094488188975,0.5119503499273735,0.5571476539075505,1114,6459,3966,3607,316,978,5481,798,0.24420401854714066,0.2836624775583483,0.8485833720390153,0.26245847176079734,0.7654826356793873,0.5661229247986819,1114,6459,1294,6279
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.36,51,0,718,3427,3032,396,0.17322074788902292,0.644524236983842,0.4694225112246478,0.27305571401407114,0.4951802456094018,0.5569733741042449,1114,6459,4145,3428,316,988,5471,798,0.24233128834355827,0.2836624775583483,0.8470351447592507,0.261373035566584,0.7641621550244289,0.5653488111587994,1114,6459,1304,6269
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.38,51,0,753,3551,2908,361,0.174953531598513,0.6759425493716338,0.4502244929555659,0.2779623477297896,0.483427967780272,0.5630835211635998,1114,6459,4304,3269,323,1001,5458,791,0.24395770392749244,0.28994614003590663,0.8450224492955566,0.2649712879409352,0.7633698666314539,0.5674842946657316,1114,6459,1324,6249
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.4,51,0,771,3685,2774,343,0.17302513464991023,0.6921005385996409,0.4294782474067193,0.2768402154398564,0.4681103921827545,0.5607893930031801,1114,6459,4456,3117,330,1005,5454,784,0.24719101123595505,0.296229802513465,0.8444031583836508,0.26949775418538174,0.7637660108279414,0.5703164804485579,1114,6459,1335,6238
unionAspectRatio,continuous,<=,1.0,2.48,0.02,1.42,51,0,801,3808,2651,313,0.1737904100672597,0.7190305206463196,0.41043505186561385,0.27992311724619956,0.45582992209164136,0.5647327862559667,1114,6459,4609,2964,336,1008,5451,778,0.25,0.3016157989228007,0.8439386901997213,0.27339300244100895,0.7641621550244289,0.572777244561261,1114,6459,1344,6229
