feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.0,51,0,44,2,6457,1070,0.9565217391304348,0.03949730700179533,0.9996903545440471,0.07586206896551724,0.858444473788459,0.5195938307729212,1114,6459,46,7527,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.01,51,0,84,3,6456,1030,0.9655172413793104,0.07540394973070018,0.9995355318160706,0.1398834304746045,0.8635943483427968,0.5374697407733854,1114,6459,87,7486,84,3,6456,1030,0.9655172413793104,0.07540394973070018,0.9995355318160706,0.1398834304746045,0.8635943483427968,0.5374697407733854,1114,6459,87,7486
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.02,51,0,147,5,6454,967,0.9671052631578947,0.1319569120287253,0.9992258863601177,0.23222748815165875,0.871649280338043,0.5655913991944215,1114,6459,152,7421,145,5,6454,969,0.9666666666666667,0.13016157989228008,0.9992258863601177,0.22943037974683547,0.8713851842070514,0.5646937331261989,1114,6459,150,7423
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.03,51,0,216,10,6449,898,0.9557522123893806,0.19389587073608616,0.9984517727202353,0.32238805970149254,0.8801003565297768,0.5961738217281607,1114,6459,226,7347,213,9,6450,901,0.9594594594594594,0.19120287253141832,0.9986065954482118,0.3188622754491018,0.8798362603987852,0.594904733989815,1114,6459,222,7351
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.04,51,0,300,15,6444,814,0.9523809523809523,0.26929982046678635,0.997677659080353,0.41987403778866333,0.8905321537039482,0.6334887397735697,1114,6459,315,7258,295,12,6447,819,0.9609120521172638,0.26481149012567323,0.9981421272642824,0.4152005629838142,0.8902680575729566,0.6314768086949778,1114,6459,307,7266
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.05,51,0,393,24,6435,721,0.9424460431654677,0.3527827648114901,0.9962842545285648,0.5133899412148922,0.9016241912055989,0.6745335096700275,1114,6459,417,7156,387,18,6441,727,0.9555555555555556,0.3473967684021544,0.9972131908964236,0.5095457537853851,0.9016241912055989,0.672304979649289,1114,6459,405,7168
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.06,51,0,467,30,6429,647,0.9396378269617707,0.41921005385996407,0.995355318160706,0.579764121663563,0.910603459659316,0.7072826860103351,1114,6459,497,7076,461,21,6438,653,0.9564315352697096,0.4138240574506284,0.9967487227124942,0.5776942355889725,0.9109996038558035,0.7052863900815612,1114,6459,482,7091
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.07,51,0,557,39,6420,557,0.9345637583892618,0.5,0.9939619136089178,0.6514619883040935,0.9212993529644791,0.746980956804459,1114,6459,596,6977,547,28,6431,567,0.951304347826087,0.4910233393177738,0.9956649636166589,0.6477205447010065,0.9214314010299749,0.7433441514672163,1114,6459,575,6998
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.08,51,0,635,58,6401,479,0.9163059163059163,0.5700179533213644,0.9910202817773649,0.7028223574986164,0.9290901888287336,0.7805191175493646,1114,6459,693,6880,621,35,6424,493,0.9466463414634146,0.5574506283662477,0.9945812045208237,0.7016949152542371,0.9302786214181962,0.7760159164435356,1114,6459,656,6917
unionConvexDeficiency,ratio,<=,0.0,1.0,0.01,0.09,51,0,707,82,6377,407,0.8960709759188846,0.6346499102333932,0.9873045363059297,0.743037309511298,0.935428495972534,0.8109772232696615,1114,6459,789,6784,691,43,6416,423,0.94141689373297,0.6202872531418312,0.9933426226970119,0.7478354978354979,0.9384656014789383,0.8068149379194216,1114,6459,734,6839
