feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.12,51,0,0,44,6415,1114,0.0,0.0,0.9931877999690355,0.0,0.8470883401558167,0.49659389998451775,1114,6459,44,7529,0,41,6418,1114,0.0,0.0,0.9936522681529648,0.0,0.8474844843523043,0.4968261340764824,1114,6459,41,7532
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.14,51,0,0,74,6385,1114,0.0,0.0,0.9885431181297415,0.0,0.8431268981909416,0.49427155906487075,1114,6459,74,7499,0,68,6391,1114,0.0,0.0,0.9894720544976002,0.0,0.8439191865839165,0.4947360272488001,1114,6459,68,7505
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.16,51,0,0,123,6336,1114,0.0,0.0,0.9809568044588945,0.0,0.8366565429816453,0.4904784022294473,1114,6459,123,7450,0,115,6344,1114,0.0,0.0,0.9821953862827063,0.0,0.837712927505612,0.49109769314135315,1114,6459,115,7458
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.18,51,0,0,179,6280,1114,0.0,0.0,0.9722867316922125,0.0,0.8292618513138783,0.48614336584610623,1114,6459,179,7394,0,160,6299,1114,0.0,0.0,0.9752283635237653,0.0,0.8317707645582992,0.48761418176188265,1114,6459,160,7413
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.2,51,0,0,263,6196,1114,0.0,0.0,0.9592816225421892,0.0,0.8181698138122276,0.4796408112710946,1114,6459,263,7310,0,229,6230,1114,0.0,0.0,0.9645455952933891,0.0,0.8226594480390862,0.48227279764669456,1114,6459,229,7344
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.22,51,0,0,351,6108,1114,0.0,0.0,0.9456572224802601,0.0,0.8065495840485937,0.47282861124013004,1114,6459,351,7222,0,292,6167,1114,0.0,0.0,0.9547917634308717,0.0,0.8143404199128482,0.47739588171543584,1114,6459,292,7281
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.24,51,0,0,434,6025,1114,0.0,0.0,0.9328069360582133,0.0,0.7955895946124389,0.46640346802910665,1114,6459,434,7139,0,342,6117,1114,0.0,0.0,0.9470506270320483,0.0,0.8077380166380562,0.47352531351602417,1114,6459,342,7231
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.26,51,0,0,530,5929,1114,0.0,0.0,0.9179439541724725,0.0,0.7829129803248382,0.45897197708623627,1114,6459,530,7043,0,397,6062,1114,0.0,0.0,0.9385353769933427,0.0,0.800475373035785,0.46926768849667133,1114,6459,397,7176
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.28,51,0,0,657,5802,1114,0.0,0.0,0.8982814677194613,0.0,0.7661428760068665,0.44914073385973063,1114,6459,657,6916,0,477,5982,1114,0.0,0.0,0.9261495587552253,0.0,0.7899115277961178,0.46307477937761266,1114,6459,477,7096
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.3,51,0,0,749,5710,1114,0.0,0.0,0.8840377767456262,0.0,0.7539944539812492,0.4420188883728131,1114,6459,749,6824,0,527,5932,1114,0.0,0.0,0.918408422356402,0.0,0.7833091245213257,0.459204211178201,1114,6459,527,7046
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.32,51,0,0,870,5589,1114,0.0,0.0,0.8653042266604738,0.0,0.7380166380562525,0.4326521133302369,1114,6459,870,6703,0,568,5891,1114,0.0,0.0,0.9120606905093668,0.0,0.7778951538359963,0.4560303452546834,1114,6459,568,7005
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.34,51,0,0,1019,5440,1114,0.0,0.0,0.8422356401919802,0.0,0.7183414762973722,0.4211178200959901,1114,6459,1019,6554,0,627,5832,1114,0.0,0.0,0.9029261495587553,0.0,0.7701043179717417,0.45146307477937764,1114,6459,627,6946
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.36,51,0,0,1163,5296,1114,0.0,0.0,0.819941167363369,0.0,0.6993265548659712,0.4099705836816845,1114,6459,1163,6410,0,678,5781,1114,0.0,0.0,0.8950301904319554,0.0,0.7633698666314539,0.4475150952159777,1114,6459,678,6895
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.38,51,0,0,1333,5126,1114,0.0,0.0,0.7936213036073696,0.0,0.6768783837316783,0.3968106518036848,1114,6459,1333,6240,0,743,5716,1114,0.0,0.0,0.8849667131134851,0.0,0.7547867423742242,0.44248335655674254,1114,6459,743,6830
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.4,51,0,0,1490,4969,1114,0.0,0.0,0.7693141353150642,0.0,0.6561468374488314,0.3846570676575321,1114,6459,1490,6083,0,784,5675,1114,0.0,0.0,0.8786189812664499,0.0,0.7493727716888947,0.43930949063322494,1114,6459,784,6789
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.42,51,0,0,1687,4772,1114,0.0,0.0,0.7388140579037002,0.0,0.6301333685461508,0.3694070289518501,1114,6459,1687,5886,0,823,5636,1114,0.0,0.0,0.8725808948753677,0.0,0.744222897134557,0.43629044743768386,1114,6459,823,6750
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.44,51,0,0,1856,4603,1114,0.0,0.0,0.7126490168756774,0.0,0.6078172454773537,0.3563245084378387,1114,6459,1856,5717,0,856,5603,1114,0.0,0.0,0.8674717448521443,0.0,0.7398653109731942,0.43373587242607214,1114,6459,856,6717
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.46,51,0,0,2045,4414,1114,0.0,0.0,0.6833875212881251,0.0,0.5828601610986399,0.34169376064406254,1114,6459,2045,5528,0,888,5571,1114,0.0,0.0,0.8625174175568974,0.0,0.7356397728773274,0.4312587087784487,1114,6459,888,6685
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.48,51,0,0,2242,4217,1114,0.0,0.0,0.6528874438767611,0.0,0.5568466921959593,0.32644372193838056,1114,6459,2242,5331,0,920,5539,1114,0.0,0.0,0.8575630902616505,0.0,0.7314142347814605,0.4287815451308252,1114,6459,920,6653
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.5,51,0,0,2440,4019,1114,0.0,0.0,0.6222325437374207,0.0,0.5307011752277829,0.3111162718687103,1114,6459,2440,5133,0,959,5500,1114,0.0,0.0,0.8515250038705682,0.0,0.7262643602271227,0.4257625019352841,1114,6459,959,6614
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.52,51,0,0,2676,3783,1114,0.0,0.0,0.5856943799349744,0.0,0.49953783177076455,0.2928471899674872,1114,6459,2676,4897,0,991,5468,1114,0.0,0.0,0.8465706765753213,0.0,0.7220388221312558,0.42328533828766063,1114,6459,991,6582
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.54,51,0,0,2883,3576,1114,0.0,0.0,0.5536460752438458,0.0,0.4722038822131256,0.2768230376219229,1114,6459,2883,4690,0,1017,5442,1114,0.0,0.0,0.8425452856479331,0.0,0.7186055724283639,0.42127264282396654,1114,6459,1017,6556
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.56,51,0,0,3109,3350,1114,0.0,0.0,0.5186561387211642,0.0,0.44236101941106565,0.2593280693605821,1114,6459,3109,4464,0,1046,5413,1114,0.0,0.0,0.8380554265366156,0.0,0.7147761785289846,0.4190277132683078,1114,6459,1046,6527
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.58,51,0,0,3316,3143,1114,0.0,0.0,0.4866078340300356,0.0,0.41502706985342663,0.2433039170150178,1114,6459,3316,4257,0,1067,5392,1114,0.0,0.0,0.8348041492491097,0.0,0.7120031691535719,0.41740207462455486,1114,6459,1067,6506
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.6,51,0,0,3524,2935,1114,0.0,0.0,0.45440470661093046,0.0,0.38756107223029185,0.22720235330546523,1114,6459,3524,4049,0,1086,5373,1114,0.0,0.0,0.8318625174175569,0.0,0.7094942559091509,0.41593125870877845,1114,6459,1086,6487
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.62,51,0,0,3741,2718,1114,0.0,0.0,0.42080817464003717,0.0,0.35890664201769445,0.21040408732001858,1114,6459,3741,3832,0,1103,5356,1114,0.0,0.0,0.829230531041957,0.0,0.7072494387957217,0.4146152655209785,1114,6459,1103,6470
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.64,51,0,2,3946,2513,1112,0.0005065856129685917,0.0017953321364452424,0.38906951540486145,0.0007902015013828527,0.3321008847220388,0.19543242377065334,1114,6459,3948,3625,0,1128,5331,1114,0.0,0.0,0.8253599628425453,0.0,0.7039482371583257,0.41267998142127266,1114,6459,1128,6445
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.66,51,0,3,4131,2328,1111,0.000725689404934688,0.0026929982046678637,0.360427310729215,0.0011432926829268294,0.3078040406708042,0.18156015446694143,1114,6459,4134,3439,0,1143,5316,1114,0.0,0.0,0.8230376219228983,0.0,0.701967516175888,0.41151881096144916,1114,6459,1143,6430
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.68,51,0,6,4315,2144,1108,0.001388567461235825,0.005385996409335727,0.33193992878154516,0.0022079116835326588,0.28390334081605706,0.16866296259544045,1114,6459,4321,3252,0,1167,5292,1114,0.0,0.0,0.819321876451463,0.0,0.6987983626039879,0.4096609382257315,1114,6459,1167,6406
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.7,51,0,15,4502,1957,1099,0.003320788133717069,0.013464991023339317,0.3029880786499458,0.005327650506126798,0.26039878515779746,0.15822653483664256,1114,6459,4517,3056,0,1186,5273,1114,0.0,0.0,0.8163802446199102,0.0,0.6962894493595669,0.4081901223099551,1114,6459,1186,6387
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.72,51,0,26,4672,1787,1088,0.005534269902085994,0.02333931777378815,0.27666821489394644,0.008947006194081212,0.2394031427439588,0.1500037663338673,1114,6459,4698,2875,0,1201,5258,1114,0.0,0.0,0.8140579037002632,0.0,0.6943087283771293,0.4070289518501316,1114,6459,1201,6372
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.74,51,0,30,4823,1636,1084,0.006181743251596951,0.026929982046678635,0.25328998296949995,0.010055304172951232,0.21999207711607024,0.1401099825080893,1114,6459,4853,2720,0,1217,5242,1114,0.0,0.0,0.8115807400526397,0.0,0.6921959593291959,0.40579037002631985,1114,6459,1217,6356
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.76,51,0,38,4993,1466,1076,0.007553170343868018,0.03411131059245961,0.22697011921350055,0.012367778681855167,0.1986002905057441,0.13054071490298008,1114,6459,5031,2542,1,1229,5230,1113,0.0008130081300813008,0.0008976660682226212,0.8097228673169221,0.0008532423208191126,0.6907434306087415,0.40531026669257236,1114,6459,1230,6343
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.78,51,0,55,5136,1323,1059,0.010595261028703526,0.04937163375224417,0.20483046911286576,0.017446471054718478,0.18196223425326818,0.12710105143255496,1114,6459,5191,2382,3,1240,5219,1111,0.002413515687851971,0.0026929982046678637,0.808019817309181,0.0025456088247772595,0.689554998019279,0.40535640775692444,1114,6459,1243,6330
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.8,51,0,69,5264,1195,1045,0.012938308644290268,0.06193895870736086,0.185013159931878,0.021405304792926943,0.16690875478674239,0.12347605931961943,1114,6459,5333,2240,3,1249,5210,1111,0.0023961661341853034,0.0026929982046678637,0.8066264127573928,0.00253592561284869,0.6883665654298164,0.4046597054810303,1114,6459,1252,6321
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.82,51,0,85,5385,1074,1029,0.015539305301645339,0.0763016157989228,0.1662796098467255,0.025820170109356017,0.1530437079096791,0.12129061282282415,1114,6459,5470,2103,4,1254,5205,1110,0.003179650238473768,0.003590664272890485,0.8058522991175104,0.0033726812816188877,0.6878383731678331,0.40472148169520045,1114,6459,1258,6315
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.84,51,0,99,5505,954,1015,0.017665952890792293,0.08886894075403949,0.14770088248954946,0.029473057457576658,0.13904661296712004,0.11828491162179447,1114,6459,5604,1969,4,1269,5190,1110,0.003142183817753339,0.003590664272890485,0.8035299581978634,0.0033514872224549644,0.6858576521853955,0.40356031123537695,1114,6459,1273,6300
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.86,51,0,113,5615,844,1001,0.019727653631284914,0.10143626570915619,0.1306703824121381,0.033031277404267756,0.12636999867951934,0.11605332406064714,1114,6459,5728,1845,5,1280,5179,1109,0.0038910505836575876,0.004488330341113106,0.8018269081901223,0.004168403501458942,0.684537171530437,0.40315761926561766,1114,6459,1285,6288
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.88,51,0,138,5704,755,976,0.023622047244094488,0.12387791741472172,0.11689115962223254,0.039677975848188614,0.11791892248778556,0.12038453851847714,1114,6459,5842,1731,5,1288,5171,1109,0.0038669760247486465,0.004488330341113106,0.8005883263663106,0.004154549231408393,0.6834807870064703,0.40253832835371184,1114,6459,1293,6280
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.9,51,0,153,5775,684,961,0.025809716599190284,0.13734290843806105,0.10589874593590339,0.04345356432831582,0.11052423082001848,0.12162082718698222,1114,6459,5928,1645,5,1298,5161,1109,0.003837298541826554,0.004488330341113106,0.7990400990865459,0.004137360364087712,0.6821603063515119,0.4017642147138295,1114,6459,1303,6270
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.92,51,0,178,5853,606,936,0.029514176753440556,0.15978456014362658,0.09382257315373897,0.04982505248425472,0.10352568334873895,0.12680356664868278,1114,6459,6031,1542,7,1306,5153,1107,0.005331302361005331,0.0062836624775583485,0.7978015172627342,0.005768438401318501,0.6813680179585369,0.40204258987014624,1114,6459,1313,6260
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.94,51,0,209,5926,533,905,0.03406682966585167,0.18761220825852784,0.08252051401145688,0.057663125948406675,0.09797966459791364,0.13506636113499237,1114,6459,6135,1438,9,1315,5144,1105,0.006797583081570997,0.00807899461400359,0.7964081127109459,0.007383100902378999,0.6804436815000661,0.4022435536624748,1114,6459,1324,6249
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.96,51,0,246,5993,466,868,0.03942939573649623,0.22082585278276481,0.07214739123703359,0.06691146470828233,0.09401822263303843,0.1464866220098992,1114,6459,6239,1334,11,1319,5140,1103,0.008270676691729323,0.009874326750448833,0.7957888217990401,0.00900163666121113,0.6801795853690743,0.4028315742747445,1114,6459,1330,6243
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,0.98,51,0,266,6049,410,848,0.042121931908155184,0.23877917414721722,0.06347731847035144,0.07161125319693096,0.08926449227518816,0.15112824630878433,1114,6459,6315,1258,13,1323,5136,1101,0.009730538922155689,0.011669658886894075,0.7951695308871343,0.010612244897959184,0.6799154892380826,0.4034195948870142,1114,6459,1336,6237
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.0,51,0,303,6102,357,811,0.047306791569086654,0.2719928186714542,0.055271713887598696,0.08059582391275436,0.08715172322725472,0.16363226627952646,1114,6459,6405,1168,15,1327,5132,1099,0.011177347242921014,0.013464991023339317,0.7945502399752283,0.012214983713355047,0.679651393107091,0.4040076154992838,1114,6459,1342,6231
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.02,51,0,339,6150,309,775,0.05224225612575127,0.30430879712746856,0.04784022294472828,0.08917532552939629,0.08556714644130463,0.17607451003609842,1114,6459,6489,1084,17,1332,5127,1097,0.012601927353595256,0.01526032315978456,0.793776126335346,0.013804303694681283,0.6792552489106034,0.40451822474756527,1114,6459,1349,6224
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.04,51,0,378,6193,266,736,0.0575254907928778,0.3393177737881508,0.041182845641740205,0.09837345478204296,0.08503895417932127,0.1902503097149455,1114,6459,6571,1002,20,1338,5121,1094,0.014727540500736377,0.017953321364452424,0.7928471899674873,0.016181229773462785,0.6788591047141159,0.4054002556659698,1114,6459,1358,6215
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.06,51,0,419,6241,218,695,0.06291291291291291,0.3761220825852783,0.03375135469886979,0.10779521481862618,0.0841146177208504,0.20493671864207405,1114,6459,6660,913,21,1345,5114,1093,0.015373352855051245,0.018850987432675045,0.7917634308716519,0.01693548387096774,0.6780668163211409,0.40530720915216345,1114,6459,1366,6207
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.08,51,0,461,6268,191,653,0.06850943676623569,0.4138240574506284,0.029571141043505188,0.11755705724850184,0.08609533870328799,0.22169759924706678,1114,6459,6729,844,20,1349,5110,1094,0.014609203798392988,0.017953321364452424,0.7911441399597461,0.01610954490535642,0.6774065759936617,0.40454873066209923,1114,6459,1369,6204
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.1,51,0,509,6296,163,605,0.07479794268919912,0.45691202872531417,0.025236104660164113,0.12855158479606013,0.0887363000132048,0.24107406669273915,1114,6459,6805,768,20,1350,5109,1094,0.014598540145985401,0.017953321364452424,0.7909893172317696,0.01610305958132045,0.6772745279281659,0.404471319298111,1114,6459,1370,6203
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.12,51,0,557,6318,141,557,0.08101818181818182,0.5,0.02183000464468184,0.13944173238202529,0.09216954971609666,0.26091500232234094,1114,6459,6875,698,22,1353,5106,1092,0.016,0.019748653500897665,0.7905248490478403,0.017677782241864202,0.6771424798626701,0.405136751274369,1114,6459,1375,6198
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.14,51,0,603,6340,119,511,0.0868500648134812,0.5412926391382405,0.018423904629199565,0.14968350502668487,0.09533870328799683,0.27985827188372003,1114,6459,6943,630,24,1355,5104,1090,0.01740391588107324,0.02154398563734291,0.7902152035918872,0.019253910950661854,0.6771424798626701,0.4058795946146151,1114,6459,1379,6194
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.16,51,0,645,6357,102,469,0.0921165381319623,0.5789946140035906,0.01579191825359963,0.15894529324790538,0.09863990492539285,0.2973932661285951,1114,6459,7002,571,25,1358,5101,1089,0.018076644974692697,0.02244165170556553,0.7897507354079579,0.020024028834601523,0.6768783837316783,0.40609619355676174,1114,6459,1383,6190
normalizedSharedEdgeLength,continuous,<=,0.12,1.46,0.02,1.18,51,0,685,6371,88,429,0.09708049886621316,0.6149012567324955,0.01362440006192909,0.16768665850673195,0.1020731546282847,0.3142628283972123,1114,6459,7056,517,25,1360,5099,1089,0.018050541516245487,0.02244165170556553,0.7894410899520049,0.02000800320128051,0.6766142876006866,0.40594137082878523,1114,6459,1385,6188
