feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,4.0,51,0,0,61,6398,1114,0.0,0.0,0.9905558135934355,0.0,0.8448435230423874,0.49527790679671774,1114,6459,61,7512,0,54,6405,1114,0.0,0.0,0.9916395726892708,0.0,0.8457678595008583,0.4958197863446354,1114,6459,54,7519
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,5.0,51,0,0,150,6309,1114,0.0,0.0,0.97677659080353,0.0,0.8330912452132576,0.488388295401765,1114,6459,150,7423,0,123,6336,1114,0.0,0.0,0.9809568044588945,0.0,0.8366565429816453,0.4904784022294473,1114,6459,123,7450
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,6.0,51,0,0,260,6199,1114,0.0,0.0,0.9597460907261186,0.0,0.8185659580087151,0.4798730453630593,1114,6459,260,7313,0,219,6240,1114,0.0,0.0,0.9660938225731538,0.0,0.8239799286940447,0.4830469112865769,1114,6459,219,7354
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,7.0,51,0,0,381,6078,1114,0.0,0.0,0.9410125406409661,0.0,0.8025881420837184,0.47050627032048303,1114,6459,381,7192,0,306,6153,1114,0.0,0.0,0.9526242452392011,0.0,0.8124917469959065,0.47631212261960054,1114,6459,306,7267
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,8.0,51,0,0,535,5924,1114,0.0,0.0,0.9171698405325902,0.0,0.782252739997359,0.4585849202662951,1114,6459,535,7038,0,401,6058,1114,0.0,0.0,0.9379160860814367,0.0,0.7999471807738017,0.46895804304071836,1114,6459,401,7172
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,9.0,51,0,0,732,5727,1114,0.0,0.0,0.8866697631212263,0.0,0.7562392710946785,0.4433348815606131,1114,6459,732,6841,0,501,5958,1114,0.0,0.0,0.92243381328379,0.0,0.7867423742242177,0.461216906641895,1114,6459,501,7072
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,10.0,51,0,0,935,5524,1114,0.0,0.0,0.8552407493420034,0.0,0.7294335137990229,0.4276203746710017,1114,6459,935,6638,0,580,5879,1114,0.0,0.0,0.9102028177736492,0.0,0.7763105770500462,0.4551014088868246,1114,6459,580,6993
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,11.0,51,0,0,1160,5299,1114,0.0,0.0,0.8204056355472984,0.0,0.6997226990624588,0.4102028177736492,1114,6459,1160,6413,0,668,5791,1114,0.0,0.0,0.8965784177117201,0.0,0.7646903472864123,0.44828920885586004,1114,6459,668,6905
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,12.0,51,0,0,1386,5073,1114,0.0,0.0,0.7854156990246168,0.0,0.6698798362603988,0.3927078495123084,1114,6459,1386,6187,0,750,5709,1114,0.0,0.0,0.8838829540176498,0.0,0.7538624059157534,0.4419414770088249,1114,6459,750,6823
sharedEdgeLength,continuous,<=,4.0,59.0,1.0,13.0,51,0,3,1675,4784,1111,0.0017878426698450535,0.0026929982046678637,0.7406719306394178,0.0021489971346704876,0.6321140895285884,0.37168246442204284,1114,6459,1678,5895,2,805,5654,1112,0.0024783147459727386,0.0017953321364452424,0.8753677039789441,0.002082248828735034,0.7468638584444738,0.4385815180576947,1114,6459,807,6766
