feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,13.5,51,0,1051,6454,5,63,0.14003997335109927,0.9434470377019749,0.0007741136398823347,0.24387980044088642,0.13944275716360754,0.4721105756709286,1114,6459,7505,68,112,1319,5140,1002,0.07826694619147449,0.10053859964093358,0.7957888217990401,0.08801571709233792,0.6935164399841542,0.44816371071998684,1114,6459,1431,6142
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,14.0,51,0,1028,6453,6,86,0.1374147841197701,0.9228007181328546,0.0009289363678588017,0.23920884235020362,0.13653769972269905,0.4618648272503567,1114,6459,7481,92,110,1312,5147,1004,0.07735583684950774,0.09874326750448834,0.7968725808948753,0.08675078864353314,0.6941766803116335,0.44780792419968185,1114,6459,1422,6151
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,14.5,51,0,1011,6444,15,103,0.13561368209255534,0.90754039497307,0.0023223409196470044,0.2359668572762283,0.13548131519873233,0.4549313679463585,1114,6459,7455,118,108,1310,5149,1006,0.076163610719323,0.09694793536804308,0.7971822263508282,0.08530805687203792,0.6941766803116335,0.44706508085943564,1114,6459,1418,6155
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,15.0,51,0,989,6428,31,125,0.13334232169340704,0.8877917414721723,0.004799504567270475,0.2318602742937522,0.13468902680575728,0.4462956230197214,1114,6459,7417,156,108,1307,5152,1006,0.07632508833922262,0.09694793536804308,0.7976466945347577,0.08540925266903913,0.694572824508121,0.44729731495140035,1114,6459,1415,6158
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,15.5,51,0,964,6412,47,150,0.1306941431670282,0.8653500897666068,0.007276668214893946,0.2270906949352179,0.13350059421629473,0.43631337899075034,1114,6459,7376,197,98,1307,5152,1016,0.06975088967971531,0.08797127468581688,0.7976466945347577,0.07780865422786822,0.6932523438531626,0.4428089846102873,1114,6459,1405,6168
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,16.0,51,0,935,6396,63,179,0.12754058109398445,0.8393177737881508,0.009753831862517418,0.22143280047365302,0.13178396936484882,0.4245358028253341,1114,6459,7331,242,91,1305,5154,1023,0.0651862464183381,0.08168761220825853,0.7979563399907106,0.07250996015936255,0.6925921035256833,0.43982197609948454,1114,6459,1396,6177
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,16.5,51,0,903,6365,94,211,0.12424325811777656,0.8105924596050269,0.014553336429787893,0.21546170365068001,0.13165192129935296,0.4125728980174074,1114,6459,7268,305,88,1299,5160,1026,0.06344628695025234,0.07899461400359066,0.7988852763585694,0.07037185125949622,0.6929882477221708,0.43893994518108004,1114,6459,1387,6186
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,17.0,51,0,857,6334,125,257,0.11917674871366986,0.7692998204667864,0.01935284099705837,0.20638169777242624,0.12967120031691537,0.39432633073192236,1114,6459,7191,382,88,1292,5167,1026,0.06376811594202898,0.07899461400359066,0.7999690354544047,0.07056936647955092,0.6939125841806417,0.43948182472899766,1114,6459,1380,6193
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,17.5,51,0,823,6297,162,291,0.11558988764044943,0.7387791741472173,0.025081281932187643,0.19990284187515178,0.13006734451340288,0.38193022803970245,1114,6459,7120,453,87,1289,5170,1027,0.06322674418604651,0.07809694793536805,0.8004335036383341,0.06987951807228916,0.6941766803116335,0.43926522578685107,1114,6459,1376,6197
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,18.0,51,0,775,6257,202,339,0.11021046643913539,0.6956912028725314,0.031274191051246326,0.19027743677878714,0.12901095998943615,0.36348269696188884,1114,6459,7032,541,82,1282,5177,1032,0.060117302052785926,0.07360861759425494,0.8015172627341693,0.06618240516545602,0.6944407764426251,0.43756294016421216,1114,6459,1364,6209
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,18.5,51,0,727,6193,266,387,0.10505780346820809,0.6526032315978456,0.041182845641740205,0.18098083146626834,0.1311237290373696,0.3468930386197929,1114,6459,6920,653,79,1274,5185,1035,0.058388765705838876,0.07091561938958707,0.8027558445579811,0.06404539927036887,0.6951010167701043,0.4368357319737841,1114,6459,1353,6220
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,19.0,51,0,692,6123,336,422,0.10154071900220103,0.6211849192100538,0.052020436600092895,0.1745491234708034,0.135745411329724,0.33660267790507337,1114,6459,6815,758,75,1263,5196,1039,0.05605381165919283,0.06732495511669659,0.8044588945657223,0.06117455138662317,0.6960253532285752,0.4358919248412094,1114,6459,1338,6235
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,19.5,51,0,657,6041,418,457,0.09808898178560764,0.5897666068222621,0.06471590029416319,0.16820276497695852,0.14195167040802853,0.32724125355821265,1114,6459,6698,875,74,1248,5211,1040,0.05597579425113464,0.06642728904847396,0.8067812354853693,0.06075533661740558,0.697874026145517,0.4366042622669216,1114,6459,1322,6251
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,20.0,51,0,623,5944,515,491,0.09486828079792904,0.559245960502693,0.07973370490788048,0.16221846113787267,0.15027069853426647,0.31948983270528675,1114,6459,6567,1006,75,1230,5229,1039,0.05747126436781609,0.06732495511669659,0.8095680445889457,0.06200909466721786,0.7003829393899379,0.43844649985282114,1114,6459,1305,6268
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,20.5,51,0,569,5850,609,545,0.08864309082411591,0.5107719928186715,0.09428704133766837,0.15106863135536971,0.1555526211541001,0.30252951707816994,1114,6459,6419,1154,74,1219,5240,1040,0.05723124516627997,0.06642728904847396,0.8112710945966868,0.061487328624844205,0.7017034200448964,0.43884919182258036,1114,6459,1293,6280
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,21.0,51,0,536,5743,716,578,0.08536391145086797,0.48114901256732495,0.11085307323115033,0.14500202894630052,0.1653241780007923,0.2960010428992376,1114,6459,6279,1294,71,1201,5258,1043,0.05581761006289308,0.06373429084380611,0.8140579037002632,0.05951383067896061,0.7036841410273339,0.43889609727203466,1114,6459,1272,6301
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,21.5,51,0,500,5635,824,614,0.08149959250203749,0.4488330341113106,0.12757392785260876,0.1379500620775279,0.1748316387164928,0.2882034809819597,1114,6459,6135,1438,66,1186,5273,1048,0.052715654952076675,0.059245960502693,0.8163802446199102,0.05579036348267117,0.7050046216822924,0.4378131025613016,1114,6459,1252,6321
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,22.0,51,0,461,5505,954,653,0.07727120348642307,0.4138240574506284,0.14770088248954946,0.13022598870056498,0.1868480126766143,0.2807624699700889,1114,6459,5966,1607,64,1171,5288,1050,0.051821862348178135,0.05745062836624776,0.8187025855395572,0.054491272882077474,0.7067212465337382,0.4380766069529025,1114,6459,1235,6338
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,22.5,51,0,424,5357,1102,690,0.07334371216052586,0.38061041292639136,0.17061464623006659,0.12298767222625091,0.2015053479466526,0.27561252957822896,1114,6459,5781,1792,61,1144,5315,1053,0.05062240663900415,0.05475763016157989,0.8228827991949218,0.05260888313928418,0.7098904001056384,0.43882021467825083,1114,6459,1205,6368
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,23.0,51,0,394,5225,1234,720,0.07011923829862965,0.35368043087971274,0.19105124632296022,0.11703549680677261,0.2149742506272283,0.27236583860133645,1114,6459,5619,1954,58,1124,5335,1056,0.049069373942470386,0.05206463195691203,0.8259792537544511,0.050522648083623695,0.7121352172190677,0.4390219428556816,1114,6459,1182,6391
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,23.5,51,0,364,5081,1378,750,0.06685032139577594,0.3267504488330341,0.21334571915157144,0.11099252934898612,0.23002773009375413,0.2700480839923028,1114,6459,5445,2128,58,1104,5355,1056,0.04991394148020654,0.05206463195691203,0.8290757083139805,0.05096660808435852,0.7147761785289846,0.44057017013544625,1114,6459,1162,6411
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,24.0,51,0,339,4913,1546,775,0.06454683929931454,0.30430879712746856,0.2393559374516179,0.1065032987747408,0.24891060345965932,0.27183236728954324,1114,6459,5252,2321,59,1080,5379,1055,0.05179982440737489,0.05296229802513465,0.8327914537854157,0.052374611628939194,0.7180773801663806,0.4428768759052752,1114,6459,1139,6434
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,24.5,51,0,323,4755,1704,791,0.06360771957463568,0.28994614003590663,0.26381792847189967,0.10432816537467701,0.26766142876006865,0.2768820342539031,1114,6459,5078,2495,51,1060,5399,1063,0.04590459045904591,0.04578096947935368,0.8358879083449451,0.04584269662921349,0.7196619569523306,0.4408344389121494,1114,6459,1111,6462
sharedEdgeUnsharedVerticesDistance,continuous,>=,13.5,58.0,0.5,25.0,51,0,295,4573,1886,819,0.06059983566146261,0.26481149012567323,0.2919956649636167,0.0986292209963223,0.2879968308464281,0.27840357754464495,1114,6459,4868,2705,49,1031,5428,1065,0.04537037037037037,0.04398563734290844,0.8403777674562626,0.044667274384685506,0.7232272547207184,0.4421817023995855,1114,6459,1080,6493
