feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,13.5,51,0,63,5,6454,1051,0.9264705882352942,0.05655296229802514,0.9992258863601177,0.10659898477157362,0.8605572428363925,0.5278894243290714,1114,6459,68,7505,62,3,6456,1052,0.9538461538461539,0.05565529622980251,0.9995355318160706,0.10517387616624256,0.8606892909018883,0.5275954140229365,1114,6459,65,7508
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,14.0,51,0,86,6,6453,1028,0.9347826086956522,0.07719928186714542,0.9990710636321412,0.14262023217247094,0.863462300277301,0.5381351727496433,1114,6459,92,7481,84,3,6456,1030,0.9655172413793104,0.07540394973070018,0.9995355318160706,0.1398834304746045,0.8635943483427968,0.5374697407733854,1114,6459,87,7486
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,14.5,51,0,103,15,6444,1011,0.8728813559322034,0.09245960502692999,0.997677659080353,0.16720779220779222,0.8645186848012677,0.5450686320536415,1114,6459,118,7455,101,8,6451,1013,0.926605504587156,0.09066427289048475,0.9987614181761882,0.1651676206050695,0.8651789251287468,0.5447128455333365,1114,6459,109,7464
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,15.0,51,0,125,31,6428,989,0.8012820512820513,0.11220825852782765,0.9952004954327295,0.1968503937007874,0.8653109731942427,0.5537043769802785,1114,6459,156,7417,122,13,6446,992,0.9037037037037037,0.10951526032315978,0.9979873045363059,0.19535628502802244,0.8672916941766803,0.5537512824297328,1114,6459,135,7438
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,15.5,51,0,150,47,6412,964,0.7614213197969543,0.13464991023339318,0.9927233317851061,0.22883295194508008,0.8664994057837053,0.5636866210092496,1114,6459,197,7376,143,18,6441,971,0.8881987577639752,0.12836624775583483,0.9972131908964236,0.2243137254901961,0.8694044632246137,0.5627897193261292,1114,6459,161,7412
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,16.0,51,0,179,63,6396,935,0.7396694214876033,0.1606822262118492,0.9902461681374826,0.2640117994100295,0.8682160306351512,0.5754641971746659,1114,6459,242,7331,170,24,6435,944,0.8762886597938144,0.1526032315978456,0.9962842545285648,0.2599388379204893,0.8721774726000264,0.5744437430632052,1114,6459,194,7379
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,16.5,51,0,211,94,6365,903,0.6918032786885245,0.18940754039497307,0.9854466635702122,0.29739252995066945,0.868348078700647,0.5874271019825926,1114,6459,305,7268,198,31,6428,916,0.8646288209606987,0.17773788150807898,0.9952004954327295,0.2948622486969471,0.874950481975439,0.5864691884704042,1114,6459,229,7344
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,17.0,51,0,257,125,6334,857,0.6727748691099477,0.23070017953321365,0.9806471590029416,0.34358288770053474,0.8703287996830846,0.6056736692680776,1114,6459,382,7191,238,40,6419,876,0.8561151079136691,0.21364452423698385,0.9938070908809413,0.3419540229885058,0.8790439720058101,0.6037258075589625,1114,6459,278,7295
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,17.5,51,0,291,162,6297,823,0.6423841059602649,0.2612208258527828,0.9749187180678124,0.37141033822590935,0.8699326554865972,0.6180697719602976,1114,6459,453,7120,274,45,6414,840,0.8589341692789969,0.2459605026929982,0.993032977241059,0.38241451500348916,0.8831374620361812,0.6194967399670286,1114,6459,319,7254
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,18.0,51,0,339,202,6257,775,0.6266173752310537,0.30430879712746856,0.9687258089487537,0.40966767371601204,0.8709890400105639,0.6365173030381112,1114,6459,541,7032,316,54,6405,798,0.8540540540540541,0.2836624775583483,0.9916395726892708,0.4258760107816712,0.8874950481975439,0.6376510251238096,1114,6459,370,7203
sharedEdgeUnsharedVerticesDistance,continuous,<=,13.5,58.0,0.5,18.5,51,0,387,266,6193,727,0.5926493108728943,0.3473967684021544,0.9588171543582598,0.43803056027164683,0.8688762709626304,0.6531069613802071,1114,6459,653,6920,356,66,6393,758,0.8436018957345972,0.31956912028725315,0.9897816999535531,0.4635416666666667,0.8911923940314275,0.6546754101204031,1114,6459,422,7151
