feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.59,51,0,1058,6440,19,56,0.1411042944785276,0.9497307001795332,0.002941631831552872,0.24570366929865303,0.1422157665390202,0.476336166005543,1114,6459,7498,75,123,1337,5122,991,0.08424657534246575,0.11041292639138241,0.7930020126954637,0.09557109557109558,0.6925921035256833,0.45170746954342306,1114,6459,1460,6113
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.6,51,0,1044,6433,26,70,0.13962819312558514,0.9371633752244165,0.0040253909273881405,0.24304504714235833,0.1412914300805493,0.47059438307590234,1114,6459,7477,96,124,1334,5125,990,0.0850480109739369,0.11131059245960502,0.7934664808793931,0.09642301710730948,0.6931202957876668,0.4523885366694991,1114,6459,1458,6115
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.61,51,0,1020,6427,32,94,0.13696790653954613,0.9156193895870736,0.004954327295246942,0.23828991940193905,0.13891456490162418,0.46028685844116024,1114,6459,7447,126,123,1332,5127,991,0.08453608247422681,0.11041292639138241,0.793776126335346,0.09575710393149085,0.6932523438531626,0.4520945263633642,1114,6459,1455,6118
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.62,51,0,1003,6420,39,111,0.135120571197629,0.900359066427289,0.006038086391082211,0.23497715825231344,0.13759408424666578,0.4531985764091856,1114,6459,7423,150,122,1332,5127,992,0.08390646492434663,0.10951526032315978,0.793776126335346,0.09501557632398754,0.6931202957876668,0.45164569332925286,1114,6459,1454,6119
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.63,51,0,974,6409,50,140,0.13192469185967765,0.874326750448833,0.007741136398823348,0.22925738495939743,0.13521721906774065,0.4410339434238282,1114,6459,7383,190,122,1329,5130,992,0.08407994486560992,0.10951526032315978,0.7942405945192754,0.09512670565302142,0.6935164399841542,0.4518779274212176,1114,6459,1451,6122
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.64,51,0,948,6395,64,166,0.12910254664306142,0.8509874326750448,0.009908654590493884,0.22419297623270662,0.13363264228179056,0.43044804363276934,1114,6459,7343,230,119,1330,5129,995,0.0821256038647343,0.10682226211849193,0.7940857717912989,0.09285992976980102,0.6929882477221708,0.4504540169548954,1114,6459,1449,6124
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.65,51,0,921,6378,81,193,0.12618166872174272,0.8267504488330341,0.012540640966093822,0.21894686794246998,0.13231216162683215,0.41964554489956396,1114,6459,7299,274,120,1326,5133,994,0.08298755186721991,0.10771992818671454,0.7947050627032048,0.09375,0.6936484880496501,0.45121249544495967,1114,6459,1446,6127
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.66,51,0,898,6357,102,216,0.12377670572019298,0.8061041292639138,0.01579191825359963,0.21460150555621937,0.1320480654958405,0.4109480237587567,1114,6459,7255,318,117,1325,5134,997,0.0811373092926491,0.10502692998204669,0.7948598854311812,0.09154929577464789,0.6933843919186584,0.44994340770661395,1114,6459,1442,6131
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.67,51,0,864,6321,138,250,0.12025052192066805,0.7755834829443446,0.021365536460752437,0.20821785757320155,0.13231216162683215,0.39847450970254855,1114,6459,7185,388,113,1326,5133,1001,0.07852675469075747,0.10143626570915619,0.7947050627032048,0.08852330591461027,0.6927241515911792,0.4480706642061805,1114,6459,1439,6134
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,>=,0.59,1.2,0.01,0.68,51,0,825,6293,166,289,0.11590334363585277,0.7405745062836625,0.025700572844093512,0.20043731778425658,0.13085963290637792,0.383137539563878,1114,6459,7118,455,108,1325,5134,1006,0.07536636427076064,0.09694793536804308,0.7948598854311812,0.08480565371024734,0.6921959593291959,0.4459039103996122,1114,6459,1433,6140
