feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.59,51,0,56,19,6440,1058,0.7466666666666667,0.05026929982046679,0.9970583681684472,0.0941968040370059,0.8577842334609798,0.5236638339944569,1114,6459,75,7498,56,18,6441,1058,0.7567567567567568,0.05026929982046679,0.9972131908964236,0.09427609427609428,0.8579162815264756,0.5237412453584451,1114,6459,74,7499
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.6,51,0,70,26,6433,1044,0.7291666666666666,0.06283662477558348,0.9959746090726118,0.11570247933884296,0.8587085699194507,0.5294056169240976,1114,6459,96,7477,70,22,6437,1044,0.7608695652173914,0.06283662477558348,0.9965938999845178,0.11608623548922055,0.8592367621814341,0.5297152623800506,1114,6459,92,7481
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.61,51,0,94,32,6427,1020,0.746031746031746,0.0843806104129264,0.9950456727047531,0.15161290322580648,0.8610854350983758,0.5397131415588398,1114,6459,126,7447,94,27,6432,1020,0.7768595041322314,0.0843806104129264,0.9958197863446354,0.1522267206477733,0.861745675425855,0.5401001983787809,1114,6459,121,7452
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.62,51,0,111,39,6420,1003,0.74,0.09964093357271095,0.9939619136089178,0.17563291139240506,0.8624059157533343,0.5468014235908144,1114,6459,150,7423,109,34,6425,1005,0.7622377622377622,0.09784560143626571,0.9947360272488002,0.17342879872712808,0.8628020599498217,0.5462908143425329,1114,6459,143,7430
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.63,51,0,140,50,6409,974,0.7368421052631579,0.12567324955116696,0.9922588636011767,0.21472392638036808,0.8647827809322594,0.5589660565761718,1114,6459,190,7383,134,43,6416,980,0.7570621468926554,0.12028725314183124,0.9933426226970119,0.20759101471727343,0.8649148289977552,0.5568149379194216,1114,6459,177,7396
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.64,51,0,166,64,6395,948,0.7217391304347827,0.1490125673249551,0.9900913454095062,0.24702380952380948,0.8663673577182094,0.5695519563672307,1114,6459,230,7343,160,55,6404,954,0.7441860465116279,0.1436265709156194,0.9914847499612943,0.24078254326561327,0.866763501914697,0.5675556604384568,1114,6459,215,7358
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.65,51,0,193,81,6378,921,0.7043795620437956,0.1732495511669659,0.9874593590339061,0.27809798270893377,0.8676878383731679,0.580354455100436,1114,6459,274,7299,187,67,6392,927,0.7362204724409449,0.16786355475763015,0.9896268772255767,0.2733918128654971,0.8687442228971346,0.5787452159916034,1114,6459,254,7319
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.66,51,0,216,102,6357,898,0.6792452830188679,0.19389587073608616,0.9842080817464004,0.3016759776536313,0.8679519345041595,0.5890519762412433,1114,6459,318,7255,207,82,6377,907,0.7162629757785467,0.18581687612208259,0.9873045363059297,0.2950819672131148,0.8694044632246137,0.5865607062140061,1114,6459,289,7284
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.67,51,0,250,138,6321,864,0.6443298969072165,0.2244165170556553,0.9786344635392475,0.33288948069241014,0.8676878383731679,0.6015254902974514,1114,6459,388,7185,236,112,6347,878,0.6781609195402298,0.2118491921005386,0.9826598544666357,0.32284541723666216,0.8692724151591179,0.5972545232835872,1114,6459,348,7225
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.68,51,0,289,166,6293,825,0.6351648351648351,0.2594254937163375,0.9742994271559065,0.3683875079668578,0.8691403670936221,0.6168624604361219,1114,6459,455,7118,267,128,6331,847,0.6759493670886076,0.23967684021543986,0.9801826908190122,0.3538767395626242,0.8712531361415555,0.609929765517226,1114,6459,395,7178
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.69,51,0,321,216,6243,793,0.5977653631284916,0.2881508078994614,0.9665582907570831,0.38885523924894,0.866763501914697,0.6273545493282723,1114,6459,537,7036,296,156,6303,818,0.6548672566371682,0.26570915619389585,0.9758476544356711,0.37803320561941245,0.8713851842070514,0.6207784053147835,1114,6459,452,7121
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.7,51,0,355,270,6189,759,0.568,0.31867145421903054,0.9581978634463539,0.40828062104657853,0.8641225406047801,0.6384346588326922,1114,6459,625,6948,323,185,6274,791,0.6358267716535433,0.28994614003590663,0.9713577953243536,0.39827373612823674,0.8711210880760597,0.6306519676801301,1114,6459,508,7065
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.71,51,0,390,326,6133,724,0.5446927374301676,0.3500897666068223,0.9495277906796717,0.4262295081967213,0.8613495312293675,0.649808778643247,1114,6459,716,6857,357,216,6243,757,0.6230366492146597,0.32046678635547576,0.9665582907570831,0.42323651452282157,0.8715172322725472,0.6435125385562794,1114,6459,573,7000
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.72,51,0,418,402,6057,696,0.5097560975609756,0.3752244165170557,0.9377612633534603,0.43226473629782836,0.8550112240855672,0.656492839935258,1114,6459,820,6753,381,249,6210,733,0.6047619047619047,0.34201077199281865,0.9614491407338597,0.4369266055045872,0.8703287996830846,0.6517299563633392,1114,6459,630,6943
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.73,51,0,464,478,5981,650,0.49256900212314225,0.41651705565529623,0.9259947360272488,0.4513618677042801,0.8510497821206919,0.6712558958412725,1114,6459,942,6631,414,283,6176,700,0.593974175035868,0.37163375224416517,0.9561851679826598,0.45720596355604637,0.8701967516175888,0.6639094601134126,1114,6459,697,6876
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.74,51,0,504,555,5904,610,0.47592067988668557,0.4524236983842011,0.9140733859730609,0.46387482742751956,0.8461640036973458,0.683248542178631,1114,6459,1059,6514,440,309,6150,674,0.5874499332443258,0.39497307001795334,0.9521597770552717,0.4723564143853999,0.8701967516175888,0.6735664235366126,1114,6459,749,6824
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.75,51,0,551,629,5830,563,0.4669491525423729,0.49461400359066426,0.9026165041028023,0.48038360941586755,0.8425987059289581,0.6986152538467333,1114,6459,1180,6393,475,339,6120,639,0.5835380835380836,0.4263913824057451,0.9475150952159777,0.4927385892116183,0.870856991945068,0.6869532388108613,1114,6459,814,6759
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.76,51,0,584,709,5750,530,0.45166279969064194,0.5242369838420108,0.8902306858646849,0.48525135022850024,0.8363924468506536,0.7072338348533478,1114,6459,1293,6280,496,367,6092,618,0.574739281575898,0.4452423698384201,0.9431800588326367,0.501770359129995,0.8699326554865972,0.6942112143355283,1114,6459,863,6710
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.77,51,0,606,810,5649,508,0.4279661016949153,0.5439856373429084,0.8745935903390618,0.4790513833992095,0.8259606496764822,0.7092896138409851,1114,6459,1416,6157,514,403,6056,600,0.5605234460196292,0.4614003590664273,0.9376064406254838,0.5061546036435254,0.867555790307672,0.6995033998459556,1114,6459,917,6656
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.78,51,0,635,930,5529,479,0.4057507987220447,0.5700179533213644,0.8560148629818858,0.4740574841358716,0.8139442757163607,0.713016408151625,1114,6459,1565,6008,539,430,6029,575,0.5562435500515995,0.4838420107719928,0.9334262269701192,0.5175228036485836,0.8672916941766803,0.708634118871056,1114,6459,969,6604
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.79,51,0,665,1056,5403,449,0.3864032539221383,0.5969479353680431,0.8365071992568509,0.4691358024691359,0.80126766142876,0.716727567312447,1114,6459,1721,5852,557,463,5996,557,0.546078431372549,0.5,0.9283170769468958,0.5220243673851922,0.8653109731942427,0.7141585384734479,1114,6459,1020,6553
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.8,51,0,704,1171,5288,410,0.37546666666666667,0.6319569120287253,0.8187025855395572,0.4710605553696888,0.7912320084510762,0.7253297487841412,1114,6459,1875,5698,582,491,5968,532,0.5424044734389561,0.5224416517055656,0.9239820405635547,0.5322359396433471,0.8649148289977552,0.7232118461345601,1114,6459,1073,6500
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.81,51,0,733,1313,5146,381,0.35826001955034215,0.6579892280071813,0.7967177581668989,0.46392405063291137,0.7763105770500462,0.7273534930870401,1114,6459,2046,5527,594,517,5942,520,0.5346534653465347,0.533213644524237,0.9199566496361666,0.533932584269663,0.8630661560808134,0.7265851470802018,1114,6459,1111,6462
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.82,51,0,765,1476,4983,349,0.3413654618473896,0.6867145421903053,0.7714816535067348,0.45603576751117747,0.7590122804700911,0.72909809784852,1114,6459,2241,5332,614,544,5915,500,0.5302245250431779,0.5511669658886894,0.9157764359808019,0.5404929577464789,0.8621418196223425,0.7334717009347457,1114,6459,1158,6415
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.83,51,0,792,1663,4796,322,0.32260692464358454,0.7109515260323159,0.7425298033751355,0.44382179882319983,0.7378845899907567,0.7267406647037258,1114,6459,2455,5118,619,566,5893,495,0.5223628691983122,0.5556552962298025,0.9123703359653197,0.5384949978251413,0.8598970025089132,0.7340128160975611,1114,6459,1185,6388
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.84,51,0,821,1833,4626,293,0.30934438583270535,0.7369838420107719,0.716209939619136,0.43577494692144375,0.7192658127558431,0.726596890814954,1114,6459,2654,4919,630,584,5875,484,0.5189456342668863,0.5655296229802513,0.9095835268617433,0.5412371134020618,0.8589726660504423,0.7375565749209974,1114,6459,1214,6359
sharedEdgeUnsharedVerticesDistanceNormalized,continuous,<=,0.59,1.2,0.01,0.85,51,0,844,2025,4434,270,0.29417915650052284,0.7576301615798923,0.6864839758476544,0.4238011549083605,0.6969496896870461,0.7220570687137733,1114,6459,2869,4704,641,590,5869,473,0.5207148659626321,0.5754039497307002,0.9086545904938845,0.5466950959488274,0.8596329063779216,0.7420292701122924,1114,6459,1231,6342
