feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,7.0,51,0,1061,6453,6,53,0.14120308756986957,0.952423698384201,0.0009289363678588017,0.24594343996291143,0.1408952858840618,0.47667631737602995,1114,6459,7514,59,108,1290,5169,1006,0.07725321888412018,0.09694793536804308,0.8002786809103576,0.08598726114649681,0.6968176416215502,0.4486133081392003,1114,6459,1398,6175
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,7.5,51,0,1036,6444,15,78,0.13850267379679143,0.9299820466786356,0.0023223409196470044,0.241098440772632,0.13878251683612836,0.4661521937991413,1114,6459,7480,93,100,1287,5172,1014,0.07209805335255948,0.08976660682226212,0.800743149094287,0.07996801279488204,0.696157401294071,0.44525487795827456,1114,6459,1387,6186
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,8.0,51,0,999,6429,30,115,0.13449111470113084,0.8967684021543986,0.004644681839294009,0.23390306719737763,0.13587745939521986,0.4507065419968463,1114,6459,7428,145,95,1279,5180,1019,0.06914119359534207,0.08527827648114901,0.8019817309180988,0.07636655948553055,0.6965535454905586,0.4436300036996239,1114,6459,1374,6199
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,8.5,51,0,957,6400,59,157,0.13008019573195595,0.8590664272890485,0.00913454095061155,0.2259473497816078,0.13416083454377392,0.43410048411983,1114,6459,7357,216,93,1270,5189,1021,0.06823184152604549,0.08348294434470377,0.8033751354698869,0.07509083568833265,0.6974778819490295,0.4434290399072953,1114,6459,1363,6210
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,9.0,51,0,918,6359,100,196,0.12615088635426686,0.8240574506283662,0.015482272797646695,0.2188058634250983,0.1344249306747656,0.41976986171300645,1114,6459,7277,296,88,1264,5195,1026,0.0650887573964497,0.07899461400359066,0.8043040718377458,0.07137064071370641,0.6976099300145253,0.4416493429206682,1114,6459,1352,6221
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,9.5,51,0,863,6320,139,251,0.12014478630098845,0.774685816876122,0.021520359188728907,0.20802699771001568,0.13231216162683215,0.39810308803242545,1114,6459,7183,390,77,1254,5205,1037,0.05785123966942149,0.06912028725314183,0.8058522991175104,0.06298568507157465,0.6974778819490295,0.4374862931853261,1114,6459,1331,6242
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,10.0,51,0,800,6249,210,314,0.11349127535820684,0.718132854578097,0.032512772875058056,0.19600637020703174,0.13336854615079888,0.3753228137265775,1114,6459,7049,524,69,1247,5212,1045,0.05243161094224924,0.06193895870736086,0.8069360582133457,0.05679012345679013,0.6973458338835337,0.4344375084603533,1114,6459,1316,6257
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,10.5,51,0,744,6161,298,370,0.10774800868935554,0.6678635547576302,0.04613717293698715,0.1855592966704078,0.13759408424666578,0.35700036384730865,1114,6459,6905,668,68,1236,5223,1046,0.05214723926380368,0.06104129263913824,0.8086391082210869,0.056244830438378815,0.698666314538492,0.43484020043011257,1114,6459,1304,6269
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,11.0,51,0,688,6049,410,426,0.10212260650141013,0.6175942549371634,0.06347731847035144,0.1752642975417144,0.14498877591443285,0.3405357867037574,1114,6459,6737,836,63,1214,5245,1051,0.04933437744714174,0.05655296229802514,0.8120452082365691,0.052697616060225855,0.7009111316519213,0.4342990852672971,1114,6459,1277,6296
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,11.5,51,0,637,5926,533,477,0.09705927167453908,0.5718132854578097,0.08252051401145688,0.1659502409795493,0.15449623663013337,0.3271668997346333,1114,6459,6563,1010,58,1197,5262,1056,0.046215139442231074,0.05206463195691203,0.814677194612169,0.04896580835795695,0.7024957084378713,0.4333709132845405,1114,6459,1255,6318
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,12.0,51,0,568,5767,692,546,0.08966061562746645,0.5098743267504489,0.10713732775971513,0.1525036917707075,0.16638056252475902,0.308505827255082,1114,6459,6335,1238,53,1176,5283,1061,0.043124491456468676,0.04757630161579892,0.8179284718996749,0.04524114383269313,0.7046084774858048,0.4327523867577369,1114,6459,1229,6344
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,12.5,51,0,513,5607,852,601,0.0838235294117647,0.4605026929982047,0.13190896423594983,0.14183024606027092,0.18024560940182227,0.2962058286170772,1114,6459,6120,1453,46,1156,5303,1068,0.03826955074875208,0.04129263913824058,0.8210249264592042,0.03972366148531952,0.7063251023372508,0.4311587827987224,1114,6459,1202,6371
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,13.0,51,0,462,5415,1044,652,0.07861153649821337,0.414721723518851,0.16163492800743148,0.1321699327707052,0.19886438663673578,0.28817832576314123,1114,6459,5877,1696,44,1127,5332,1070,0.037574722459436376,0.03949730700179533,0.8255147855705217,0.038512035010940915,0.7098904001056384,0.4325060462861585,1114,6459,1171,6402
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,13.5,51,0,409,5190,1269,705,0.07304875870691195,0.36714542190305205,0.19647004180213656,0.12185312081036793,0.22157665390202033,0.28180773185259433,1114,6459,5599,1974,41,1096,5363,1073,0.03605980650835532,0.03680430879712747,0.8303142901377922,0.03642825410928477,0.713587745939522,0.43355929946745986,1114,6459,1137,6436
centroidSharedEdgeDistance,continuous,>=,7.0,37.5,0.5,14.0,51,0,363,4932,1527,751,0.06855524079320113,0.3258527827648115,0.23641430562006502,0.11327820252769542,0.2495708437871385,0.28113354419243825,1114,6459,5295,2278,40,1071,5388,1074,0.036003600360036005,0.03590664272890485,0.8341848583372039,0.035955056179775284,0.7167568995114222,0.4350457505330544,1114,6459,1111,6462
