feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,7.0,51,0,53,6,6453,1061,0.8983050847457628,0.04757630161579892,0.9990710636321412,0.09036658141517477,0.8591047141159383,0.52332368262397,1114,6459,59,7514,53,3,6456,1061,0.9464285714285714,0.04757630161579892,0.9995355318160706,0.09059829059829058,0.8595008583124257,0.5235559167159347,1114,6459,56,7517
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,7.5,51,0,78,15,6444,1036,0.8387096774193549,0.07001795332136446,0.997677659080353,0.12924606462303231,0.8612174831638717,0.5338478062008587,1114,6459,93,7480,76,5,6454,1038,0.9382716049382716,0.06822262118491922,0.9992258863601177,0.1271966527196653,0.8622738676878384,0.5337242537725184,1114,6459,81,7492
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,8.0,51,0,115,30,6429,999,0.7931034482758621,0.10323159784560143,0.995355318160706,0.18268467037331215,0.8641225406047801,0.5492934580031537,1114,6459,145,7428,113,10,6449,1001,0.9186991869918699,0.10143626570915619,0.9984517727202353,0.18270008084074374,0.8664994057837053,0.5499440192146957,1114,6459,123,7450
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,8.5,51,0,157,59,6400,957,0.7268518518518519,0.14093357271095153,0.9908654590493885,0.23609022556390977,0.8658391654562261,0.5658995158801701,1114,6459,216,7357,151,16,6443,963,0.9041916167664671,0.1355475763016158,0.9975228363523765,0.23575331772053082,0.8707249438795721,0.5665352063269962,1114,6459,167,7406
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,9.0,51,0,196,100,6359,918,0.6621621621621622,0.17594254937163376,0.9845177272023533,0.27801418439716313,0.8655750693252344,0.5802301382869935,1114,6459,296,7277,183,27,6432,931,0.8714285714285714,0.16427289048473967,0.9958197863446354,0.2764350453172205,0.8734979532549848,0.5800463384146876,1114,6459,210,7363
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,9.5,51,0,251,139,6320,863,0.6435897435897436,0.2253141831238779,0.9784796408112711,0.3337765957446808,0.8676878383731679,0.6018969119675746,1114,6459,390,7183,232,37,6422,882,0.862453531598513,0.20825852782764812,0.9942715590648707,0.3355025307302964,0.8786478278093226,0.6012650434462594,1114,6459,269,7304
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,10.0,51,0,314,210,6249,800,0.5992366412213741,0.28186714542190305,0.967487227124942,0.3833943833943834,0.8666314538492011,0.6246771862734225,1114,6459,524,7049,287,53,6406,827,0.8441176470588235,0.25763016157989227,0.9917943954172472,0.3947730398899587,0.8837977023636604,0.6247122784985697,1114,6459,340,7233
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,10.5,51,0,370,298,6161,744,0.5538922155688623,0.33213644524236985,0.9538628270630128,0.4152637485970819,0.8624059157533343,0.6429996361526913,1114,6459,668,6905,333,76,6383,781,0.8141809290953546,0.2989228007181329,0.9882334726737885,0.4372948128693369,0.8868348078700647,0.6435781366959606,1114,6459,409,7164
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,11.0,51,0,426,410,6049,688,0.5095693779904307,0.38240574506283664,0.9365226815296486,0.4369230769230769,0.8550112240855672,0.6594642132962426,1114,6459,836,6737,387,87,6372,727,0.8164556962025317,0.3473967684021544,0.9865304226660474,0.4874055415617128,0.8925128746863858,0.6669635955341009,1114,6459,474,7099
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,11.5,51,0,477,533,5926,637,0.47227722772277225,0.4281867145421903,0.9174794859885431,0.4491525423728814,0.8455037633698667,0.6728331002653667,1114,6459,1010,6563,429,110,6349,685,0.7959183673469388,0.3850987432675045,0.9829694999225886,0.5190562613430127,0.8950217879308068,0.6840341215950465,1114,6459,539,7034
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,12.0,51,0,546,692,5767,568,0.4410339256865913,0.49012567324955114,0.8928626722402849,0.46428571428571425,0.833619437475241,0.691494172744918,1114,6459,1238,6335,492,126,6333,622,0.7961165048543689,0.44165170556552963,0.9804923362749651,0.5681293302540416,0.9012280470091113,0.7110720209202473,1114,6459,618,6955
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,12.5,51,0,601,852,5607,513,0.4136269786648314,0.5394973070017953,0.8680910357640501,0.4682508765095443,0.8197543905981778,0.7037941713829228,1114,6459,1453,6120,531,156,6303,583,0.7729257641921398,0.47666068222621183,0.9758476544356711,0.5896724042198779,0.9024164795985739,0.7262541683309415,1114,6459,687,6886
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,13.0,51,0,652,1044,5415,462,0.38443396226415094,0.585278276481149,0.8383650719925685,0.4640569395017794,0.8011356133632642,0.7118216742368588,1114,6459,1696,5877,566,184,6275,548,0.7546666666666667,0.5080789946140036,0.9715126180523301,0.6072961373390557,0.9033408160570447,0.7397958063331669,1114,6459,750,6823
centroidSharedEdgeDistance,continuous,<=,7.0,37.5,0.5,13.5,51,0,705,1269,5190,409,0.35714285714285715,0.6328545780969479,0.8035299581978634,0.4566062176165803,0.7784233460979797,0.7181922681474057,1114,6459,1974,5599,592,228,6231,522,0.7219512195121951,0.5314183123877917,0.9647004180213655,0.6122026887280247,0.9009639508781196,0.7480593652045786,1114,6459,820,6753
