feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.335,51,0,1072,6432,27,42,0.14285714285714285,0.9622980251346499,0.0041802136553646075,0.24878161986539796,0.1451208239799287,0.48323911939500724,1114,6459,7504,69,109,1316,5143,1005,0.07649122807017544,0.09784560143626571,0.7962532899829695,0.0858605750295392,0.6935164399841542,0.44704944570961763,1114,6459,1425,6148
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.34,51,0,1064,6426,33,50,0.14205607476635515,0.9551166965888689,0.005109150023223409,0.24732682473268247,0.14485672784893702,0.48011292330604616,1114,6459,7490,83,105,1316,5143,1009,0.07389162561576355,0.09425493716337523,0.7962532899829695,0.08284023668639054,0.6929882477221708,0.44525411357317235,1114,6459,1421,6152
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.345,51,0,1055,6423,36,59,0.1410805028082375,0.9470377019748654,0.00557361820715281,0.24557728119180636,0.14406443945596198,0.4763056600910091,1114,6459,7478,95,105,1315,5144,1009,0.07394366197183098,0.09425493716337523,0.7964081127109459,0.08287292817679558,0.6931202957876668,0.44533152493716055,1114,6459,1420,6153
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.35,51,0,1038,6417,42,76,0.1392354124748491,0.9317773788150808,0.006502554575011612,0.24226864278212162,0.14261191073550772,0.4691399666950462,1114,6459,7455,118,104,1314,5145,1010,0.07334273624823695,0.0933572710951526,0.7965629354389224,0.08214849921011058,0.6931202957876668,0.4449601032670375,1114,6459,1418,6155
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.355,51,0,1026,6406,53,88,0.13805166846071043,0.9210053859964094,0.008205604582752749,0.2401123332553241,0.1424798626700119,0.46460549528958106,1114,6459,7432,141,99,1314,5145,1015,0.07006369426751592,0.08886894075403949,0.7965629354389224,0.0783537791848041,0.6924600554601875,0.44271593809648097,1114,6459,1413,6160
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.36,51,0,1012,6393,66,102,0.13666441593517895,0.9084380610412927,0.010218300046446818,0.2375865711938021,0.14234781460451604,0.45932818054386976,1114,6459,7405,168,97,1313,5146,1017,0.06879432624113475,0.08707360861759425,0.7967177581668989,0.0768621236133122,0.6923280073946917,0.4418956833922466,1114,6459,1410,6163
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.365,51,0,989,6374,85,125,0.13432024989813934,0.8877917414721723,0.01315993187799969,0.23333726554205497,0.14181962234253268,0.450475836675086,1114,6459,7363,210,96,1308,5151,1018,0.06837606837606838,0.08617594254937164,0.7974918718067813,0.07625099285146943,0.692856199656675,0.44183390717807647,1114,6459,1404,6169
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.37,51,0,963,6355,104,151,0.1315933315113419,0.8644524236983842,0.016101563709552562,0.228415559772296,0.1408952858840618,0.44027699370396833,1114,6459,7318,255,94,1306,5153,1020,0.06714285714285714,0.0843806104129264,0.7978015172627342,0.07478122513922036,0.692856199656675,0.4410910638378303,1114,6459,1400,6173
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.375,51,0,941,6338,121,173,0.12927599945047397,0.8447037701974865,0.0187335500851525,0.22423448111521505,0.1402350455565826,0.43171866014131954,1114,6459,7279,294,93,1304,5155,1021,0.06657122405153901,0.08348294434470377,0.7981111627186871,0.07407407407407407,0.6929882477221708,0.4407970535316954,1114,6459,1397,6176
centroidSharedEdgeDistanceNormalized,continuous,>=,0.335,0.775,0.005,0.38,51,0,915,6310,149,199,0.12664359861591695,0.8213644524236984,0.023068586468493576,0.21945077347403766,0.14049914168757427,0.42221651944609595,1114,6459,7225,348,93,1301,5158,1021,0.0667144906743185,0.08348294434470377,0.7985756309026165,0.07416267942583732,0.6933843919186584,0.4410292876236601,1114,6459,1394,6179
