feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.335,51,0,42,27,6432,1072,0.6086956521739131,0.03770197486535009,0.9958197863446354,0.07100591715976332,0.8548791760200714,0.5167608806049927,1114,6459,69,7504,41,19,6440,1073,0.6833333333333333,0.03680430879712747,0.9970583681684472,0.06984667802385008,0.8558035124785421,0.5169313384827873,1114,6459,60,7513
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.34,51,0,50,33,6426,1064,0.6024096385542169,0.04488330341113106,0.9948908499767766,0.08354218880534671,0.855143272151063,0.5198870766939538,1114,6459,83,7490,48,22,6437,1066,0.6857142857142857,0.04308797127468582,0.9965938999845178,0.08108108108108109,0.8563317047405256,0.5198409356296018,1114,6459,70,7503
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.345,51,0,59,36,6423,1055,0.6210526315789474,0.05296229802513465,0.9944263817928471,0.09760132340777501,0.8559355605440381,0.523694339908991,1114,6459,95,7478,56,24,6435,1058,0.7,0.05026929982046679,0.9962842545285648,0.09380234505862647,0.8571239931335006,0.5232767771745158,1114,6459,80,7493
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.35,51,0,76,42,6417,1038,0.6440677966101694,0.06822262118491922,0.9934974454249884,0.12337662337662339,0.8573880892644923,0.5308600333049538,1114,6459,118,7455,73,28,6431,1041,0.7227722772277227,0.06552962298025135,0.9956649636166589,0.12016460905349795,0.8588406179849465,0.5305972932984552,1114,6459,101,7472
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.355,51,0,88,53,6406,1026,0.624113475177305,0.07899461400359066,0.9917943954172472,0.14023904382470118,0.8575201373299881,0.5353945047104189,1114,6459,141,7432,85,38,6421,1029,0.6910569105691057,0.0763016157989228,0.9941167363368942,0.13742926434923203,0.8591047141159383,0.5352091760679085,1114,6459,123,7450
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.36,51,0,102,66,6393,1012,0.6071428571428571,0.09156193895870736,0.9897816999535531,0.15912636505460218,0.8576521853954839,0.5406718194561303,1114,6459,168,7405,99,45,6414,1015,0.6875,0.08886894075403949,0.993032977241059,0.1573926868044515,0.860029050574409,0.5409509589975492,1114,6459,144,7429
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.365,51,0,125,85,6374,989,0.5952380952380952,0.11220825852782765,0.9868400681220003,0.18882175226586104,0.8581803776574674,0.5495241633249139,1114,6459,210,7363,122,57,6402,992,0.6815642458100558,0.10951526032315978,0.9911751045053414,0.18870843000773393,0.8614815792948634,0.5503451824142506,1114,6459,179,7394
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.37,51,0,151,104,6355,963,0.592156862745098,0.1355475763016158,0.9838984362904475,0.2205989773557341,0.8591047141159383,0.5597230062960317,1114,6459,255,7318,148,67,6392,966,0.6883720930232559,0.13285457809694792,0.9896268772255767,0.22272385252069224,0.8635943483427968,0.5612407276612623,1114,6459,215,7358
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.375,51,0,173,121,6338,941,0.5884353741496599,0.15529622980251345,0.9812664499148475,0.24573863636363633,0.8597649544434174,0.5682813398586805,1114,6459,294,7279,167,75,6384,947,0.6900826446280992,0.14991023339317774,0.988388295401765,0.24631268436578171,0.865046877063251,0.5691492643974714,1114,6459,242,7331
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.38,51,0,199,149,6310,915,0.5718390804597702,0.17863554757630162,0.9769314135315065,0.2722298221614227,0.8595008583124257,0.577783480553904,1114,6459,348,7225,191,89,6370,923,0.6821428571428572,0.17145421903052063,0.9862207772100945,0.2740315638450502,0.8663673577182094,0.5788374981203076,1114,6459,280,7293
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.385,51,0,222,175,6284,892,0.5591939546599496,0.1992818671454219,0.9729060226041183,0.29384513567174053,0.8591047141159383,0.5860939448747701,1114,6459,397,7176,213,103,6356,901,0.6740506329113924,0.19120287253141832,0.9840532590184239,0.29790209790209793,0.8674237422421761,0.5876280657749211,1114,6459,316,7257
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.39,51,0,245,198,6261,869,0.5530474040632054,0.2199281867145422,0.9693450998606595,0.3147077713551702,0.8591047141159383,0.5946366432876009,1114,6459,443,7130,235,119,6340,879,0.6638418079096046,0.21095152603231598,0.9815760953708005,0.3201634877384196,0.8682160306351512,0.5962638107015582,1114,6459,354,7219
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.395,51,0,284,237,6222,830,0.54510556621881,0.25493716337522443,0.9633070134695774,0.3474006116207951,0.8591047141159383,0.6091220884224009,1114,6459,521,7052,265,139,6320,849,0.655940594059406,0.2378815080789946,0.9784796408112711,0.34914361001317523,0.8695365112901096,0.6081805744451328,1114,6459,404,7169
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.4,51,0,318,267,6192,796,0.5435897435897435,0.28545780969479356,0.9586623316302834,0.3743378457916421,0.8596329063779216,0.6220600706625384,1114,6459,585,6988,294,156,6303,820,0.6533333333333333,0.2639138240574506,0.9758476544356711,0.3759590792838875,0.8711210880760597,0.6198807392465608,1114,6459,450,7123
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.405,51,0,353,301,6158,761,0.5397553516819572,0.31687612208258525,0.9533983588790834,0.3993212669683258,0.8597649544434174,0.6351372404808343,1114,6459,654,6919,325,172,6287,789,0.6539235412474849,0.2917414721723519,0.9733704907880477,0.40347610180012417,0.8731018090584973,0.6325559814801998,1114,6459,497,7076
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.41,51,0,390,342,6117,724,0.5327868852459017,0.3500897666068223,0.9470506270320483,0.4225352112676056,0.8592367621814341,0.6485701968194353,1114,6459,732,6841,355,193,6266,759,0.6478102189781022,0.31867145421903054,0.9701192135005419,0.42719614921780985,0.8742902416479599,0.6443953338597862,1114,6459,548,7025
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.415,51,0,420,396,6063,694,0.5147058823529411,0.3770197486535009,0.9386901997213191,0.4352331606217616,0.8560676086095339,0.65785497418741,1114,6459,816,6757,382,211,6248,732,0.6441821247892074,0.34290843806104127,0.9673324043969654,0.447568834212068,0.8754786742374224,0.6551204212290034,1114,6459,593,6980
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.42,51,0,452,443,6016,662,0.5050279329608939,0.40574506283662476,0.9314135315064251,0.4499751119960179,0.8540868876270963,0.668579297171525,1114,6459,895,6678,409,232,6227,705,0.6380655226209049,0.36714542190305205,0.9640811271094597,0.46609686609686607,0.8762709626303975,0.6656132745062558,1114,6459,641,6932
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.425,51,0,489,508,5951,625,0.49047141424272817,0.43895870736086173,0.9213500541879548,0.46328754144955,0.8503895417932127,0.6801543807744083,1114,6459,997,6576,444,258,6201,670,0.6324786324786325,0.3985637342908438,0.9600557361820715,0.4889867841409691,0.87745939521986,0.6793097352364577,1114,6459,702,6871
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.43,51,0,522,568,5891,592,0.47889908256880737,0.46858168761220825,0.9120606905093668,0.47368421052631576,0.846824244024825,0.6903211890607875,1114,6459,1090,6483,471,276,6183,643,0.6305220883534136,0.4228007181328546,0.9572689270784951,0.5061794734013971,0.8786478278093226,0.6900348226056748,1114,6459,747,6826
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.435,51,0,552,637,5822,562,0.464255677039529,0.4955116696588869,0.9013779222789906,0.4793747286148502,0.8416743694704872,0.6984447959689387,1114,6459,1189,6384,497,297,6162,617,0.6259445843828715,0.44614003590664275,0.9540176497909894,0.5209643605870021,0.8793080681368018,0.700078842848816,1114,6459,794,6779
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.44,51,0,590,720,5739,524,0.45038167938931295,0.5296229802513465,0.8885276358569438,0.4867986798679868,0.8357322065231745,0.7090753080541452,1114,6459,1310,6263,529,318,6141,585,0.6245572609208973,0.4748653500897666,0.9507663725034835,0.5395206527281998,0.880760596857256,0.7128158612966251,1114,6459,847,6726
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.445,51,0,621,794,5665,493,0.43886925795053006,0.5574506283662477,0.8770707539866852,0.4911032028469751,0.8300541397068533,0.7172606911764665,1114,6459,1415,6158,551,337,6122,563,0.6204954954954955,0.49461400359066426,0.9478247406719307,0.5504495504495505,0.8811567410537435,0.7212193721312975,1114,6459,888,6685
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.45,51,0,653,865,5594,461,0.43017127799736493,0.5861759425493717,0.8660783403003561,0.49620060790273557,0.8249042651525155,0.7261271414248639,1114,6459,1518,6055,579,360,6099,535,0.6166134185303515,0.5197486535008977,0.9442638179284719,0.5640526059425233,0.8818169813812228,0.7320062357146848,1114,6459,939,6634
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.455,51,0,680,970,5489,434,0.4121212121212121,0.6104129263913824,0.8498219538628271,0.4920405209840811,0.81460451604384,0.7301174401271048,1114,6459,1650,5923,596,391,6068,518,0.6038500506585613,0.5350089766606823,0.9394643133612014,0.5673488814850072,0.879968308464281,0.7372366450109418,1114,6459,987,6586
centroidSharedEdgeDistanceNormalized,continuous,<=,0.335,0.775,0.005,0.46,51,0,716,1057,5402,398,0.4038353073886069,0.6427289048473968,0.8363523765288744,0.49601662625562865,0.807870064703552,0.7395406406881355,1114,6459,1773,5800,625,404,6055,489,0.6073858114674441,0.5610412926391383,0.9374516178975073,0.5832944470368642,0.8820810775122144,0.7492464552683228,1114,6459,1029,6544
